,Air Temp.Bowen@NOCA_MR1201,Air Temp.Bowen@NOCA_MR1201,Air Temp.Bowen@NOCA_MR1201,Air Temp.Bowen@NOCA_MR1201
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
08/12/2009 13:30:00,8.295,,,1
08/12/2009 14:00:00,8.494,,,1
08/12/2009 14:30:00,8.742,,,1
08/12/2009 15:00:00,9.534,,,1
08/12/2009 15:30:00,8.295,,,1
08/12/2009 16:00:00,7.995,,,1
08/12/2009 16:30:00,9.583,,,1
08/12/2009 17:00:00,9.213,,,1
08/12/2009 17:30:00,9.163,,,1
08/12/2009 18:00:00,9.977,,,1
08/12/2009 18:30:00,10.443,,,1
08/12/2009 19:00:00,8.369,,,1
08/12/2009 19:30:00,7.895,,,1
08/12/2009 20:00:00,7.167,,,1
08/12/2009 20:30:00,6.661,,,1
08/12/2009 21:00:00,6.357,,,1
08/12/2009 21:30:00,5.872,,,1
08/12/2009 22:00:00,5.821,,,1
08/12/2009 22:30:00,5.437,,,1
08/12/2009 23:00:00,5.282,,,1
08/12/2009 23:30:00,5.668,,,1
08/13/2009 00:00:00,5.539,,,1
08/13/2009 00:30:00,5.514,,,1
08/13/2009 01:00:00,5.308,,,1
08/13/2009 01:30:00,4.688,,,1
08/13/2009 02:00:00,4.48,,,1
08/13/2009 02:30:00,4.688,,,1
08/13/2009 03:00:00,4.376,,,1
08/13/2009 03:30:00,4.766,,,1
08/13/2009 04:00:00,4.454,,,1
08/13/2009 04:30:00,4.74,,,1
08/13/2009 05:00:00,4.973,,,1
08/13/2009 05:30:00,4.895,,,1
08/13/2009 06:00:00,4.532,,,1
08/13/2009 06:30:00,4.141,,,1
08/13/2009 07:00:00,4.089,,,1
08/13/2009 07:30:00,4.636,,,1
08/13/2009 08:00:00,4.532,,,1
08/13/2009 08:30:00,5.437,,,1
08/13/2009 09:00:00,5.205,,,1
08/13/2009 09:30:00,5.745,,,1
08/13/2009 10:00:00,6.179,,,1
08/13/2009 10:30:00,6.864,,,1
08/13/2009 11:00:00,7.192,,,1
08/13/2009 11:30:00,7.519,,,1
08/13/2009 12:00:00,7.795,,,1
08/13/2009 12:30:00,9.262,,,1
08/13/2009 13:00:00,7.795,,,1
08/13/2009 13:30:00,7.619,,,1
08/13/2009 14:00:00,6.636,,,1
08/13/2009 14:30:00,5.642,,,1
08/13/2009 15:00:00,5.565,,,1
08/13/2009 15:30:00,4.584,,,1
08/13/2009 16:00:00,5.205,,,1
08/13/2009 16:30:00,4.999,,,1
08/13/2009 17:00:00,6.382,,,1
08/13/2009 17:30:00,5.821,,,1
08/13/2009 18:00:00,5.693,,,1
08/13/2009 18:30:00,4.662,,,1
08/13/2009 19:00:00,3.932,,,1
08/13/2009 19:30:00,3.38,,,1
08/13/2009 20:00:00,3.063,,,1
08/13/2009 20:30:00,2.797,,,1
08/13/2009 21:00:00,2.77,,,1
08/13/2009 21:30:00,2.664,,,1
08/13/2009 22:00:00,2.61,,,1
08/13/2009 22:30:00,2.584,,,1
08/13/2009 23:00:00,2.477,,,1
08/13/2009 23:30:00,2.396,,,1
08/14/2009 00:00:00,2.37,,,1
08/14/2009 00:30:00,2.37,,,1
08/14/2009 01:00:00,2.477,,,1
08/14/2009 01:30:00,2.37,,,1
08/14/2009 02:00:00,2.396,,,1
08/14/2009 02:30:00,2.423,,,1
08/14/2009 03:00:00,2.128,,,1
08/14/2009 03:30:00,2.021,,,1
08/14/2009 04:00:00,1.778,,,1
08/14/2009 04:30:00,1.289,,,1
08/14/2009 05:00:00,1.425,,,1
08/14/2009 05:30:00,0.852,,,1
08/14/2009 06:00:00,0.632,,,1
08/14/2009 06:30:00,0.907,,,1
08/14/2009 07:00:00,1.017,,,1
08/14/2009 07:30:00,1.044,,,1
08/14/2009 08:00:00,1.153,,,1
08/14/2009 08:30:00,1.344,,,1
08/14/2009 09:00:00,1.67,,,1
08/14/2009 09:30:00,1.913,,,1
08/14/2009 10:00:00,2.047,,,1
08/14/2009 10:30:00,2.262,,,1
08/14/2009 11:00:00,2.37,,,1
08/14/2009 11:30:00,2.503,,,1
08/14/2009 12:00:00,2.903,,,1
08/14/2009 12:30:00,3.036,,,1
08/14/2009 13:00:00,2.85,,,1
08/14/2009 13:30:00,3.116,,,1
08/14/2009 14:00:00,3.512,,,1
08/14/2009 14:30:00,3.564,,,1
08/14/2009 15:00:00,3.985,,2,1
08/14/2009 15:30:00,4.35,,2,1
08/14/2009 16:00:00,4.818,,2,1
08/14/2009 16:30:00,4.688,,2,1
08/14/2009 17:00:00,4.688,,2,1
08/14/2009 17:30:00,4.532,,2,1
08/14/2009 18:00:00,4.402,,2,1
08/14/2009 18:30:00,4.141,,2,1
08/14/2009 19:00:00,4.454,,2,1
08/14/2009 19:30:00,3.775,,2,1
08/14/2009 20:00:00,3.696,,2,1
08/14/2009 20:30:00,3.617,,2,1
08/14/2009 21:00:00,3.564,,2,1
08/14/2009 21:30:00,3.512,,2,1
08/14/2009 22:00:00,3.38,,2,1
08/14/2009 22:30:00,3.327,,2,1
08/14/2009 23:00:00,3.195,,2,1
08/14/2009 23:30:00,3.063,,2,1
08/15/2009 00:00:00,3.036,,2,1
08/15/2009 00:30:00,2.956,,2,1
08/15/2009 01:00:00,2.797,,2,1
08/15/2009 01:30:00,2.823,,2,1
08/15/2009 02:00:00,2.797,,2,1
08/15/2009 02:30:00,2.797,,2,1
08/15/2009 03:00:00,2.85,,2,1
08/15/2009 03:30:00,2.93,,2,1
08/15/2009 04:00:00,2.877,,2,1
08/15/2009 04:30:00,2.797,,2,1
08/15/2009 05:00:00,2.637,,2,1
08/15/2009 05:30:00,2.664,,2,1
08/15/2009 06:00:00,2.61,,2,1
08/15/2009 06:30:00,2.45,,2,1
08/15/2009 07:00:00,2.209,,2,1
08/15/2009 07:30:00,2.584,,2,1
08/15/2009 08:00:00,2.664,,2,1
08/15/2009 08:30:00,3.617,,2,1
08/15/2009 09:00:00,3.459,,2,1
08/15/2009 09:30:00,3.591,,2,1
08/15/2009 10:00:00,3.801,,2,1
08/15/2009 10:30:00,4.22,,2,1
08/15/2009 11:00:00,4.688,,2,1
08/15/2009 11:30:00,5.949,,2,1
08/15/2009 12:00:00,7.116,,2,1
08/15/2009 12:30:00,6.965,,2,1
08/15/2009 13:00:00,7.142,,2,1
08/15/2009 13:30:00,8.07,,2,1
08/15/2009 14:00:00,8.866,,2,1
08/15/2009 14:30:00,9.977,,2,1
08/15/2009 15:00:00,10.271,,2,1
08/15/2009 15:30:00,10.492,,2,1
08/15/2009 16:00:00,10.663,,2,1
08/15/2009 16:30:00,10.834,,2,1
08/15/2009 17:00:00,13.425,,2,1
08/15/2009 17:30:00,9.558,,2,1
08/15/2009 18:00:00,11.127,,2,1
08/15/2009 18:30:00,7.82,,2,1
08/15/2009 19:00:00,5.745,,2,1
08/15/2009 19:30:00,5.231,,2,1
08/15/2009 20:00:00,4.844,,2,1
08/15/2009 20:30:00,4.636,,2,1
08/15/2009 21:00:00,4.48,,2,1
08/15/2009 21:30:00,4.402,,2,1
08/15/2009 22:00:00,4.402,,2,1
08/15/2009 22:30:00,4.011,,2,1
08/15/2009 23:00:00,3.433,,2,1
08/15/2009 23:30:00,3.274,,2,1
08/16/2009 00:00:00,3.512,,2,1
08/16/2009 00:30:00,3.485,,2,1
08/16/2009 01:00:00,3.248,,2,1
08/16/2009 01:30:00,3.327,,2,1
08/16/2009 02:00:00,3.406,,2,1
08/16/2009 02:30:00,3.433,,2,1
08/16/2009 03:00:00,4.454,,2,1
08/16/2009 03:30:00,3.801,,2,1
08/16/2009 04:00:00,3.88,,2,1
08/16/2009 04:30:00,4.063,,2,1
08/16/2009 05:00:00,4.844,,2,1
08/16/2009 05:30:00,4.714,,2,1
08/16/2009 06:00:00,5.36,,2,1
08/16/2009 06:30:00,4.22,,2,1
08/16/2009 07:00:00,4.947,,2,1
08/16/2009 07:30:00,4.999,,2,1
08/16/2009 08:00:00,7.318,,2,1
08/16/2009 08:30:00,7.645,,2,1
08/16/2009 09:00:00,8.045,,2,1
08/16/2009 09:30:00,8.245,,2,1
08/16/2009 10:00:00,8.519,,2,1
08/16/2009 10:30:00,9.114,,2,1
08/16/2009 11:00:00,9.558,,2,1
08/16/2009 11:30:00,9.952,,2,1
08/16/2009 12:00:00,9.139,,2,1
08/16/2009 12:30:00,9.336,,2,1
08/16/2009 13:00:00,9.78,,2,1
08/16/2009 13:30:00,10.614,,2,1
08/16/2009 14:00:00,10.712,,2,1
08/16/2009 14:30:00,11.005,,2,1
08/16/2009 15:00:00,12.074,,2,1
08/16/2009 15:30:00,11.88,,2,1
08/16/2009 16:00:00,13.088,,2,1
08/16/2009 16:30:00,16.463,,2,1
08/16/2009 17:00:00,16.773,,2,1
08/16/2009 17:30:00,13.064,,2,1
08/16/2009 18:00:00,13.666,,2,1
08/16/2009 18:30:00,11.078,,2,1
08/16/2009 19:00:00,10.075,,2,1
08/16/2009 19:30:00,10.001,,2,1
08/16/2009 20:00:00,10.051,,2,1
08/16/2009 20:30:00,9.336,,2,1
08/16/2009 21:00:00,9.287,,2,1
08/16/2009 21:30:00,8.27,,2,1
08/16/2009 22:00:00,7.87,,2,1
08/16/2009 22:30:00,8.643,,2,1
08/16/2009 23:00:00,7.745,,2,1
08/16/2009 23:30:00,7.293,,2,1
08/17/2009 00:00:00,7.695,,2,1
08/17/2009 00:30:00,7.519,,2,1
08/17/2009 01:00:00,7.795,,2,1
08/17/2009 01:30:00,7.619,,2,1
08/17/2009 02:00:00,7.845,,2,1
08/17/2009 02:30:00,6.763,,2,1
08/17/2009 03:00:00,6.357,,2,1
08/17/2009 03:30:00,6.306,,2,1
08/17/2009 04:00:00,6.737,,2,1
08/17/2009 04:30:00,6.763,,2,1
08/17/2009 05:00:00,6.839,,2,1
08/17/2009 05:30:00,6.864,,2,1
08/17/2009 06:00:00,7.041,,2,1
08/17/2009 06:30:00,7.142,,2,1
08/17/2009 07:00:00,7.645,,2,1
08/17/2009 07:30:00,8.12,,2,1
08/17/2009 08:00:00,11.127,,2,1
08/17/2009 08:30:00,12.823,,2,1
08/17/2009 09:00:00,13.064,,2,1
08/17/2009 09:30:00,13.738,,2,1
08/17/2009 10:00:00,13.425,,2,1
08/17/2009 10:30:00,13.858,,2,1
08/17/2009 11:00:00,14.194,,2,1
08/17/2009 11:30:00,13.954,,2,1
08/17/2009 12:00:00,14.361,,2,1
08/17/2009 12:30:00,15.414,,2,1
08/17/2009 13:00:00,15.485,,2,1
08/17/2009 13:30:00,15.915,,2,1
08/17/2009 14:00:00,16.63,,2,1
08/17/2009 14:30:00,17.32,,2,1
08/17/2009 15:00:00,17.962,,2,1
08/17/2009 15:30:00,17.225,,2,1
08/17/2009 16:00:00,18.224,,2,1
08/17/2009 16:30:00,19.056,,2,1
08/17/2009 17:00:00,25.355,,2,1
08/17/2009 17:30:00,17.701,,2,1
08/17/2009 18:00:00,17.796,,2,1
08/17/2009 18:30:00,14.96,,2,1
08/17/2009 19:00:00,13.93,,2,1
08/17/2009 19:30:00,12.678,,2,1
08/17/2009 20:00:00,13.329,,2,1
08/17/2009 20:30:00,12.823,,2,1
08/17/2009 21:00:00,12.413,,2,1
08/17/2009 21:30:00,10.761,,2,1
08/17/2009 22:00:00,11.297,,2,1
08/17/2009 22:30:00,11.175,,2,1
08/17/2009 23:00:00,11.053,,2,1
08/17/2009 23:30:00,11.832,,2,1
08/18/2009 00:00:00,10.712,,2,1
08/18/2009 00:30:00,10.345,,2,1
08/18/2009 01:00:00,10.32,,2,1
08/18/2009 01:30:00,10.687,,2,1
08/18/2009 02:00:00,10.883,,2,1
08/18/2009 02:30:00,10.516,,2,1
08/18/2009 03:00:00,10.173,,2,1
08/18/2009 03:30:00,10.467,,2,1
08/18/2009 04:00:00,11.443,,2,1
08/18/2009 04:30:00,11.394,,2,1
08/18/2009 05:00:00,11.37,,2,1
08/18/2009 05:30:00,11.37,,2,1
08/18/2009 06:00:00,12.001,,2,1
08/18/2009 06:30:00,11.637,,2,1
08/18/2009 07:00:00,11.419,,2,1
08/18/2009 07:30:00,11.37,,2,1
08/18/2009 08:00:00,13.642,,2,1
08/18/2009 08:30:00,16.344,,2,1
08/18/2009 09:00:00,17.153,,2,1
08/18/2009 09:30:00,17.153,,2,1
08/18/2009 10:00:00,17.915,,2,1
08/18/2009 10:30:00,18.723,,2,1
08/18/2009 11:00:00,18.889,,2,1
08/18/2009 11:30:00,19.436,,2,1
08/18/2009 12:00:00,19.27,,2,1
08/18/2009 12:30:00,19.365,,2,1
08/18/2009 13:00:00,19.722,,2,1
08/18/2009 13:30:00,20.198,,2,1
08/18/2009 14:00:00,20.341,,2,1
08/18/2009 14:30:00,21.008,,2,1
08/18/2009 15:00:00,21.056,,2,1
08/18/2009 15:30:00,21.628,,2,1
08/18/2009 16:00:00,21.437,,2,1
08/18/2009 16:30:00,22.585,,2,1
08/18/2009 17:00:00,26.036,,2,1
08/18/2009 17:30:00,22.321,,2,1
08/18/2009 18:00:00,23.256,,2,1
08/18/2009 18:30:00,19.127,,2,1
08/18/2009 19:00:00,16.963,,2,1
08/18/2009 19:30:00,16.534,,2,1
08/18/2009 20:00:00,15.986,,2,1
08/18/2009 20:30:00,14.553,,2,1
08/18/2009 21:00:00,15.294,,2,1
08/18/2009 21:30:00,14.026,,2,1
08/18/2009 22:00:00,14.242,,2,1
08/18/2009 22:30:00,13.714,,2,1
08/18/2009 23:00:00,13.257,,2,1
08/18/2009 23:30:00,13.329,,2,1
08/19/2009 00:00:00,13.016,,2,1
08/19/2009 00:30:00,12.799,,2,1
08/19/2009 01:00:00,13.088,,2,1
08/19/2009 01:30:00,13.522,,2,1
08/19/2009 02:00:00,15.199,,2,1
08/19/2009 02:30:00,14.768,,2,1
08/19/2009 03:00:00,13.161,,2,1
08/19/2009 03:30:00,12.92,,2,1
08/19/2009 04:00:00,13.112,,2,1
08/19/2009 04:30:00,12.582,,2,1
08/19/2009 05:00:00,12.654,,2,1
08/19/2009 05:30:00,12.364,,2,1
08/19/2009 06:00:00,12.171,,2,1
08/19/2009 06:30:00,11.904,,2,1
