,Temperature.air@OLYM_627,Temperature.air@OLYM_627,Temperature.air@OLYM_627,Temperature.air@OLYM_627
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
09/15/2006 11:07:00,,,,1
09/15/2006 12:07:00,19.38,,,1
09/15/2006 13:07:00,17.88,,,1
09/15/2006 14:07:00,17.58,,,1
09/15/2006 15:07:00,17.58,,,1
09/15/2006 16:07:00,17.58,,,1
09/15/2006 17:07:00,17.58,,,1
09/15/2006 18:07:00,17.58,,,1
09/15/2006 19:07:00,17.28,,,1
09/15/2006 20:07:00,17.28,,,1
09/15/2006 21:07:00,17.28,,,1
09/15/2006 22:07:00,16.98,,,1
09/15/2006 23:07:00,16.68,,,1
09/16/2006 00:07:00,16.68,,,1
09/16/2006 01:07:00,16.68,,,1
09/16/2006 02:07:00,16.68,,,1
09/16/2006 03:07:00,16.68,,,1
09/16/2006 04:07:00,16.68,,,1
09/16/2006 05:07:00,16.68,,,1
09/16/2006 06:07:00,16.68,,,1
09/16/2006 07:07:00,16.68,,,1
09/16/2006 08:07:00,16.68,,,1
09/16/2006 09:07:00,16.68,,,1
09/16/2006 10:07:00,16.98,,,1
09/16/2006 11:07:00,17.28,,,1
09/16/2006 12:07:00,17.28,,,1
09/16/2006 13:07:00,17.28,,,1
09/16/2006 14:07:00,17.28,,,1
09/16/2006 15:07:00,17.28,,,1
09/16/2006 16:07:00,17.28,,,1
09/16/2006 17:07:00,17.28,,,1
09/16/2006 18:07:00,17.28,,,1
09/16/2006 19:07:00,17.28,,,1
09/16/2006 20:07:00,17.28,,,1
09/16/2006 21:07:00,17.28,,,1
09/16/2006 22:07:00,17.28,,,1
09/16/2006 23:07:00,16.98,,,1
09/17/2006 00:07:00,16.98,,,1
09/17/2006 01:07:00,16.98,,,1
09/17/2006 02:07:00,16.68,,,1
09/17/2006 03:07:00,16.68,,,1
09/17/2006 04:07:00,16.98,,,1
09/17/2006 05:07:00,16.98,,,1
09/17/2006 06:07:00,17.28,,,1
09/17/2006 07:07:00,17.28,,,1
09/17/2006 08:07:00,17.28,,,1
09/17/2006 09:07:00,17.28,,,1
09/17/2006 10:07:00,16.98,,,1
09/17/2006 11:07:00,16.98,,,1
09/17/2006 12:07:00,16.98,,,1
09/17/2006 13:07:00,16.98,,,1
09/17/2006 14:07:00,16.98,,,1
09/17/2006 15:07:00,16.98,,,1
09/17/2006 16:07:00,16.98,,,1
09/17/2006 17:07:00,16.98,,,1
09/17/2006 18:07:00,16.98,,,1
09/17/2006 19:07:00,17.28,,,1
09/17/2006 20:07:00,17.28,,,1
09/17/2006 21:07:00,17.28,,,1
09/17/2006 22:07:00,17.28,,,1
09/17/2006 23:07:00,16.98,,,1
09/18/2006 00:07:00,16.98,,,1
09/18/2006 01:07:00,16.98,,,1
09/18/2006 02:07:00,16.98,,,1
09/18/2006 03:07:00,16.98,,,1
09/18/2006 04:07:00,16.98,,,1
09/18/2006 05:07:00,16.98,,,1
09/18/2006 06:07:00,16.98,,,1
09/18/2006 07:07:00,16.98,,,1
09/18/2006 08:07:00,16.98,,,1
09/18/2006 09:07:00,18.78,,,1
09/18/2006 10:07:00,18.48,,,1
09/18/2006 11:07:00,18.48,,,1
09/18/2006 12:07:00,18.48,,,1
09/18/2006 13:07:00,19.08,,,1
09/18/2006 14:07:00,19.68,,,1
09/18/2006 15:07:00,19.38,,,1
09/18/2006 16:07:00,16.09,,,1
09/18/2006 17:07:00,14.33,,,1
09/18/2006 18:07:00,12.58,,,1
09/18/2006 19:07:00,10.84,,,1
09/18/2006 20:07:00,9.69,,,1
09/18/2006 21:07:00,8.82,,,1
09/18/2006 22:07:00,7.95,,,1
09/18/2006 23:07:00,7.37,,,1
09/19/2006 00:07:00,6.79,,,1
09/19/2006 01:07:00,6.49,,,1
09/19/2006 02:07:00,6.21,,,1
09/19/2006 03:07:00,5.63,,,1
09/19/2006 04:07:00,5.34,,,1
09/19/2006 05:07:00,4.76,,,1
09/19/2006 06:07:00,4.18,,,1
09/19/2006 07:07:00,3.59,,,1
09/19/2006 08:07:00,3.29,,,1
09/19/2006 09:07:00,3.59,,,1
09/19/2006 10:07:00,13.74,,,1
09/19/2006 11:07:00,26.01,,,1
09/19/2006 12:07:00,19.68,,,1
09/19/2006 13:07:00,23.1,,,1
09/19/2006 14:07:00,16.68,,,1
09/19/2006 15:07:00,16.39,,,1
09/19/2006 16:07:00,7.37,,,1
09/19/2006 17:07:00,6.79,,,1
09/19/2006 18:07:00,6.49,,,1
09/19/2006 19:07:00,6.21,,,1
09/19/2006 20:07:00,5.92,,,1
09/19/2006 21:07:00,5.63,,,1
09/19/2006 22:07:00,4.76,,,1
09/19/2006 23:07:00,5.05,,,1
09/20/2006 00:07:00,5.05,,,1
09/20/2006 01:07:00,4.76,,,1
09/20/2006 02:07:00,4.18,,,1
09/20/2006 03:07:00,4.47,,,1
09/20/2006 04:07:00,4.47,,,1
09/20/2006 05:07:00,4.47,,,1
09/20/2006 06:07:00,4.47,,,1
09/20/2006 07:07:00,3.88,,,1
09/20/2006 08:07:00,3.88,,,1
09/20/2006 09:07:00,3.88,,,1
09/20/2006 10:07:00,4.18,,,1
09/20/2006 11:07:00,4.47,,,1
09/20/2006 12:07:00,4.76,,,1
09/20/2006 13:07:00,5.34,,,1
09/20/2006 14:07:00,5.63,,,1
09/20/2006 15:07:00,5.92,,,1
09/20/2006 16:07:00,6.21,,,1
09/20/2006 17:07:00,6.49,,,1
09/20/2006 18:07:00,6.21,,,1
09/20/2006 19:07:00,6.79,,,1
09/20/2006 20:07:00,6.79,,,1
09/20/2006 21:07:00,6.21,,,1
09/20/2006 22:07:00,6.21,,,1
09/20/2006 23:07:00,5.63,,,1
09/21/2006 00:07:00,5.34,,,1
09/21/2006 01:07:00,4.76,,,1
09/21/2006 02:07:00,4.18,,,1
09/21/2006 03:07:00,3.29,,,1
09/21/2006 04:07:00,3,,,1
09/21/2006 05:07:00,3,,,1
09/21/2006 06:07:00,2.7,,,1
09/21/2006 07:07:00,2.41,,,1
09/21/2006 08:07:00,2.11,,,1
09/21/2006 09:07:00,2.41,,,1
09/21/2006 10:07:00,3.29,,,1
09/21/2006 11:07:00,3.88,,,1
09/21/2006 12:07:00,3.59,,,1
09/21/2006 13:07:00,4.18,,,1
09/21/2006 14:07:00,4.18,,,1
09/21/2006 15:07:00,3.88,,,1
09/21/2006 16:07:00,3.88,,,1
09/21/2006 17:07:00,3.88,,,1
09/21/2006 18:07:00,3.29,,,1
09/21/2006 19:07:00,3.29,,,1
09/21/2006 20:07:00,3,,,1
09/21/2006 21:07:00,3.59,,,1
09/21/2006 22:07:00,3.59,,,1
09/21/2006 23:07:00,3.29,,,1
09/22/2006 00:07:00,3.59,,,1
09/22/2006 01:07:00,3.88,,,1
09/22/2006 02:07:00,4.18,,,1
09/22/2006 03:07:00,4.18,,,1
09/22/2006 04:07:00,4.47,,,1
09/22/2006 05:07:00,4.76,,,1
09/22/2006 06:07:00,4.47,,,1
09/22/2006 07:07:00,4.76,,,1
09/22/2006 08:07:00,7.66,,,1
09/22/2006 09:07:00,8.82,,,1
09/22/2006 10:07:00,11.13,,,1
09/22/2006 11:07:00,11.13,,,1
09/22/2006 12:07:00,15.5,,,1
09/22/2006 13:07:00,11.42,,,1
09/22/2006 14:07:00,10.27,,,1
09/22/2006 15:07:00,10.27,,,1
09/22/2006 16:07:00,9.69,,,1
09/22/2006 17:07:00,8.82,,,1
09/22/2006 18:07:00,8.82,,,1
09/22/2006 19:07:00,7.95,,,1
09/22/2006 20:07:00,7.37,,,1
09/22/2006 21:07:00,7.37,,,1
09/22/2006 22:07:00,7.37,,,1
09/22/2006 23:07:00,8.53,,,1
09/23/2006 00:07:00,8.82,,,1
09/23/2006 01:07:00,9.12,,,1
09/23/2006 02:07:00,9.12,,,1
09/23/2006 03:07:00,8.82,,,1
09/23/2006 04:07:00,9.12,,,1
09/23/2006 05:07:00,9.69,,,1
09/23/2006 06:07:00,10.27,,,1
09/23/2006 07:07:00,9.98,,,1
09/23/2006 08:07:00,12.87,,,1
09/23/2006 09:07:00,13.74,,,1
09/23/2006 10:07:00,16.68,,,1
09/23/2006 11:07:00,17.28,,,1
09/23/2006 12:07:00,21.52,,,1
09/23/2006 13:07:00,18.18,,,1
09/23/2006 14:07:00,17.28,,,1
09/23/2006 15:07:00,16.09,,,1
09/23/2006 16:07:00,14.62,,,1
09/23/2006 17:07:00,14.03,,,1
09/23/2006 18:07:00,13.74,,,1
09/23/2006 19:07:00,12.58,,,1
09/23/2006 20:07:00,12.87,,,1
09/23/2006 21:07:00,13.16,,,1
09/23/2006 22:07:00,14.62,,,1
09/23/2006 23:07:00,13.74,,,1
09/24/2006 00:07:00,12.58,,,1
09/24/2006 01:07:00,12.58,,,1
09/24/2006 02:07:00,11.71,,,1
09/24/2006 03:07:00,11.71,,,1
09/24/2006 04:07:00,12,,,1
09/24/2006 05:07:00,13.46,,,1
09/24/2006 06:07:00,12.29,,,1
09/24/2006 07:07:00,13.46,,,1
09/24/2006 08:07:00,14.91,,,1
09/24/2006 09:07:00,15.79,,,1
09/24/2006 10:07:00,18.78,,,1
09/24/2006 11:07:00,19.08,,,1
09/24/2006 12:07:00,21.83,,,1
09/24/2006 13:07:00,19.98,,,1
09/24/2006 14:07:00,19.38,,,1
09/24/2006 15:07:00,18.48,,,1
09/24/2006 16:07:00,17.58,,,1
09/24/2006 17:07:00,16.68,,,1
09/24/2006 18:07:00,16.39,,,1
09/24/2006 19:07:00,14.91,,,1
09/24/2006 20:07:00,14.91,,,1
09/24/2006 21:07:00,15.79,,,1
09/24/2006 22:07:00,16.68,,,1
09/24/2006 23:07:00,15.79,,,1
09/25/2006 00:07:00,14.33,,,1
09/25/2006 01:07:00,14.03,,,1
09/25/2006 02:07:00,14.62,,,1
09/25/2006 03:07:00,14.33,,,1
09/25/2006 04:07:00,14.03,,,1
09/25/2006 05:07:00,14.33,,,1
09/25/2006 06:07:00,14.62,,,1
09/25/2006 07:07:00,13.74,,,1
09/25/2006 08:07:00,14.62,,,1
09/25/2006 09:07:00,16.39,,,1
09/25/2006 10:07:00,18.78,,,1
09/25/2006 11:07:00,19.68,,,1
09/25/2006 12:07:00,21.21,,,1
09/25/2006 13:07:00,21.21,,,1
09/25/2006 14:07:00,19.38,,,1
09/25/2006 15:07:00,18.18,,,1
09/25/2006 16:07:00,17.58,,,1
09/25/2006 17:07:00,16.68,,,1
09/25/2006 18:07:00,16.39,,,1
09/25/2006 19:07:00,15.21,,,1
09/25/2006 20:07:00,14.33,,,1
09/25/2006 21:07:00,14.33,,,1
09/25/2006 22:07:00,15.21,,,1
09/25/2006 23:07:00,15.21,,,1
09/26/2006 00:07:00,14.91,,,1
09/26/2006 01:07:00,14.62,,,1
09/26/2006 02:07:00,14.62,,,1
09/26/2006 03:07:00,14.33,,,1
09/26/2006 04:07:00,14.62,,,1
09/26/2006 05:07:00,14.62,,,1
09/26/2006 06:07:00,14.33,,,1
09/26/2006 07:07:00,14.91,,,1
09/26/2006 08:07:00,15.5,,,1
09/26/2006 09:07:00,17.58,,,1
09/26/2006 10:07:00,19.68,,,1
09/26/2006 11:07:00,20.59,,,1
09/26/2006 12:07:00,21.83,,,1
09/26/2006 13:07:00,21.52,,,1
09/26/2006 14:07:00,19.98,,,1
09/26/2006 15:07:00,19.38,,,1
09/26/2006 16:07:00,18.18,,,1
09/26/2006 17:07:00,17.28,,,1
09/26/2006 18:07:00,16.39,,,1
09/26/2006 19:07:00,16.09,,,1
09/26/2006 20:07:00,16.39,,,1
09/26/2006 21:07:00,16.68,,,1
09/26/2006 22:07:00,15.79,,,1
09/26/2006 23:07:00,17.28,,,1
09/27/2006 00:07:00,16.98,,,1
09/27/2006 01:07:00,16.98,,,1
09/27/2006 02:07:00,15.79,,,1
09/27/2006 03:07:00,15.5,,,1
09/27/2006 04:07:00,14.62,,,1
09/27/2006 05:07:00,14.33,,,1
09/27/2006 06:07:00,14.33,,,1
09/27/2006 07:07:00,15.21,,,1
09/27/2006 08:07:00,16.98,,,1
09/27/2006 09:07:00,19.08,,,1
09/27/2006 10:07:00,19.98,,,1
09/27/2006 11:07:00,20.9,,,1
09/27/2006 12:07:00,21.52,,,1
09/27/2006 13:07:00,21.52,,,1
09/27/2006 14:07:00,20.59,,,1
09/27/2006 15:07:00,19.68,,,1
09/27/2006 16:07:00,18.48,,,1
09/27/2006 17:07:00,17.58,,,1
09/27/2006 18:07:00,16.98,,,1
09/27/2006 19:07:00,16.09,,,1
09/27/2006 20:07:00,15.5,,,1
09/27/2006 21:07:00,15.79,,,1
09/27/2006 22:07:00,15.79,,,1
09/27/2006 23:07:00,16.39,,,1
09/28/2006 00:07:00,15.21,,,1
09/28/2006 01:07:00,15.21,,,1
09/28/2006 02:07:00,14.62,,,1
09/28/2006 03:07:00,14.91,,,1
09/28/2006 04:07:00,14.03,,,1
09/28/2006 05:07:00,13.46,,,1
09/28/2006 06:07:00,13.46,,,1
09/28/2006 07:07:00,13.16,,,1
09/28/2006 08:07:00,14.62,,,1
09/28/2006 09:07:00,16.68,,,1
09/28/2006 10:07:00,18.48,,,1
09/28/2006 11:07:00,19.38,,,1
09/28/2006 12:07:00,20.59,,,1
09/28/2006 13:07:00,20.59,,,1
09/28/2006 14:07:00,19.38,,,1
09/28/2006 15:07:00,18.48,,,1
09/28/2006 16:07:00,17.88,,,1
09/28/2006 17:07:00,16.39,,,1
09/28/2006 18:07:00,15.79,,,1
09/28/2006 19:07:00,14.91,,,1
09/28/2006 20:07:00,14.03,,,1
09/28/2006 21:07:00,14.33,,,1
09/28/2006 22:07:00,14.62,,,1
09/28/2006 23:07:00,14.91,,,1
09/29/2006 00:07:00,14.91,,,1
09/29/2006 01:07:00,14.91,,,1
09/29/2006 02:07:00,14.33,,,1
09/29/2006 03:07:00,14.91,,,1
09/29/2006 04:07:00,14.03,,,1
09/29/2006 05:07:00,14.91,,,1
09/29/2006 06:07:00,14.91,,,1
09/29/2006 07:07:00,15.21,,,1
09/29/2006 08:07:00,16.09,,,1
09/29/2006 09:07:00,17.28,,,1
09/29/2006 10:07:00,18.48,,,1
