,Temperature.air@OLYM_138,Temperature.air@OLYM_138,Temperature.air@OLYM_138,Temperature.air@OLYM_138
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
08/09/2008 12:17:00,8.817,,,1
08/09/2008 13:17:00,9.805,,,1
08/09/2008 14:17:00,12.509,,,1
08/09/2008 15:17:00,11.224,,,1
08/09/2008 16:17:00,10.149,,,1
08/09/2008 17:17:00,6.687,,,1
08/09/2008 18:17:00,6.484,,,1
08/09/2008 19:17:00,6.128,,,1
08/09/2008 20:17:00,5.821,,,1
08/09/2008 21:17:00,5.385,,,1
08/09/2008 22:17:00,5.539,,,1
08/09/2008 23:17:00,5.437,,,1
08/10/2008 00:17:00,5.437,,,1
08/10/2008 01:17:00,5.36,,,1
08/10/2008 02:17:00,5.385,,,1
08/10/2008 03:17:00,5.282,,,1
08/10/2008 04:17:00,5.282,,,1
08/10/2008 05:17:00,5.231,,,1
08/10/2008 06:17:00,5.076,,,1
08/10/2008 07:17:00,4.999,,,1
08/10/2008 08:17:00,5.154,,,1
08/10/2008 09:17:00,6.382,,,1
08/10/2008 10:17:00,6.99,,,1
08/10/2008 11:17:00,7.795,,,1
08/10/2008 12:17:00,8.245,,,1
08/10/2008 13:17:00,8.593,,,1
08/10/2008 14:17:00,8.369,,,1
08/10/2008 15:17:00,10.467,,,1
08/10/2008 16:17:00,8.618,,,1
08/10/2008 17:17:00,8.717,,,1
08/10/2008 18:17:00,8.419,,,1
08/10/2008 19:17:00,8.319,,,1
08/10/2008 20:17:00,8.344,,,1
08/10/2008 21:17:00,8.02,,,1
08/10/2008 22:17:00,8.045,,,1
08/10/2008 23:17:00,8.394,,,1
08/11/2008 00:17:00,8.419,,,1
08/11/2008 01:17:00,8.344,,,1
08/11/2008 02:17:00,8.494,,,1
08/11/2008 03:17:00,8.568,,,1
08/11/2008 04:17:00,8.519,,,1
08/11/2008 05:17:00,8.593,,,1
08/11/2008 06:17:00,8.916,,,1
08/11/2008 07:17:00,8.519,,,1
08/11/2008 08:17:00,9.361,,,1
08/11/2008 09:17:00,9.977,,,1
08/11/2008 10:17:00,11.856,,,1
08/11/2008 11:17:00,13.546,,,1
08/11/2008 12:17:00,13.04,,,1
08/11/2008 13:17:00,13.786,,,1
08/11/2008 14:17:00,14.625,,,1
08/11/2008 15:17:00,15.39,,,1
08/11/2008 16:17:00,16.749,,,1
08/11/2008 17:17:00,17.391,,,1
08/11/2008 18:17:00,14.553,,,1
08/11/2008 19:17:00,13.281,,,1
08/11/2008 20:17:00,12.992,,,1
08/11/2008 21:17:00,12.485,,,1
08/11/2008 22:17:00,10.761,,,1
08/11/2008 23:17:00,12.92,,,1
08/12/2008 00:17:00,11.175,,,1
08/12/2008 01:17:00,11.273,,,1
08/12/2008 02:17:00,10.98,,,1
08/12/2008 03:17:00,10.467,,,1
08/12/2008 04:17:00,10.785,,,1
08/12/2008 05:17:00,10.32,,,1
08/12/2008 06:17:00,10.222,,,1
08/12/2008 07:17:00,9.928,,,1
08/12/2008 08:17:00,11.807,,,1
08/12/2008 09:17:00,12.098,,,1
08/12/2008 10:17:00,13.473,,,1
08/12/2008 11:17:00,12.727,,,1
08/12/2008 12:17:00,13.016,,,1
08/12/2008 13:17:00,13.954,,,1
08/12/2008 14:17:00,14.673,,,1
08/12/2008 15:17:00,12.243,,,1
08/12/2008 16:17:00,11.953,,,1
08/12/2008 17:17:00,11.832,,,1
08/12/2008 18:17:00,11.175,,,1
08/12/2008 19:17:00,11.029,,,1
08/12/2008 20:17:00,10.883,,,1
08/12/2008 21:17:00,10.614,,,1
08/12/2008 22:17:00,10.075,,,1
08/12/2008 23:17:00,10.1,,,1
08/13/2008 00:17:00,9.952,,,1
08/13/2008 01:17:00,9.583,,,1
08/13/2008 02:17:00,9.238,,,1
08/13/2008 03:17:00,9.608,,,1
08/13/2008 04:17:00,9.312,,,1
08/13/2008 05:17:00,9.78,,,1
08/13/2008 06:17:00,9.706,,,1
08/13/2008 07:17:00,10.369,,,1
08/13/2008 08:17:00,11.467,,,1
08/13/2008 09:17:00,12.171,,,1
08/13/2008 10:17:00,13.425,,,1
08/13/2008 11:17:00,15.366,,,1
08/13/2008 12:17:00,15.819,,,1
08/13/2008 13:17:00,15.939,,,1
08/13/2008 14:17:00,17.51,,,1
08/13/2008 15:17:00,19.175,,,1
08/13/2008 16:17:00,18.509,,,1
08/13/2008 17:17:00,19.365,,,1
08/13/2008 18:17:00,19.627,,,1
08/13/2008 19:17:00,18.176,,,1
08/13/2008 20:17:00,14.721,,,1
08/13/2008 21:17:00,13.618,,,1
08/13/2008 22:17:00,13.954,,,1
08/13/2008 23:17:00,14.888,,,1
08/14/2008 00:17:00,15.27,,,1
08/14/2008 01:17:00,15.605,,,1
08/14/2008 02:17:00,16.082,,,1
08/14/2008 03:17:00,16.463,,,1
08/14/2008 04:17:00,15.7,,,1
08/14/2008 05:17:00,17.201,,,1
08/14/2008 06:17:00,16.892,,,1
08/14/2008 07:17:00,17.677,,,1
08/14/2008 08:17:00,18.366,,,1
08/14/2008 09:17:00,19.103,,,1
08/14/2008 10:17:00,21.246,,,1
08/14/2008 11:17:00,22.465,,,1
08/14/2008 12:17:00,23.665,,,1
08/14/2008 13:17:00,24.122,,,1
08/14/2008 14:17:00,24.557,,,1
08/14/2008 15:17:00,28.097,,,1
08/14/2008 16:17:00,26.28,,,1
08/14/2008 17:17:00,25.695,,,1
08/14/2008 18:17:00,23.448,,,1
08/14/2008 19:17:00,21.724,,,1
08/14/2008 20:17:00,21.032,,,1
08/14/2008 21:17:00,20.341,,,1
08/14/2008 22:17:00,20.222,,,1
08/14/2008 23:17:00,20.007,,,1
08/15/2008 00:17:00,19.103,,,1
08/15/2008 01:17:00,18.842,,,1
08/15/2008 02:17:00,19.841,,,1
08/15/2008 03:17:00,18.699,,,1
08/15/2008 04:17:00,19.341,,,1
08/15/2008 05:17:00,19.936,,,1
08/15/2008 06:17:00,21.079,,,1
08/15/2008 07:17:00,18.866,,,1
08/15/2008 08:17:00,19.27,,,1
08/15/2008 09:17:00,20.865,,,1
08/15/2008 10:17:00,21.748,,,1
08/15/2008 11:17:00,22.944,,,1
08/15/2008 12:17:00,22.944,,,1
08/15/2008 13:17:00,23.04,,,1
08/15/2008 14:17:00,23.761,,,1
08/15/2008 15:17:00,22.25,,,1
08/15/2008 16:17:00,25.089,,,1
08/15/2008 17:17:00,24.339,,,1
08/15/2008 18:17:00,24.002,,,1
08/15/2008 19:17:00,20.603,,,1
08/15/2008 20:17:00,19.46,,,1
08/15/2008 21:17:00,21.151,,,1
08/15/2008 22:17:00,20.984,,,1
08/15/2008 23:17:00,21.461,,,1
08/16/2008 00:17:00,21.151,,,1
08/16/2008 01:17:00,21.032,,,1
08/16/2008 02:17:00,20.984,,,1
08/16/2008 03:17:00,21.056,,,1
08/16/2008 04:17:00,21.151,,,1
08/16/2008 05:17:00,19.365,,,1
08/16/2008 06:17:00,19.222,,,1
08/16/2008 07:17:00,19.365,,,1
08/16/2008 08:17:00,19.579,,,1
08/16/2008 09:17:00,20.436,,,1
08/16/2008 10:17:00,22.753,,,1
08/16/2008 11:17:00,24.098,,,1
08/16/2008 12:17:00,25.695,,,1
08/16/2008 13:17:00,26.012,,,1
08/16/2008 14:17:00,26.304,,,1
08/16/2008 15:17:00,29.765,,,1
08/16/2008 16:17:00,27.063,,,1
08/16/2008 17:17:00,26.867,,,1
08/16/2008 18:17:00,25.331,,,1
08/16/2008 19:17:00,23.4,,,1
08/16/2008 20:17:00,20.388,,,1
08/16/2008 21:17:00,21.939,,,1
08/16/2008 22:17:00,22.034,,,1
08/16/2008 23:17:00,20.412,,,1
08/17/2008 00:17:00,19.77,,,1
08/17/2008 01:17:00,19.389,,,1
08/17/2008 02:17:00,19.056,,,1
08/17/2008 03:17:00,19.674,,,1
08/17/2008 04:17:00,19.365,,,1
08/17/2008 05:17:00,19.865,,,1
08/17/2008 06:17:00,19.817,,,1
08/17/2008 07:17:00,20.984,,,1
08/17/2008 08:17:00,21.079,,,1
08/17/2008 09:17:00,23.16,,,1
08/17/2008 10:17:00,23.4,,,1
08/17/2008 11:17:00,23.521,,,1
08/17/2008 12:17:00,25.137,,,1
08/17/2008 13:17:00,24.677,,,1
08/17/2008 14:17:00,22.92,,,1
08/17/2008 15:17:00,22.489,,,1
08/17/2008 16:17:00,18.509,,,1
08/17/2008 17:17:00,19.651,,,1
08/17/2008 18:17:00,19.651,,,1
08/17/2008 19:17:00,16.915,,,1
08/17/2008 20:17:00,18.39,,,1
08/17/2008 21:17:00,18.818,,,1
08/17/2008 22:17:00,19.413,,,1
08/17/2008 23:17:00,16.01,,,1
08/18/2008 00:17:00,17.486,,,1
08/18/2008 01:17:00,18.557,,,1
08/18/2008 02:17:00,17.582,,,1
08/18/2008 03:17:00,17.225,,,1
08/18/2008 04:17:00,15.652,,,1
08/18/2008 05:17:00,16.034,,,1
08/18/2008 06:17:00,16.511,,,1
08/18/2008 07:17:00,15.103,,,1
08/18/2008 08:17:00,16.034,,,1
08/18/2008 09:17:00,16.677,,,1
08/18/2008 10:17:00,15.294,,,1
08/18/2008 11:17:00,16.654,,,1
08/18/2008 12:17:00,17.058,,,1
08/18/2008 13:17:00,16.487,,,1
08/18/2008 14:17:00,16.963,,,1
08/18/2008 15:17:00,16.344,,,1
08/18/2008 16:17:00,14.816,,,1
08/18/2008 17:17:00,14.553,,,1
08/18/2008 18:17:00,13.064,,,1
08/18/2008 19:17:00,12.147,,,1
08/18/2008 20:17:00,10.173,,,1
08/18/2008 21:17:00,9.46,,,1
08/18/2008 22:17:00,9.361,,,1
08/18/2008 23:17:00,9.41,,,1
08/19/2008 00:17:00,9.287,,,1
08/19/2008 01:17:00,9.386,,,1
08/19/2008 02:17:00,9.089,,,1
08/19/2008 03:17:00,8.394,,,1
08/19/2008 04:17:00,7.645,,,1
08/19/2008 05:17:00,6.914,,,1
08/19/2008 06:17:00,6.56,,,1
08/19/2008 07:17:00,7.519,,,1
08/19/2008 08:17:00,8.22,,,1
08/19/2008 09:17:00,8.568,,,1
08/19/2008 10:17:00,8.419,,,1
08/19/2008 11:17:00,8.319,,,1
08/19/2008 12:17:00,9.262,,,1
08/19/2008 13:17:00,9.706,,,1
08/19/2008 14:17:00,9.977,,,1
08/19/2008 15:17:00,9.558,,,1
08/19/2008 16:17:00,9.435,,,1
08/19/2008 17:17:00,9.188,,,1
08/19/2008 18:17:00,9.089,,,1
08/19/2008 19:17:00,8.891,,,1
08/19/2008 20:17:00,9.015,,,1
08/19/2008 21:17:00,8.519,,,1
08/19/2008 22:17:00,8.27,,,1
08/19/2008 23:17:00,8.07,,,1
08/20/2008 00:17:00,8.07,,,1
08/20/2008 01:17:00,8.07,,,1
08/20/2008 02:17:00,7.97,,,1
08/20/2008 03:17:00,7.945,,,1
08/20/2008 04:17:00,7.87,,,1
08/20/2008 05:17:00,7.268,,,1
08/20/2008 06:17:00,6.737,,,1
08/20/2008 07:17:00,6.737,,,1
08/20/2008 08:17:00,5.719,,,1
08/20/2008 09:17:00,5.949,,,1
08/20/2008 10:17:00,5.36,,,1
08/20/2008 11:17:00,5.488,,,1
08/20/2008 12:17:00,6.408,,,1
08/20/2008 13:17:00,7.795,,,1
08/20/2008 14:17:00,6.813,,,1
08/20/2008 15:17:00,6.94,,,1
08/20/2008 16:17:00,7.619,,,1
08/20/2008 17:17:00,7.015,,,1
08/20/2008 18:17:00,6.077,,,1
08/20/2008 19:17:00,5.668,,,1
08/20/2008 20:17:00,5.668,,,1
08/20/2008 21:17:00,5.411,,,1
08/20/2008 22:17:00,5.411,,,1
08/20/2008 23:17:00,5.179,,,1
08/21/2008 00:17:00,4.921,,,1
08/21/2008 01:17:00,4.636,,,1
08/21/2008 02:17:00,4.532,,,1
08/21/2008 03:17:00,4.48,,,1
08/21/2008 04:17:00,3.801,,,1
08/21/2008 05:17:00,3.827,,,1
08/21/2008 06:17:00,4.168,,,1
08/21/2008 07:17:00,4.298,,,1
08/21/2008 08:17:00,4.48,,,1
08/21/2008 09:17:00,4.636,,,1
08/21/2008 10:17:00,4.869,,,1
08/21/2008 11:17:00,5.745,,,1
08/21/2008 12:17:00,5.745,,,1
08/21/2008 13:17:00,5.642,,,1
08/21/2008 14:17:00,6.051,,,1
08/21/2008 15:17:00,6.153,,,1
08/21/2008 16:17:00,6.255,,,1
08/21/2008 17:17:00,6.712,,,1
08/21/2008 18:17:00,6.813,,,1
08/21/2008 19:17:00,6.99,,,1
08/21/2008 20:17:00,6.357,,,1
08/21/2008 21:17:00,6.077,,,1
08/21/2008 22:17:00,5.488,,,1
08/21/2008 23:17:00,5.05,,,1
08/22/2008 00:17:00,4.818,,,1
08/22/2008 01:17:00,5.308,,,1
08/22/2008 02:17:00,5.642,,,1
08/22/2008 03:17:00,5.616,,,1
08/22/2008 04:17:00,6.179,,,1
08/22/2008 05:17:00,6.306,,,1
08/22/2008 06:17:00,6.458,,,1
08/22/2008 07:17:00,6.357,,,1
08/22/2008 08:17:00,6.763,,,1
08/22/2008 09:17:00,8.145,,,1
08/22/2008 10:17:00,9.089,,,1
08/22/2008 11:17:00,10.785,,,1
08/22/2008 12:17:00,14.074,,,1
08/22/2008 13:17:00,12.122,,,1
08/22/2008 14:17:00,13.281,,,1
08/22/2008 15:17:00,14.625,,,1
08/22/2008 16:17:00,14.816,,,1
08/22/2008 17:17:00,15.652,,,1
08/22/2008 18:17:00,14.577,,,1
08/22/2008 19:17:00,13.353,,,1
08/22/2008 20:17:00,11.686,,,1
08/22/2008 21:17:00,10.736,,,1
08/22/2008 22:17:00,11.565,,,1
08/22/2008 23:17:00,11.005,,,1
08/23/2008 00:17:00,11.492,,,1
08/23/2008 01:17:00,11.613,,,1
08/23/2008 02:17:00,11.419,,,1
08/23/2008 03:17:00,10.443,,,1
08/23/2008 04:17:00,10.198,,,1
08/23/2008 05:17:00,10.883,,,1
08/23/2008 06:17:00,10.907,,,1
08/23/2008 07:17:00,10.785,,,1
08/23/2008 08:17:00,12.147,,,1
08/23/2008 09:17:00,13.088,,,1
08/23/2008 10:17:00,15.294,,,1
