,Temperature.air@OLYM_Gladys,Temperature.air@OLYM_Gladys,Temperature.air@OLYM_Gladys,Temperature.air@OLYM_Gladys
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
09/22/2009 14:15:36,21.056,,,1
09/22/2009 14:15:53,,,,1
09/22/2009 15:15:36,19.413,,,1
09/22/2009 16:15:36,18.985,,,1
09/22/2009 17:15:36,18.747,,,1
09/22/2009 18:15:36,18.485,,,1
09/22/2009 19:15:36,20.007,,,1
09/22/2009 20:15:36,19.246,,,1
09/22/2009 21:15:36,17.558,,,1
09/22/2009 22:15:36,16.106,,,1
09/22/2009 23:15:36,15.031,,,1
09/23/2009 00:15:36,14.361,,,1
09/23/2009 01:15:36,13.882,,,1
09/23/2009 02:15:36,13.401,,,1
09/23/2009 03:15:36,12.968,,,1
09/23/2009 04:15:36,12.534,,,1
09/23/2009 05:15:36,12.219,,,1
09/23/2009 06:15:36,11.904,,,1
09/23/2009 07:15:36,11.565,,,1
09/23/2009 08:15:36,11.321,,,1
09/23/2009 09:15:36,11.783,,,1
09/23/2009 10:15:36,13.185,,,1
09/23/2009 11:15:36,15.724,,,1
09/23/2009 12:15:36,21.604,,,1
09/23/2009 13:15:36,22.393,,,1
09/23/2009 14:15:36,24.267,,,1
09/23/2009 15:15:36,26.916,,,1
09/23/2009 16:15:36,25.501,,,1
09/23/2009 17:15:36,21.151,,,1
09/23/2009 18:15:36,16.606,,,1
09/23/2009 19:15:36,17.344,,,1
09/23/2009 20:15:36,16.582,,,1
09/23/2009 21:15:36,14.936,,,1
09/23/2009 22:15:36,14.888,,,1
09/23/2009 23:15:36,11.807,,,1
09/24/2009 00:15:36,11.175,,,1
09/24/2009 01:15:36,9.854,,,1
09/24/2009 02:15:36,8.319,,,1
09/24/2009 03:15:36,7.419,,,1
09/24/2009 04:15:36,6.636,,,1
09/24/2009 05:15:36,6.458,,,1
09/24/2009 06:15:36,8.12,,,1
09/24/2009 07:15:36,7.745,,,1
09/24/2009 08:15:36,9.41,,,1
09/24/2009 09:15:36,9.583,,,1
09/24/2009 10:15:36,9.41,,,1
09/24/2009 11:15:36,9.336,,,1
09/24/2009 12:15:36,15.533,,,1
09/24/2009 13:15:36,13.69,,,1
09/24/2009 14:15:36,14.29,,,1
09/24/2009 15:15:36,14.577,,,1
09/24/2009 16:15:36,14.912,,,1
09/24/2009 17:15:36,13.353,,,1
09/24/2009 18:15:36,9.46,,,1
09/24/2009 19:15:36,7.895,,,1
09/24/2009 20:15:36,6.788,,,1
09/24/2009 21:15:36,6.382,,,1
09/24/2009 22:15:36,6.128,,,1
09/24/2009 23:15:36,5.898,,,1
09/25/2009 00:15:36,6.179,,,1
09/25/2009 01:15:36,6.255,,,1
09/25/2009 02:15:36,6.813,,,1
09/25/2009 03:15:36,6.712,,,1
09/25/2009 04:15:36,6.585,,,1
09/25/2009 05:15:36,6.204,,,1
09/25/2009 06:15:36,6.585,,,1
09/25/2009 07:15:36,6.051,,,1
09/25/2009 08:15:36,7.015,,,1
09/25/2009 09:15:36,8.742,,,1
09/25/2009 10:15:36,11.953,,,1
09/25/2009 11:15:36,13.233,,,1
09/25/2009 12:15:36,19.674,,,1
09/25/2009 13:15:36,18.675,,,1
09/25/2009 14:15:36,18.247,,,1
09/25/2009 15:15:36,18.057,,,1
09/25/2009 16:15:36,18.319,,,1
09/25/2009 17:15:36,18.533,,,1
09/25/2009 18:15:36,15.079,,,1
09/25/2009 19:15:36,13.401,,,1
09/25/2009 20:15:36,13.185,,,1
09/25/2009 21:15:36,12.558,,,1
09/25/2009 22:15:36,13.594,,,1
09/25/2009 23:15:36,12.896,,,1
09/26/2009 00:15:36,12.243,,,1
09/26/2009 01:15:36,12.389,,,1
09/26/2009 02:15:36,11.443,,,1
09/26/2009 03:15:36,9.706,,,1
09/26/2009 04:15:36,10.1,,,1
09/26/2009 05:15:36,8.469,,,1
09/26/2009 06:15:36,8.568,,,1
09/26/2009 07:15:36,7.845,,,1
09/26/2009 08:15:36,8.07,,,1
09/26/2009 09:15:36,8.07,,,1
09/26/2009 10:15:36,8.17,,,1
09/26/2009 11:15:36,8.792,,,1
09/26/2009 12:15:36,11.516,,,1
09/26/2009 13:15:36,11.078,,,1
09/26/2009 14:15:36,11.783,,,1
09/26/2009 15:15:36,11.759,,,1
09/26/2009 16:15:36,12.05,,,1
09/26/2009 17:15:36,11.807,,,1
09/26/2009 18:15:36,9.854,,,1
09/26/2009 19:15:36,9.312,,,1
09/26/2009 20:15:36,8.941,,,1
09/26/2009 21:15:36,5.411,,,1
09/26/2009 22:15:36,7.82,,,1
09/26/2009 23:15:36,3.722,,,1
09/27/2009 00:15:36,2.69,,,1
09/27/2009 01:15:36,5.514,,,1
09/27/2009 02:15:36,10.051,,,1
09/27/2009 03:15:36,9.608,,,1
09/27/2009 04:15:36,8.817,,,1
09/27/2009 05:15:36,8.02,,,1
09/27/2009 06:15:36,6.051,,,1
09/27/2009 07:15:36,4.35,,,1
09/27/2009 08:15:36,4.999,,,1
09/27/2009 09:15:36,6.051,,,1
09/27/2009 10:15:36,8.965,,,1
09/27/2009 11:15:36,9.485,,,1
09/27/2009 12:15:36,14.361,,,1
09/27/2009 13:15:36,14.457,,,1
09/27/2009 14:15:36,15.7,,,1
09/27/2009 15:15:36,16.558,,,1
09/27/2009 16:15:36,16.01,,,1
09/27/2009 17:15:36,16.249,,,1
09/27/2009 18:15:36,12.074,,,1
09/27/2009 19:15:36,9.312,,,1
09/27/2009 20:15:36,8.841,,,1
09/27/2009 21:15:36,8.717,,,1
09/27/2009 22:15:36,11.078,,,1
09/27/2009 23:15:36,11.151,,,1
09/28/2009 00:15:36,12.727,,,1
09/28/2009 01:15:36,10.932,,,1
09/28/2009 02:15:36,11.394,,,1
09/28/2009 03:15:36,11.273,,,1
09/28/2009 04:15:36,10.467,,,1
09/28/2009 05:15:36,9.386,,,1
09/28/2009 06:15:36,8.693,,,1
09/28/2009 07:15:36,8.145,,,1
09/28/2009 08:15:36,7.318,,,1
09/28/2009 09:15:36,6.357,,,1
09/28/2009 10:15:36,7.242,,,1
09/28/2009 11:15:36,6.687,,,1
09/28/2009 12:15:36,5.024,,,1
09/28/2009 13:15:36,5.872,,,1
09/28/2009 14:15:36,4.037,,,1
09/28/2009 15:15:36,3.538,,,1
09/28/2009 16:15:36,3.564,,,1
09/28/2009 17:15:36,1.262,,,1
09/28/2009 18:15:36,0.356,,,1
09/28/2009 19:15:36,0.024,,,1
09/28/2009 20:15:36,-0.059,,,1
09/28/2009 21:15:36,-0.283,,,1
09/28/2009 22:15:36,-0.845,,,1
09/28/2009 23:15:36,-0.732,,,1
09/29/2009 00:15:36,-0.816,,,1
09/29/2009 01:15:36,-1.184,,,1
09/29/2009 02:15:36,-1.128,,,1
09/29/2009 03:15:36,-0.986,,,1
09/29/2009 04:15:36,-1.384,,,1
09/29/2009 05:15:36,-1.043,,,1
09/29/2009 06:15:36,-0.901,,,1
09/29/2009 07:15:36,-0.339,,,1
09/29/2009 08:15:36,-0.283,,,1
09/29/2009 09:15:36,-0.143,,,1
09/29/2009 10:15:36,0.19,,,1
09/29/2009 11:15:36,1.071,,,1
09/29/2009 12:15:36,1.099,,,1
09/29/2009 13:15:36,1.153,,,1
09/29/2009 14:15:36,1.235,,,1
09/29/2009 15:15:36,0.412,,,1
09/29/2009 16:15:36,0.079,,,1
09/29/2009 17:15:36,-0.423,,,1
09/29/2009 18:15:36,-0.986,,,1
09/29/2009 19:15:36,-1.698,,,1
09/29/2009 20:15:36,-2.13,,,1
09/29/2009 21:15:36,-1.986,,,1
09/29/2009 22:15:36,-2.072,,,1
09/29/2009 23:15:36,-1.842,,,1
09/30/2009 00:15:36,-1.784,,,1
09/30/2009 01:15:36,-1.756,,,1
09/30/2009 02:15:36,-1.784,,,1
09/30/2009 03:15:36,-1.727,,,1
09/30/2009 04:15:36,-1.784,,,1
09/30/2009 05:15:36,-2.015,,,1
09/30/2009 06:15:36,-2.044,,,1
09/30/2009 07:15:36,-2.159,,,1
09/30/2009 08:15:36,-2.217,,,1
09/30/2009 09:15:36,-1.928,,,1
09/30/2009 10:15:36,-1.327,,,1
09/30/2009 11:15:36,-0.423,,,1
09/30/2009 12:15:36,1.913,,,1
09/30/2009 13:15:36,2.37,,,1
09/30/2009 14:15:36,1.94,,,1
09/30/2009 15:15:36,1.724,,,1
09/30/2009 16:15:36,1.697,,,1
09/30/2009 17:15:36,1.344,,,1
09/30/2009 18:15:36,0.632,,,1
09/30/2009 19:15:36,0.19,,,1
09/30/2009 20:15:36,0.246,,,1
09/30/2009 21:15:36,0.55,,,1
09/30/2009 22:15:36,0.715,,,1
09/30/2009 23:15:36,0.852,,,1
10/01/2009 00:15:36,1.262,,,1
10/01/2009 01:15:36,1.289,,,1
10/01/2009 02:15:36,1.262,,,1
10/01/2009 03:15:36,1.371,,,1
10/01/2009 04:15:36,1.615,,,1
10/01/2009 05:15:36,1.67,,,1
10/01/2009 06:15:36,1.994,,,1
10/01/2009 07:15:36,2.316,,,1
10/01/2009 08:15:36,2.61,,,1
10/01/2009 09:15:36,2.983,,,1
10/01/2009 10:15:36,4.037,,,1
10/01/2009 11:15:36,3.932,,,1
10/01/2009 12:15:36,4.194,,,1
10/01/2009 13:15:36,4.61,,,1
10/01/2009 14:15:36,4.246,,,1
10/01/2009 15:15:36,4.063,,,1
10/01/2009 16:15:36,3.617,,,1
10/01/2009 17:15:36,2.61,,,1
10/01/2009 18:15:36,1.859,,,1
10/01/2009 19:15:36,1.371,,,1
10/01/2009 20:15:36,1.453,,,1
10/01/2009 21:15:36,1.126,,,1
10/01/2009 22:15:36,0.852,,,1
10/01/2009 23:15:36,0.852,,,1
10/02/2009 00:15:36,0.467,,,1
10/02/2009 01:15:36,-0.059,,,1
10/02/2009 02:15:36,-0.479,,,1
10/02/2009 03:15:36,-0.171,,,1
10/02/2009 04:15:36,-0.311,,,1
10/02/2009 05:15:36,-0.535,,,1
10/02/2009 06:15:36,-1.043,,,1
10/02/2009 07:15:36,-1.156,,,1
10/02/2009 08:15:36,-1.756,,,1
10/02/2009 09:15:36,-1.213,,,1
10/02/2009 10:15:36,-1.327,,,1
10/02/2009 11:15:36,-0.732,,,1
10/02/2009 12:15:36,1.724,,,1
10/02/2009 13:15:36,2.074,,,1
10/02/2009 14:15:36,5.05,,,1
10/02/2009 15:15:36,3.749,,,1
10/02/2009 16:15:36,2.744,,,1
10/02/2009 17:15:36,2.289,,,1
10/02/2009 18:15:36,0.88,,,1
10/02/2009 19:15:36,-0.199,,,1
10/02/2009 20:15:36,-0.788,,,1
10/02/2009 21:15:36,-1.241,,,1
10/02/2009 22:15:36,-1.784,,,1
10/02/2009 23:15:36,-2.304,,,1
10/03/2009 00:15:36,-2.653,,,1
10/03/2009 01:15:36,-3.035,,,1
10/03/2009 02:15:36,-2.888,,,1
10/03/2009 03:15:36,-2.275,,,1
10/03/2009 04:15:36,-2.044,,,1
10/03/2009 05:15:36,-1.986,,,1
10/03/2009 06:15:36,-1.957,,,1
10/03/2009 07:15:36,-1.986,,,1
10/03/2009 08:15:36,-2.044,,,1
10/03/2009 09:15:36,-1.584,,,1
10/03/2009 10:15:36,-1.612,,,1
10/03/2009 11:15:36,-1.241,,,1
10/03/2009 12:15:36,-0.788,,,1
10/03/2009 13:15:36,-0.563,,,1
10/03/2009 14:15:36,-0.563,,,1
10/03/2009 15:15:36,-1.014,,,1
10/03/2009 16:15:36,-0.845,,,1
10/03/2009 17:15:36,-1.071,,,1
10/03/2009 18:15:36,-1.469,,,1
10/03/2009 19:15:36,-1.355,,,1
10/03/2009 20:15:36,-1.128,,,1
10/03/2009 21:15:36,-1.014,,,1
10/03/2009 22:15:36,-1.071,,,1
10/03/2009 23:15:36,-0.873,,,1
10/04/2009 00:15:36,-0.704,,,1
10/04/2009 01:15:36,-0.423,,,1
10/04/2009 02:15:36,-0.227,,,1
10/04/2009 03:15:36,-0.059,,,1
10/04/2009 04:15:36,-0.087,,,1
10/04/2009 05:15:36,-0.059,,,1
10/04/2009 06:15:36,-0.115,,,1
10/04/2009 07:15:36,-0.339,,,1
10/04/2009 08:15:36,-0.535,,,1
10/04/2009 09:15:36,0.051,,,1
10/04/2009 10:15:36,-0.143,,,1
10/04/2009 11:15:36,0.273,,,1
10/04/2009 12:15:36,1.751,,,1
10/04/2009 13:15:36,4.272,,,1
10/04/2009 14:15:36,5.539,,,1
10/04/2009 15:15:36,5.745,,,1
10/04/2009 16:15:36,5.282,,,1
10/04/2009 17:15:36,4.48,,,1
10/04/2009 18:15:36,1.94,,,1
10/04/2009 19:15:36,0.88,,,1
10/04/2009 20:15:36,0.77,,,1
10/04/2009 21:15:36,0.55,,,1
10/04/2009 22:15:36,0.163,,,1
10/04/2009 23:15:36,-0.423,,,1
10/05/2009 00:15:36,-0.732,,,1
10/05/2009 01:15:36,-0.901,,,1
10/05/2009 02:15:36,-0.901,,,1
10/05/2009 03:15:36,-0.986,,,1
10/05/2009 04:15:36,-1.071,,,1
10/05/2009 05:15:36,-1.184,,,1
10/05/2009 06:15:36,-1.355,,,1
10/05/2009 07:15:36,-1.555,,,1
10/05/2009 08:15:36,-1.641,,,1
10/05/2009 09:15:36,-0.451,,,1
10/05/2009 10:15:36,0.962,,,1
10/05/2009 11:15:36,2.477,,,1
10/05/2009 12:15:36,5.154,,,1
10/05/2009 13:15:36,6.611,,,1
10/05/2009 14:15:36,9.262,,,1
10/05/2009 15:15:36,7.92,,,1
10/05/2009 16:15:36,7.87,,,1
10/05/2009 17:15:36,6.484,,,1
10/05/2009 18:15:36,3.617,,,1
10/05/2009 19:15:36,2.209,,,1
10/05/2009 20:15:36,1.832,,,1
10/05/2009 21:15:36,1.859,,,1
10/05/2009 22:15:36,1.425,,,1
10/05/2009 23:15:36,1.534,,,1
10/06/2009 00:15:36,2.37,,,1
10/06/2009 01:15:36,2.45,,,1
10/06/2009 02:15:36,5.128,,,1
10/06/2009 03:15:36,3.063,,,1
10/06/2009 04:15:36,2.664,,,1
10/06/2009 05:15:36,4.141,,,1
10/06/2009 06:15:36,5.36,,,1
10/06/2009 07:15:36,5.975,,,1
