,Temperature.air@OLYM_LaCrosse,Temperature.air@OLYM_LaCrosse,Temperature.air@OLYM_LaCrosse,Temperature.air@OLYM_LaCrosse
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
09/09/2010 10:00:00,,,,1
09/09/2010 11:00:00,,,,1
09/09/2010 12:00:00,,,,1
09/09/2010 13:00:00,,,,1
09/09/2010 14:00:00,17.415,,,1
09/09/2010 15:00:00,15.294,,,1
09/09/2010 16:00:00,12.534,,,1
09/09/2010 17:00:00,10.638,,,1
09/09/2010 18:00:00,7.091,,,1
09/09/2010 19:00:00,4.688,,,1
09/09/2010 20:00:00,4.506,,,1
09/09/2010 21:00:00,4.324,,,1
09/09/2010 22:00:00,4.037,,,1
09/09/2010 23:00:00,3.722,,,1
09/10/2010 00:00:00,3.512,,,1
09/10/2010 01:00:00,3.248,,,1
09/10/2010 02:00:00,3.195,,,1
09/10/2010 03:00:00,3.089,,,1
09/10/2010 04:00:00,2.903,,,1
09/10/2010 05:00:00,2.797,,,1
09/10/2010 06:00:00,2.637,,,1
09/10/2010 07:00:00,2.93,,,1
09/10/2010 08:00:00,3.459,,,1
09/10/2010 09:00:00,3.749,,,1
09/10/2010 10:00:00,3.827,,,1
09/10/2010 11:00:00,4.011,,,1
09/10/2010 12:00:00,4.454,,,1
09/10/2010 13:00:00,4.792,,,1
09/10/2010 14:00:00,5.179,,,1
09/10/2010 15:00:00,5.282,,,1
09/10/2010 16:00:00,5.179,,,1
09/10/2010 17:00:00,5.179,,,1
09/10/2010 18:00:00,4.869,,,1
09/10/2010 19:00:00,4.48,,,1
09/10/2010 20:00:00,3.88,,,1
09/10/2010 21:00:00,3.67,,,1
09/10/2010 22:00:00,3.564,,,1
09/10/2010 23:00:00,2.53,,,1
09/11/2010 00:00:00,2.074,,,1
09/11/2010 01:00:00,2.182,,,1
09/11/2010 02:00:00,2.289,,,1
09/11/2010 03:00:00,1.751,,,1
09/11/2010 04:00:00,1.425,,,1
09/11/2010 05:00:00,1.507,,,1
09/11/2010 06:00:00,1.588,,,1
09/11/2010 07:00:00,0.77,,,1
09/11/2010 08:00:00,1.289,,,1
09/11/2010 09:00:00,3.168,,,1
09/11/2010 10:00:00,4.376,,,1
09/11/2010 11:00:00,5.231,,,1
09/11/2010 12:00:00,6.204,,,1
09/11/2010 13:00:00,7.444,,,1
09/11/2010 14:00:00,7.92,,,1
09/11/2010 15:00:00,7.895,,,1
09/11/2010 16:00:00,7.494,,,1
09/11/2010 17:00:00,7.318,,,1
09/11/2010 18:00:00,6.889,,,1
09/11/2010 19:00:00,6.204,,,1
09/11/2010 20:00:00,6.153,,,1
09/11/2010 21:00:00,6.661,,,1
09/11/2010 22:00:00,6.077,,,1
09/11/2010 23:00:00,5.539,,,1
09/12/2010 00:00:00,6.255,,,1
09/12/2010 01:00:00,6.788,,,1
09/12/2010 02:00:00,7.066,,,1
09/12/2010 03:00:00,7.015,,,1
09/12/2010 04:00:00,7.091,,,1
09/12/2010 05:00:00,7.116,,,1
09/12/2010 06:00:00,7.217,,,1
09/12/2010 07:00:00,7.343,,,1
09/12/2010 08:00:00,7.469,,,1
09/12/2010 09:00:00,7.594,,,1
09/12/2010 10:00:00,7.87,,,1
09/12/2010 11:00:00,,,,1
09/12/2010 12:00:00,,,,1
09/12/2010 13:00:00,,,,1
09/12/2010 14:00:00,8.22,,,1
09/12/2010 15:00:00,8.891,,,1
09/12/2010 16:00:00,8.817,,,1
09/12/2010 17:00:00,8.643,,,1
09/12/2010 18:00:00,8.344,,,1
09/12/2010 19:00:00,8.17,,,1
09/12/2010 20:00:00,8.02,,,1
09/12/2010 21:00:00,7.343,,,1
09/12/2010 22:00:00,7.343,,,1
09/12/2010 23:00:00,7.343,,,1
09/13/2010 00:00:00,6.56,,,1
09/13/2010 01:00:00,7.015,,,1
09/13/2010 02:00:00,6.687,,,1
09/13/2010 03:00:00,6.408,,,1
09/13/2010 04:00:00,6.611,,,1
09/13/2010 05:00:00,5.642,,,1
09/13/2010 06:00:00,5.385,,,1
09/13/2010 07:00:00,5.36,,,1
09/13/2010 08:00:00,5.719,,,1
09/13/2010 09:00:00,7.116,,,1
09/13/2010 10:00:00,9.114,,,1
09/13/2010 11:00:00,11.224,,,1
09/13/2010 12:00:00,11.248,,,1
09/13/2010 13:00:00,11.613,,,1
09/13/2010 14:00:00,11.88,,,1
09/13/2010 15:00:00,12.268,,,1
09/13/2010 16:00:00,12.678,,,1
09/13/2010 17:00:00,12.534,,,1
09/13/2010 18:00:00,12.316,,,1
09/13/2010 19:00:00,11.516,,,1
09/13/2010 20:00:00,10.149,,,1
09/13/2010 21:00:00,8.99,,,1
09/13/2010 22:00:00,7.97,,,1
09/13/2010 23:00:00,7.594,,,1
09/14/2010 00:00:00,7.066,,,1
09/14/2010 01:00:00,7.091,,,1
09/14/2010 02:00:00,7.217,,,1
09/14/2010 03:00:00,6.914,,,1
09/14/2010 04:00:00,7.192,,,1
09/14/2010 05:00:00,7.343,,,1
09/14/2010 06:00:00,7.116,,,1
09/14/2010 07:00:00,6.914,,,1
09/14/2010 08:00:00,7.318,,,1
09/14/2010 09:00:00,8.095,,,1
09/14/2010 10:00:00,11.419,,,1
09/14/2010 11:00:00,11.224,,,1
09/14/2010 12:00:00,12.05,,,1
09/14/2010 13:00:00,12.292,,,1
09/14/2010 14:00:00,13.088,,,1
09/14/2010 15:00:00,13.69,,,1
09/14/2010 16:00:00,13.546,,,1
09/14/2010 17:00:00,14.146,,,1
09/14/2010 18:00:00,12.485,,,1
09/14/2010 19:00:00,11.467,,,1
09/14/2010 20:00:00,10.001,,,1
09/14/2010 21:00:00,9.04,,,1
09/14/2010 22:00:00,8.717,,,1
09/14/2010 23:00:00,8.792,,,1
09/15/2010 00:00:00,8.195,,,1
09/15/2010 01:00:00,8.07,,,1
09/15/2010 02:00:00,8.12,,,1
09/15/2010 03:00:00,8.344,,,1
09/15/2010 04:00:00,9.608,,,1
09/15/2010 05:00:00,9.78,,,1
09/15/2010 06:00:00,8.891,,,1
09/15/2010 07:00:00,9.509,,,1
09/15/2010 08:00:00,9.312,,,1
09/15/2010 09:00:00,10.492,,,1
09/15/2010 10:00:00,11.759,,,1
09/15/2010 11:00:00,13.161,,,1
09/15/2010 12:00:00,11.37,,,1
09/15/2010 13:00:00,10.81,,,1
09/15/2010 14:00:00,9.336,,,1
09/15/2010 15:00:00,8.618,,,1
09/15/2010 16:00:00,8.568,,,1
09/15/2010 17:00:00,8.12,,,1
09/15/2010 18:00:00,7.945,,,1
09/15/2010 19:00:00,7.67,,,1
09/15/2010 20:00:00,7.82,,,1
09/15/2010 21:00:00,7.995,,,1
09/15/2010 22:00:00,7.995,,,1
09/15/2010 23:00:00,7.895,,,1
09/16/2010 00:00:00,7.995,,,1
09/16/2010 01:00:00,8.045,,,1
09/16/2010 02:00:00,7.895,,,1
09/16/2010 03:00:00,7.293,,,1
09/16/2010 04:00:00,6.763,,,1
09/16/2010 05:00:00,6.026,,,1
09/16/2010 06:00:00,6.281,,,1
09/16/2010 07:00:00,7.268,,,1
09/16/2010 08:00:00,7.469,,,1
09/16/2010 09:00:00,8.07,,,1
09/16/2010 10:00:00,8.319,,,1
09/16/2010 11:00:00,9.04,,,1
09/16/2010 12:00:00,10.247,,,1
09/16/2010 13:00:00,9.977,,,1
09/16/2010 14:00:00,9.829,,,1
09/16/2010 15:00:00,9.977,,,1
09/16/2010 16:00:00,9.879,,,1
09/16/2010 17:00:00,9.756,,,1
09/16/2010 18:00:00,9.756,,,1
09/16/2010 19:00:00,9.558,,,1
09/16/2010 20:00:00,9.41,,,1
09/16/2010 21:00:00,9.361,,,1
09/16/2010 22:00:00,9.188,,,1
09/16/2010 23:00:00,8.717,,,1
09/17/2010 00:00:00,8.543,,,1
09/17/2010 01:00:00,8.568,,,1
09/17/2010 02:00:00,8.817,,,1
09/17/2010 03:00:00,8.717,,,1
09/17/2010 04:00:00,8.717,,,1
09/17/2010 05:00:00,8.668,,,1
09/17/2010 06:00:00,8.593,,,1
09/17/2010 07:00:00,8.543,,,1
09/17/2010 08:00:00,8.668,,,1
09/17/2010 09:00:00,8.693,,,1
09/17/2010 10:00:00,8.469,,,1
09/17/2010 11:00:00,8.519,,,1
09/17/2010 12:00:00,9.608,,,1
09/17/2010 13:00:00,9.952,,,1
09/17/2010 14:00:00,10.124,,,1
09/17/2010 15:00:00,9.682,,,1
09/17/2010 16:00:00,9.534,,,1
09/17/2010 17:00:00,9.682,,,1
09/17/2010 18:00:00,9.583,,,1
09/17/2010 19:00:00,9.558,,,1
09/17/2010 20:00:00,9.41,,,1
09/17/2010 21:00:00,9.435,,,1
09/17/2010 22:00:00,10.075,,,1
09/17/2010 23:00:00,10.001,,,1
09/18/2010 00:00:00,9.952,,,1
09/18/2010 01:00:00,9.805,,,1
09/18/2010 02:00:00,9.089,,,1
09/18/2010 03:00:00,8.668,,,1
09/18/2010 04:00:00,8.543,,,1
09/18/2010 05:00:00,8.494,,,1
09/18/2010 06:00:00,8.344,,,1
09/18/2010 07:00:00,8.02,,,1
09/18/2010 08:00:00,7.995,,,1
09/18/2010 09:00:00,7.745,,,1
09/18/2010 10:00:00,8.717,,,1
09/18/2010 11:00:00,10.638,,,1
09/18/2010 12:00:00,11.832,,,1
09/18/2010 13:00:00,13.016,,,1
09/18/2010 14:00:00,13.642,,,1
09/18/2010 15:00:00,12.606,,,1
09/18/2010 16:00:00,11.151,,,1
09/18/2010 17:00:00,9.731,,,1
09/18/2010 18:00:00,9.608,,,1
09/18/2010 19:00:00,9.262,,,1
09/18/2010 20:00:00,9.163,,,1
09/18/2010 21:00:00,9.608,,,1
09/18/2010 22:00:00,9.386,,,1
09/18/2010 23:00:00,9.089,,,1
09/19/2010 00:00:00,8.866,,,1
09/19/2010 01:00:00,8.792,,,1
09/19/2010 02:00:00,8.568,,,1
09/19/2010 03:00:00,8.344,,,1
09/19/2010 04:00:00,7.92,,,1
09/19/2010 05:00:00,7.77,,,1
09/19/2010 06:00:00,7.72,,,1
09/19/2010 07:00:00,7.569,,,1
09/19/2010 08:00:00,7.519,,,1
09/19/2010 09:00:00,7.67,,,1
09/19/2010 10:00:00,7.419,,,1
09/19/2010 11:00:00,7.419,,,1
09/19/2010 12:00:00,7.519,,,1
09/19/2010 13:00:00,6.839,,,1
09/19/2010 14:00:00,6.813,,,1
09/19/2010 15:00:00,6.965,,,1
09/19/2010 16:00:00,6.585,,,1
09/19/2010 17:00:00,6.331,,,1
09/19/2010 18:00:00,5.924,,,1
09/19/2010 19:00:00,5.745,,,1
09/19/2010 20:00:00,5.693,,,1
09/19/2010 21:00:00,5.847,,,1
09/19/2010 22:00:00,5.796,,,1
09/19/2010 23:00:00,5.924,,,1
09/20/2010 00:00:00,6.051,,,1
09/20/2010 01:00:00,6.23,,,1
09/20/2010 02:00:00,6.408,,,1
09/20/2010 03:00:00,6.306,,,1
09/20/2010 04:00:00,6.458,,,1
09/20/2010 05:00:00,6.306,,,1
09/20/2010 06:00:00,6.204,,,1
09/20/2010 07:00:00,6.077,,,1
09/20/2010 08:00:00,6.026,,,1
09/20/2010 09:00:00,5.642,,,1
09/20/2010 10:00:00,5.179,,,1
09/20/2010 11:00:00,4.947,,,1
09/20/2010 12:00:00,3.722,,,1
09/20/2010 13:00:00,3.801,,,1
09/20/2010 14:00:00,3.88,,,1
09/20/2010 15:00:00,4.272,,,1
09/20/2010 16:00:00,4.324,,,1
09/20/2010 17:00:00,3.749,,,1
09/20/2010 18:00:00,3.722,,,1
09/20/2010 19:00:00,3.327,,,1
09/20/2010 20:00:00,2.903,,,1
09/20/2010 21:00:00,2.343,,,1
09/20/2010 22:00:00,2.316,,,1
09/20/2010 23:00:00,2.289,,,1
09/21/2010 00:00:00,2.664,,,1
09/21/2010 01:00:00,2.477,,,1
09/21/2010 02:00:00,1.099,,,1
09/21/2010 03:00:00,0.467,,,1
09/21/2010 04:00:00,0.605,,,1
09/21/2010 05:00:00,0.246,,,1
09/21/2010 06:00:00,0.356,,,1
09/21/2010 07:00:00,0.218,,,1
09/21/2010 08:00:00,1.778,,,1
09/21/2010 09:00:00,3.116,,,1
09/21/2010 10:00:00,4.22,,,1
09/21/2010 11:00:00,4.74,,,1
09/21/2010 12:00:00,4.973,,,1
09/21/2010 13:00:00,5.591,,,1
09/21/2010 14:00:00,6.357,,,1
09/21/2010 15:00:00,6.331,,,1
09/21/2010 16:00:00,6.763,,,1
09/21/2010 17:00:00,6.102,,,1
09/21/2010 18:00:00,5.488,,,1
09/21/2010 19:00:00,5.282,,,1
09/21/2010 20:00:00,5.05,,,1
09/21/2010 21:00:00,3.459,,,1
09/21/2010 22:00:00,3.036,,,1
09/21/2010 23:00:00,2.128,,,1
09/22/2010 00:00:00,1.778,,,1
09/22/2010 01:00:00,1.751,,,1
09/22/2010 02:00:00,1.967,,,1
09/22/2010 03:00:00,2.717,,,1
09/22/2010 04:00:00,2.61,,,1
09/22/2010 05:00:00,2.45,,,1
09/22/2010 06:00:00,2.61,,,1
09/22/2010 07:00:00,2.209,,,1
09/22/2010 08:00:00,3.116,,,1
09/22/2010 09:00:00,4.921,,,1
09/22/2010 10:00:00,6.204,,,1
09/22/2010 11:00:00,6.737,,,1
09/22/2010 12:00:00,7.242,,,1
09/22/2010 13:00:00,7.77,,,1
09/22/2010 14:00:00,7.419,,,1
09/22/2010 15:00:00,7.192,,,1
09/22/2010 16:00:00,6.712,,,1
09/22/2010 17:00:00,6.889,,,1
09/22/2010 18:00:00,6.026,,,1
09/22/2010 19:00:00,4.818,,,1
09/22/2010 20:00:00,4.714,,,1
09/22/2010 21:00:00,4.714,,,1
09/22/2010 22:00:00,4.688,,,1
09/22/2010 23:00:00,4.324,,,1
09/23/2010 00:00:00,3.827,,,1
09/23/2010 01:00:00,2.61,,,1
09/23/2010 02:00:00,2.69,,,1
09/23/2010 03:00:00,2.503,,,1
09/23/2010 04:00:00,1.507,,,1
09/23/2010 05:00:00,2.396,,,1
09/23/2010 06:00:00,2.69,,,1
09/23/2010 07:00:00,3.221,,,1
09/23/2010 08:00:00,3.38,,,1
09/23/2010 09:00:00,3.696,,,1
