,Air Temp.Air@OLYM-498,Air Temp.Air@OLYM-498,Air Temp.Air@OLYM-498,Air Temp.Air@OLYM-498
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
07/27/2005 18:52:00,16.91,,,1
07/27/2005 19:52:00,16.31,,,1
07/27/2005 20:52:00,15.72,,,1
07/27/2005 21:52:00,15.72,,,1
07/27/2005 22:52:00,15.14,,,1
07/27/2005 23:52:00,14.27,,,1
07/28/2005 00:52:00,13.69,,,1
07/28/2005 01:52:00,13.98,,,1
07/28/2005 02:52:00,13.4,,,1
07/28/2005 03:52:00,13.4,,,1
07/28/2005 04:52:00,13.4,,,1
07/28/2005 05:52:00,13.4,,,1
07/28/2005 06:52:00,13.69,,,1
07/28/2005 07:52:00,14.56,,,1
07/28/2005 08:52:00,20.8,,,1
07/28/2005 09:52:00,19.29,,,1
07/28/2005 10:52:00,18.99,,,1
07/28/2005 11:52:00,19.29,,,1
07/28/2005 12:52:00,18.99,,,1
07/28/2005 13:52:00,18.99,,,1
07/28/2005 14:52:00,19.29,,,1
07/28/2005 15:52:00,18.99,,,1
07/28/2005 16:52:00,17.2,,,1
07/28/2005 17:52:00,16.61,,,1
07/28/2005 18:52:00,15.14,,,1
07/28/2005 19:52:00,13.98,,,1
07/28/2005 20:52:00,12.53,,,1
07/28/2005 21:52:00,11.96,,,1
07/28/2005 22:52:00,11.96,,,1
07/28/2005 23:52:00,11.38,,,1
07/29/2005 00:52:00,11.09,,,1
07/29/2005 01:52:00,11.09,,,1
07/29/2005 02:52:00,11.09,,,1
07/29/2005 03:52:00,11.09,,,1
07/29/2005 04:52:00,10.52,,,1
07/29/2005 05:52:00,10.52,,,1
07/29/2005 06:52:00,11.09,,,1
07/29/2005 07:52:00,12.24,,,1
07/29/2005 08:52:00,18.09,,,1
07/29/2005 09:52:00,16.02,,,1
07/29/2005 10:52:00,16.91,,,1
07/29/2005 11:52:00,16.61,,,1
07/29/2005 12:52:00,16.61,,,1
07/29/2005 13:52:00,17.2,,,1
07/29/2005 14:52:00,18.09,,,1
07/29/2005 15:52:00,17.5,,,1
07/29/2005 16:52:00,16.91,,,1
07/29/2005 17:52:00,15.72,,,1
07/29/2005 18:52:00,15.14,,,1
07/29/2005 19:52:00,13.69,,,1
07/29/2005 20:52:00,12.24,,,1
07/29/2005 21:52:00,11.96,,,1
07/29/2005 22:52:00,11.67,,,1
07/29/2005 23:52:00,11.09,,,1
07/30/2005 00:52:00,11.09,,,1
07/30/2005 01:52:00,10.52,,,1
07/30/2005 02:52:00,10.23,,,1
07/30/2005 03:52:00,10.23,,,1
07/30/2005 04:52:00,10.23,,,1
07/30/2005 05:52:00,10.52,,,1
07/30/2005 06:52:00,11.09,,,1
07/30/2005 07:52:00,12.82,,,1
07/30/2005 08:52:00,17.8,,,1
07/30/2005 09:52:00,16.91,,,1
07/30/2005 10:52:00,18.99,,,1
07/30/2005 11:52:00,18.39,,,1
07/30/2005 12:52:00,18.09,,,1
07/30/2005 13:52:00,18.69,,,1
07/30/2005 14:52:00,18.99,,,1
07/30/2005 15:52:00,19.89,,,1
07/30/2005 16:52:00,17.8,,,1
07/30/2005 17:52:00,16.91,,,1
07/30/2005 18:52:00,15.72,,,1
07/30/2005 19:52:00,14.56,,,1
07/30/2005 20:52:00,13.4,,,1
07/30/2005 21:52:00,13.11,,,1
07/30/2005 22:52:00,12.82,,,1
07/30/2005 23:52:00,12.24,,,1
07/31/2005 00:52:00,11.96,,,1
07/31/2005 01:52:00,11.67,,,1
07/31/2005 02:52:00,11.67,,,1
07/31/2005 03:52:00,11.09,,,1
07/31/2005 04:52:00,10.81,,,1
07/31/2005 05:52:00,10.81,,,1
07/31/2005 06:52:00,12.24,,,1
07/31/2005 07:52:00,13.69,,,1
07/31/2005 08:52:00,18.99,,,1
07/31/2005 09:52:00,18.09,,,1
07/31/2005 10:52:00,18.69,,,1
07/31/2005 11:52:00,18.99,,,1
07/31/2005 12:52:00,19.29,,,1
07/31/2005 13:52:00,19.59,,,1
07/31/2005 14:52:00,19.89,,,1
07/31/2005 15:52:00,20.8,,,1
07/31/2005 16:52:00,18.69,,,1
07/31/2005 17:52:00,17.2,,,1
07/31/2005 18:52:00,16.91,,,1
07/31/2005 19:52:00,15.43,,,1
07/31/2005 20:52:00,13.98,,,1
07/31/2005 21:52:00,13.11,,,1
07/31/2005 22:52:00,12.24,,,1
07/31/2005 23:52:00,11.67,,,1
08/01/2005 00:52:00,12.24,,,1
08/01/2005 01:52:00,11.96,,,1
08/01/2005 02:52:00,11.09,,,1
08/01/2005 03:52:00,10.52,,,1
08/01/2005 04:52:00,10.52,,,1
08/01/2005 05:52:00,9.94,,,1
08/01/2005 06:52:00,9.94,,,1
08/01/2005 07:52:00,10.52,,,1
08/01/2005 08:52:00,11.09,,,1
08/01/2005 09:52:00,11.38,,,1
08/01/2005 10:52:00,10.52,,,1
08/01/2005 11:52:00,10.52,,,1
08/01/2005 12:52:00,10.23,,,1
08/01/2005 13:52:00,11.09,,,1
08/01/2005 14:52:00,10.52,,,1
08/01/2005 15:52:00,9.66,,,1
08/01/2005 16:52:00,9.66,,,1
08/01/2005 17:52:00,9.37,,,1
08/01/2005 18:52:00,9.37,,,1
08/01/2005 19:52:00,9.66,,,1
08/01/2005 20:52:00,9.08,,,1
08/01/2005 21:52:00,8.51,,,1
08/01/2005 22:52:00,7.35,,,1
08/01/2005 23:52:00,6.49,,,1
08/02/2005 00:52:00,6.49,,,1
08/02/2005 01:52:00,6.78,,,1
08/02/2005 02:52:00,6.49,,,1
08/02/2005 03:52:00,6.49,,,1
08/02/2005 04:52:00,5.91,,,1
08/02/2005 05:52:00,5.91,,,1
08/02/2005 06:52:00,6.49,,,1
08/02/2005 07:52:00,7.93,,,1
08/02/2005 08:52:00,7.93,,,1
08/02/2005 09:52:00,10.81,,,1
08/02/2005 10:52:00,10.81,,,1
08/02/2005 11:52:00,11.96,,,1
08/02/2005 12:52:00,12.82,,,1
08/02/2005 13:52:00,12.24,,,1
08/02/2005 14:52:00,13.98,,,1
08/02/2005 15:52:00,14.56,,,1
08/02/2005 16:52:00,12.82,,,1
08/02/2005 17:52:00,11.96,,,1
08/02/2005 18:52:00,11.09,,,1
08/02/2005 19:52:00,10.23,,,1
08/02/2005 20:52:00,9.37,,,1
08/02/2005 21:52:00,9.66,,,1
08/02/2005 22:52:00,9.94,,,1
08/02/2005 23:52:00,10.23,,,1
08/03/2005 00:52:00,9.37,,,1
08/03/2005 01:52:00,9.66,,,1
08/03/2005 02:52:00,9.37,,,1
08/03/2005 03:52:00,9.37,,,1
08/03/2005 04:52:00,9.37,,,1
08/03/2005 05:52:00,9.37,,,1
08/03/2005 06:52:00,9.94,,,1
08/03/2005 07:52:00,11.96,,,1
08/03/2005 08:52:00,14.27,,,1
08/03/2005 09:52:00,15.43,,,1
08/03/2005 10:52:00,17.2,,,1
08/03/2005 11:52:00,18.09,,,1
08/03/2005 12:52:00,18.69,,,1
08/03/2005 13:52:00,19.29,,,1
08/03/2005 14:52:00,19.89,,,1
08/03/2005 15:52:00,20.19,,,1
08/03/2005 16:52:00,18.39,,,1
08/03/2005 17:52:00,16.61,,,1
08/03/2005 18:52:00,15.72,,,1
08/03/2005 19:52:00,15.14,,,1
08/03/2005 20:52:00,14.56,,,1
08/03/2005 21:52:00,14.27,,,1
08/03/2005 22:52:00,13.69,,,1
08/03/2005 23:52:00,14.27,,,1
08/04/2005 00:52:00,13.4,,,1
08/04/2005 01:52:00,13.69,,,1
08/04/2005 02:52:00,13.98,,,1
08/04/2005 03:52:00,14.27,,,1
08/04/2005 04:52:00,13.69,,,1
08/04/2005 05:52:00,13.11,,,1
08/04/2005 06:52:00,13.98,,,1
08/04/2005 07:52:00,15.72,,,1
08/04/2005 08:52:00,17.2,,,1
08/04/2005 09:52:00,19.59,,,1
08/04/2005 10:52:00,21.11,,,1
08/04/2005 11:52:00,21.42,,,1
08/04/2005 12:52:00,21.73,,,1
08/04/2005 13:52:00,22.67,,,1
08/04/2005 14:52:00,22.04,,,1
08/04/2005 15:52:00,22.98,,,1
08/04/2005 16:52:00,21.11,,,1
08/04/2005 17:52:00,18.69,,,1
08/04/2005 18:52:00,16.91,,,1
08/04/2005 19:52:00,15.72,,,1
08/04/2005 20:52:00,15.43,,,1
08/04/2005 21:52:00,14.85,,,1
08/04/2005 22:52:00,14.56,,,1
08/04/2005 23:52:00,14.27,,,1
08/05/2005 00:52:00,13.98,,,1
08/05/2005 01:52:00,13.69,,,1
08/05/2005 02:52:00,13.4,,,1
08/05/2005 03:52:00,13.4,,,1
08/05/2005 04:52:00,13.11,,,1
08/05/2005 05:52:00,13.11,,,1
08/05/2005 06:52:00,13.4,,,1
08/05/2005 07:52:00,14.85,,,1
08/05/2005 08:52:00,17.5,,,1
08/05/2005 09:52:00,19.29,,,1
08/05/2005 10:52:00,21.11,,,1
08/05/2005 11:52:00,20.49,,,1
08/05/2005 12:52:00,20.8,,,1
08/05/2005 13:52:00,20.8,,,1
08/05/2005 14:52:00,21.11,,,1
08/05/2005 15:52:00,21.42,,,1
08/05/2005 16:52:00,18.99,,,1
08/05/2005 17:52:00,17.5,,,1
08/05/2005 18:52:00,16.02,,,1
08/05/2005 19:52:00,14.85,,,1
08/05/2005 20:52:00,13.98,,,1
08/05/2005 21:52:00,13.98,,,1
08/05/2005 22:52:00,13.98,,,1
08/05/2005 23:52:00,13.4,,,1
08/06/2005 00:52:00,13.4,,,1
08/06/2005 01:52:00,13.11,,,1
08/06/2005 02:52:00,12.82,,,1
08/06/2005 03:52:00,12.53,,,1
08/06/2005 04:52:00,12.24,,,1
08/06/2005 05:52:00,12.24,,,1
08/06/2005 06:52:00,12.24,,,1
08/06/2005 07:52:00,13.69,,,1
08/06/2005 08:52:00,17.5,,,1
08/06/2005 09:52:00,18.09,,,1
08/06/2005 10:52:00,18.99,,,1
08/06/2005 11:52:00,18.69,,,1
08/06/2005 12:52:00,18.09,,,1
08/06/2005 13:52:00,18.39,,,1
08/06/2005 14:52:00,18.39,,,1
08/06/2005 15:52:00,18.99,,,1
08/06/2005 16:52:00,17.2,,,1
08/06/2005 17:52:00,16.31,,,1
08/06/2005 18:52:00,14.85,,,1
08/06/2005 19:52:00,14.27,,,1
08/06/2005 20:52:00,13.69,,,1
08/06/2005 21:52:00,13.69,,,1
08/06/2005 22:52:00,12.82,,,1
08/06/2005 23:52:00,12.82,,,1
08/07/2005 00:52:00,12.24,,,1
08/07/2005 01:52:00,11.96,,,1
08/07/2005 02:52:00,11.67,,,1
08/07/2005 03:52:00,11.96,,,1
08/07/2005 04:52:00,11.67,,,1
08/07/2005 05:52:00,11.38,,,1
08/07/2005 06:52:00,11.38,,,1
08/07/2005 07:52:00,12.82,,,1
08/07/2005 08:52:00,17.8,,,1
08/07/2005 09:52:00,17.8,,,1
08/07/2005 10:52:00,18.39,,,1
08/07/2005 11:52:00,18.39,,,1
08/07/2005 12:52:00,17.8,,,1
08/07/2005 13:52:00,19.59,,,1
08/07/2005 14:52:00,19.89,,,1
08/07/2005 15:52:00,19.89,,,1
08/07/2005 16:52:00,17.5,,,1
08/07/2005 17:52:00,16.31,,,1
08/07/2005 18:52:00,15.14,,,1
08/07/2005 19:52:00,13.98,,,1
08/07/2005 20:52:00,13.4,,,1
08/07/2005 21:52:00,13.11,,,1
08/07/2005 22:52:00,12.82,,,1
08/07/2005 23:52:00,12.24,,,1
08/08/2005 00:52:00,11.96,,,1
08/08/2005 01:52:00,11.96,,,1
08/08/2005 02:52:00,11.67,,,1
08/08/2005 03:52:00,11.38,,,1
08/08/2005 04:52:00,11.09,,,1
08/08/2005 05:52:00,11.09,,,1
08/08/2005 06:52:00,11.38,,,1
08/08/2005 07:52:00,12.82,,,1
08/08/2005 08:52:00,17.2,,,1
08/08/2005 09:52:00,17.2,,,1
08/08/2005 10:52:00,18.99,,,1
08/08/2005 11:52:00,18.69,,,1
08/08/2005 12:52:00,18.09,,,1
08/08/2005 13:52:00,18.69,,,1
08/08/2005 14:52:00,19.29,,,1
08/08/2005 15:52:00,19.29,,,1
08/08/2005 16:52:00,17.2,,,1
08/08/2005 17:52:00,16.31,,,1
08/08/2005 18:52:00,14.85,,,1
08/08/2005 19:52:00,14.27,,,1
08/08/2005 20:52:00,13.4,,,1
08/08/2005 21:52:00,13.11,,,1
08/08/2005 22:52:00,13.11,,,1
08/08/2005 23:52:00,12.82,,,1
08/09/2005 00:52:00,12.53,,,1
08/09/2005 01:52:00,12.53,,,1
08/09/2005 02:52:00,12.24,,,1
08/09/2005 03:52:00,12.24,,,1
08/09/2005 04:52:00,11.96,,,1
08/09/2005 05:52:00,11.96,,,1
08/09/2005 06:52:00,12.24,,,1
08/09/2005 07:52:00,13.4,,,1
08/09/2005 08:52:00,17.2,,,1
08/09/2005 09:52:00,18.69,,,1
08/09/2005 10:52:00,18.09,,,1
08/09/2005 11:52:00,17.8,,,1
08/09/2005 12:52:00,18.09,,,1
08/09/2005 13:52:00,18.39,,,1
08/09/2005 14:52:00,18.69,,,1
08/09/2005 15:52:00,18.69,,,1
08/09/2005 16:52:00,16.31,,,1
08/09/2005 17:52:00,15.43,,,1
08/09/2005 18:52:00,14.27,,,1
08/09/2005 19:52:00,13.69,,,1
08/09/2005 20:52:00,12.82,,,1
08/09/2005 21:52:00,12.24,,,1
08/09/2005 22:52:00,12.24,,,1
08/09/2005 23:52:00,12.24,,,1
08/10/2005 00:52:00,11.96,,,1
08/10/2005 01:52:00,12.24,,,1
08/10/2005 02:52:00,11.38,,,1
08/10/2005 03:52:00,11.09,,,1
08/10/2005 04:52:00,11.09,,,1
08/10/2005 05:52:00,10.81,,,1
08/10/2005 06:52:00,11.09,,,1
08/10/2005 07:52:00,12.24,,,1
08/10/2005 08:52:00,17.5,,,1
08/10/2005 09:52:00,17.5,,,1
08/10/2005 10:52:00,17.5,,,1
08/10/2005 11:52:00,15.72,,,1
08/10/2005 12:52:00,14.27,,,1
08/10/2005 13:52:00,16.31,,,1
08/10/2005 14:52:00,16.91,,,1
08/10/2005 15:52:00,15.72,,,1
08/10/2005 16:52:00,14.85,,,1
