,Water Temp.Bottom@OLYM_CZY,Water Temp.Bottom@OLYM_CZY,Water Temp.Bottom@OLYM_CZY,Water Temp.Bottom@OLYM_CZY
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
08/18/2010 11:00:00,27.776,,,1
08/18/2010 12:00:01,8.519,,,1
08/18/2010 13:00:02,8.866,,,1
08/18/2010 14:00:03,8.543,,,1
08/18/2010 15:00:04,8.717,,,1
08/18/2010 16:00:05,8.568,,,1
08/18/2010 17:00:06,8.543,,,1
08/18/2010 18:00:07,8.543,,,1
08/18/2010 19:00:08,8.543,,,1
08/18/2010 20:00:09,8.519,,,1
08/18/2010 21:00:10,8.519,,,1
08/18/2010 22:00:11,8.519,,,1
08/18/2010 23:00:12,8.519,,,1
08/19/2010 00:00:13,8.519,,,1
08/19/2010 01:00:14,8.519,,,1
08/19/2010 02:00:15,8.519,,,1
08/19/2010 03:00:16,8.519,,,1
08/19/2010 04:00:17,8.519,,,1
08/19/2010 05:00:18,8.469,,,1
08/19/2010 06:00:19,8.519,,,1
08/19/2010 07:00:20,8.543,,,1
08/19/2010 08:00:21,8.519,,,1
08/19/2010 09:00:22,8.618,,,1
08/19/2010 10:00:23,8.693,,,1
08/19/2010 11:00:24,8.717,,,1
08/19/2010 12:00:25,8.817,,,1
08/19/2010 13:00:26,8.891,,,1
08/19/2010 14:00:27,8.965,,,1
08/19/2010 15:00:28,8.965,,,1
08/19/2010 16:00:29,8.965,,,1
08/19/2010 17:00:30,8.841,,,1
08/19/2010 18:00:31,8.841,,,1
08/19/2010 19:00:32,8.841,,,1
08/19/2010 20:00:33,8.841,,,1
08/19/2010 21:00:34,8.841,,,1
08/19/2010 22:00:35,8.841,,,1
08/19/2010 23:00:36,8.841,,,1
08/20/2010 00:00:37,8.841,,,1
08/20/2010 01:00:38,8.817,,,1
08/20/2010 02:00:39,8.817,,,1
08/20/2010 03:00:40,8.817,,,1
08/20/2010 04:00:41,8.817,,,1
08/20/2010 05:00:42,8.767,,,1
08/20/2010 06:00:43,8.717,,,1
08/20/2010 07:00:44,8.792,,,1
08/20/2010 08:00:45,8.792,,,1
08/20/2010 09:00:46,8.891,,,1
08/20/2010 10:00:47,8.891,,,1
08/20/2010 11:00:48,8.965,,,1
08/20/2010 12:00:49,9.064,,,1
08/20/2010 13:00:50,9.114,,,1
08/20/2010 14:00:51,9.139,,,1
08/20/2010 15:00:52,9.213,,,1
08/20/2010 16:00:53,9.188,,,1
08/20/2010 17:00:54,9.089,,,1
08/20/2010 18:00:55,9.089,,,1
08/20/2010 19:00:56,9.089,,,1
08/20/2010 20:00:57,9.064,,,1
08/20/2010 21:00:58,9.064,,,1
08/20/2010 22:00:59,9.064,,,1
08/20/2010 23:01:00,9.089,,,1
08/21/2010 00:01:01,9.064,,,1
08/21/2010 01:01:02,9.089,,,1
08/21/2010 02:01:03,9.064,,,1
08/21/2010 03:01:04,9.04,,,1
08/21/2010 04:01:05,9.064,,,1
08/21/2010 05:01:06,9.064,,,1
08/21/2010 06:01:07,9.015,,,1
08/21/2010 07:01:08,9.064,,,1
08/21/2010 08:01:09,9.04,,,1
08/21/2010 09:01:10,9.064,,,1
08/21/2010 10:01:11,9.114,,,1
08/21/2010 11:01:12,9.139,,,1
08/21/2010 12:01:13,9.139,,,1
08/21/2010 13:01:14,9.163,,,1
08/21/2010 14:01:15,9.163,,,1
08/21/2010 15:01:16,9.163,,,1
08/21/2010 16:01:17,9.114,,,1
08/21/2010 17:01:18,9.139,,,1
08/21/2010 18:01:19,9.139,,,1
08/21/2010 19:01:20,9.114,,,1
08/21/2010 20:01:21,9.114,,,1
08/21/2010 21:01:22,9.139,,,1
08/21/2010 22:01:23,9.114,,,1
08/21/2010 23:01:24,9.114,,,1
08/22/2010 00:01:25,9.089,,,1
08/22/2010 01:01:26,9.114,,,1
08/22/2010 02:01:27,9.064,,,1
08/22/2010 03:01:28,9.04,,,1
08/22/2010 04:01:29,9.04,,,1
08/22/2010 05:01:30,9.015,,,1
08/22/2010 06:01:31,9.015,,,1
08/22/2010 07:01:32,9.04,,,1
08/22/2010 08:01:33,8.965,,,1
08/22/2010 09:01:34,8.99,,,1
08/22/2010 10:01:35,9.015,,,1
08/22/2010 11:01:36,9.139,,,1
08/22/2010 12:01:37,9.114,,,1
08/22/2010 13:01:38,9.139,,,1
08/22/2010 14:01:39,9.262,,,1
08/22/2010 15:01:40,9.312,,,1
08/22/2010 16:01:41,9.312,,,1
08/22/2010 17:01:42,9.238,,,1
08/22/2010 18:01:43,9.238,,,1
08/22/2010 19:01:44,9.213,,,1
08/22/2010 20:01:45,9.213,,,1
08/22/2010 21:01:46,9.213,,,1
08/22/2010 22:01:47,9.213,,,1
08/22/2010 23:01:48,9.213,,,1
08/23/2010 00:01:49,9.213,,,1
08/23/2010 01:01:50,9.188,,,1
08/23/2010 02:01:51,9.163,,,1
08/23/2010 03:01:52,9.139,,,1
08/23/2010 04:01:53,9.089,,,1
08/23/2010 05:01:54,9.089,,,1
08/23/2010 06:01:55,9.064,,,1
08/23/2010 07:01:56,9.064,,,1
08/23/2010 08:01:57,9.089,,,1
08/23/2010 09:01:58,9.064,,,1
08/23/2010 10:01:59,9.139,,,1
08/23/2010 11:02:00,9.163,,,1
08/23/2010 12:02:01,9.262,,,1
08/23/2010 13:02:02,9.336,,,1
08/23/2010 14:02:03,9.41,,,1
08/23/2010 15:02:04,9.485,,,1
08/23/2010 16:02:05,9.46,,,1
08/23/2010 17:02:06,9.386,,,1
08/23/2010 18:02:07,9.386,,,1
08/23/2010 19:02:08,9.386,,,1
08/23/2010 20:02:09,9.386,,,1
08/23/2010 21:02:10,9.386,,,1
08/23/2010 22:02:11,9.386,,,1
08/23/2010 23:02:12,9.361,,,1
08/24/2010 00:02:13,9.386,,,1
08/24/2010 01:02:14,9.361,,,1
08/24/2010 02:02:15,9.361,,,1
08/24/2010 03:02:16,9.361,,,1
08/24/2010 04:02:17,9.361,,,1
08/24/2010 05:02:18,9.336,,,1
08/24/2010 06:02:19,9.312,,,1
08/24/2010 07:02:20,9.312,,,1
08/24/2010 08:02:21,9.312,,,1
08/24/2010 09:02:22,9.336,,,1
08/24/2010 10:02:23,9.41,,,1
08/24/2010 11:02:24,9.485,,,1
08/24/2010 12:02:25,9.583,,,1
08/24/2010 13:02:26,9.682,,,1
08/24/2010 14:02:27,9.706,,,1
08/24/2010 15:02:28,9.756,,,1
08/24/2010 16:02:29,9.706,,,1
08/24/2010 17:02:30,9.608,,,1
08/24/2010 18:02:31,9.632,,,1
08/24/2010 19:02:32,9.608,,,1
08/24/2010 20:02:33,9.608,,,1
08/24/2010 21:02:34,9.608,,,1
08/24/2010 22:02:35,9.608,,,1
08/24/2010 23:02:36,9.608,,,1
08/25/2010 00:02:37,9.608,,,1
08/25/2010 01:02:38,9.608,,,1
08/25/2010 02:02:39,9.583,,,1
08/25/2010 03:02:40,9.583,,,1
08/25/2010 04:02:41,9.558,,,1
08/25/2010 05:02:42,9.509,,,1
08/25/2010 06:02:43,9.485,,,1
08/25/2010 07:02:44,9.583,,,1
08/25/2010 08:02:45,9.558,,,1
08/25/2010 09:02:46,9.558,,,1
08/25/2010 10:02:47,9.657,,,1
08/25/2010 11:02:48,9.657,,,1
08/25/2010 12:02:49,9.756,,,1
08/25/2010 13:02:50,9.854,,,1
08/25/2010 14:02:51,9.928,,,1
08/25/2010 15:02:52,9.952,,,1
08/25/2010 16:02:53,9.928,,,1
08/25/2010 17:02:54,9.854,,,1
08/25/2010 18:02:55,9.854,,,1
08/25/2010 19:02:56,9.854,,,1
08/25/2010 20:02:57,9.829,,,1
08/25/2010 21:02:58,9.829,,,1
08/25/2010 22:02:59,9.829,,,1
08/25/2010 23:03:00,9.829,,,1
08/26/2010 00:03:01,9.829,,,1
08/26/2010 01:03:02,9.829,,,1
08/26/2010 02:03:03,9.829,,,1
08/26/2010 03:03:04,9.829,,,1
08/26/2010 04:03:05,9.829,,,1
08/26/2010 05:03:06,9.756,,,1
08/26/2010 06:03:07,9.78,,,1
08/26/2010 07:03:08,9.829,,,1
08/26/2010 08:03:09,9.805,,,1
08/26/2010 09:03:10,9.756,,,1
08/26/2010 10:03:11,9.879,,,1
08/26/2010 11:03:12,9.879,,,1
08/26/2010 12:03:13,10.051,,,1
08/26/2010 13:03:14,9.977,,,1
08/26/2010 14:03:15,9.928,,,1
08/26/2010 15:03:16,9.952,,,1
08/26/2010 16:03:17,9.952,,,1
08/26/2010 17:03:18,9.928,,,1
08/26/2010 18:03:19,9.928,,,1
08/26/2010 19:03:20,9.952,,,1
08/26/2010 20:03:21,9.928,,,1
08/26/2010 21:03:22,9.928,,,1
08/26/2010 22:03:23,9.928,,,1
08/26/2010 23:03:24,9.928,,,1
08/27/2010 00:03:25,9.854,,,1
08/27/2010 01:03:26,9.854,,,1
08/27/2010 02:03:27,9.903,,,1
08/27/2010 03:03:28,9.879,,,1
08/27/2010 04:03:29,9.854,,,1
08/27/2010 05:03:30,9.805,,,1
08/27/2010 06:03:31,9.78,,,1
08/27/2010 07:03:32,9.829,,,1
08/27/2010 08:03:33,9.805,,,1
08/27/2010 09:03:34,9.756,,,1
08/27/2010 10:03:35,9.854,,,1
08/27/2010 11:03:36,9.829,,,1
08/27/2010 12:03:37,9.903,,,1
08/27/2010 13:03:38,9.879,,,1
08/27/2010 14:03:39,9.928,,,1
08/27/2010 15:03:40,9.903,,,1
08/27/2010 16:03:41,9.879,,,1
08/27/2010 17:03:42,9.879,,,1
08/27/2010 18:03:43,9.879,,,1
08/27/2010 19:03:44,9.903,,,1
08/27/2010 20:03:45,9.854,,,1
08/27/2010 21:03:46,9.879,,,1
08/27/2010 22:03:47,9.879,,,1
08/27/2010 23:03:48,9.879,,,1
08/28/2010 00:03:49,9.854,,,1
08/28/2010 01:03:50,9.854,,,1
08/28/2010 02:03:51,9.854,,,1
08/28/2010 03:03:52,9.805,,,1
08/28/2010 04:03:53,9.78,,,1
08/28/2010 05:03:54,9.731,,,1
08/28/2010 06:03:55,9.706,,,1
08/28/2010 07:03:56,9.682,,,1
08/28/2010 08:03:57,9.731,,,1
08/28/2010 09:03:58,9.731,,,1
08/28/2010 10:03:59,9.706,,,1
08/28/2010 11:04:00,9.78,,,1
08/28/2010 12:04:01,9.78,,,1
08/28/2010 13:04:02,9.78,,,1
08/28/2010 14:04:03,9.903,,,1
08/28/2010 15:04:04,9.805,,,1
08/28/2010 16:04:05,9.903,,,1
08/28/2010 17:04:06,9.854,,,1
08/28/2010 18:04:07,9.854,,,1
08/28/2010 19:04:08,9.829,,,1
08/28/2010 20:04:09,9.829,,,1
08/28/2010 21:04:10,9.829,,,1
08/28/2010 22:04:11,9.829,,,1
08/28/2010 23:04:12,9.829,,,1
08/29/2010 00:04:13,9.805,,,1
08/29/2010 01:04:14,9.805,,,1
08/29/2010 02:04:15,9.756,,,1
08/29/2010 03:04:16,9.756,,,1
08/29/2010 04:04:17,9.756,,,1
08/29/2010 05:04:18,9.682,,,1
08/29/2010 06:04:19,9.657,,,1
08/29/2010 07:04:20,9.657,,,1
08/29/2010 08:04:21,9.657,,,1
08/29/2010 09:04:22,9.706,,,1
08/29/2010 10:04:23,9.608,,,1
08/29/2010 11:04:24,9.608,,,1
08/29/2010 12:04:25,9.608,,,1
08/29/2010 13:04:26,9.657,,,1
08/29/2010 14:04:27,9.583,,,1
08/29/2010 15:04:28,9.657,,,1
08/29/2010 16:04:29,9.657,,,1
08/29/2010 17:04:30,9.632,,,1
08/29/2010 18:04:31,9.608,,,1
08/29/2010 19:04:32,9.632,,,1
08/29/2010 20:04:33,9.608,,,1
08/29/2010 21:04:34,9.608,,,1
08/29/2010 22:04:35,9.608,,,1
08/29/2010 23:04:36,9.608,,,1
08/30/2010 00:04:37,9.583,,,1
08/30/2010 01:04:38,9.558,,,1
08/30/2010 02:04:39,9.534,,,1
08/30/2010 03:04:40,9.485,,,1
08/30/2010 04:04:41,9.485,,,1
08/30/2010 05:04:42,9.485,,,1
08/30/2010 06:04:43,9.46,,,1
08/30/2010 07:04:44,9.46,,,1
08/30/2010 08:04:45,9.46,,,1
08/30/2010 09:04:46,9.435,,,1
08/30/2010 10:04:47,9.509,,,1
08/30/2010 11:04:48,9.485,,,1
08/30/2010 12:04:49,9.46,,,1
08/30/2010 13:04:50,9.485,,,1
08/30/2010 14:04:51,9.657,,,1
08/30/2010 15:04:52,9.682,,,1
08/30/2010 16:04:53,9.608,,,1
08/30/2010 17:04:54,9.657,,,1
08/30/2010 18:04:55,9.583,,,1
08/30/2010 19:04:56,9.608,,,1
08/30/2010 20:04:57,9.583,,,1
08/30/2010 21:04:58,9.583,,,1
08/30/2010 22:04:59,9.583,,,1
08/30/2010 23:05:00,9.583,,,1
08/31/2010 00:05:01,9.583,,,1
08/31/2010 01:05:02,9.583,,,1
08/31/2010 02:05:03,9.583,,,1
08/31/2010 03:05:04,9.534,,,1
08/31/2010 04:05:05,9.485,,,1
08/31/2010 05:05:06,9.509,,,1
08/31/2010 06:05:07,9.509,,,1
08/31/2010 07:05:08,9.534,,,1
08/31/2010 08:05:09,9.485,,,1
08/31/2010 09:05:10,9.509,,,1
08/31/2010 10:05:11,9.509,,,1
08/31/2010 11:05:12,9.485,,,1
08/31/2010 12:05:13,9.485,,,1
08/31/2010 13:05:14,9.509,,,1
08/31/2010 14:05:15,9.558,,,1
08/31/2010 15:05:16,9.46,,,1
08/31/2010 16:05:17,9.46,,,1
08/31/2010 17:05:18,9.46,,,1
08/31/2010 18:05:19,9.41,,,1
08/31/2010 19:05:20,9.41,,,1
08/31/2010 20:05:21,9.435,,,1
08/31/2010 21:05:22,9.336,,,1
08/31/2010 22:05:23,9.262,,,1
08/31/2010 23:05:24,9.238,,,1
09/01/2010 00:05:25,9.089,,,1
09/01/2010 01:05:26,8.99,,,1
09/01/2010 02:05:27,9.015,,,1
09/01/2010 03:05:28,8.941,,,1
09/01/2010 04:05:29,8.941,,,1
09/01/2010 05:05:30,8.891,,,1
09/01/2010 06:05:31,8.817,,,1
09/01/2010 07:05:32,8.841,,,1
09/01/2010 08:05:33,8.841,,,1
