,Water Temp.bottom@OLYM_138,Water Temp.bottom@OLYM_138,Water Temp.bottom@OLYM_138,Water Temp.bottom@OLYM_138
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
08/09/2008 15:12:00,5.77,,,1
08/09/2008 16:12:00,5.92,,,1
08/09/2008 17:12:00,5.87,,,1
08/09/2008 18:12:00,5.85,,,1
08/09/2008 19:12:00,5.82,,,1
08/09/2008 20:12:00,5.77,,,1
08/09/2008 21:12:00,5.8,,,1
08/09/2008 22:12:00,5.85,,,1
08/09/2008 23:12:00,5.92,,,1
08/10/2008 00:12:00,5.9,,,1
08/10/2008 01:12:00,5.87,,,1
08/10/2008 02:12:00,5.85,,,1
08/10/2008 03:12:00,5.85,,,1
08/10/2008 04:12:00,5.85,,,1
08/10/2008 05:12:00,5.92,,,1
08/10/2008 06:12:00,5.9,,,1
08/10/2008 07:12:00,5.87,,,1
08/10/2008 08:12:00,5.9,,,1
08/10/2008 09:12:00,5.9,,,1
08/10/2008 10:12:00,5.98,,,1
08/10/2008 11:12:00,6,,,1
08/10/2008 12:12:00,5.92,,,1
08/10/2008 13:12:00,5.95,,,1
08/10/2008 14:12:00,5.92,,,1
08/10/2008 15:12:00,5.98,,,1
08/10/2008 16:12:00,6,,,1
08/10/2008 17:12:00,5.98,,,1
08/10/2008 18:12:00,5.95,,,1
08/10/2008 19:12:00,5.9,,,1
08/10/2008 20:12:00,5.92,,,1
08/10/2008 21:12:00,5.98,,,1
08/10/2008 22:12:00,5.95,,,1
08/10/2008 23:12:00,6.03,,,1
08/11/2008 00:12:00,5.95,,,1
08/11/2008 01:12:00,5.95,,,1
08/11/2008 02:12:00,6,,,1
08/11/2008 03:12:00,6,,,1
08/11/2008 04:12:00,5.95,,,1
08/11/2008 05:12:00,6,,,1
08/11/2008 06:12:00,5.95,,,1
08/11/2008 07:12:00,5.98,,,1
08/11/2008 08:12:00,6.03,,,1
08/11/2008 09:12:00,6,,,1
08/11/2008 10:12:00,6.08,,,1
08/11/2008 11:12:00,6.05,,,1
08/11/2008 12:12:00,6.03,,,1
08/11/2008 13:12:00,6.15,,,1
08/11/2008 14:12:00,6.05,,,1
08/11/2008 15:12:00,6.03,,,1
08/11/2008 16:12:00,6.08,,,1
08/11/2008 17:12:00,6.1,,,1
08/11/2008 18:12:00,6.08,,,1
08/11/2008 19:12:00,6.15,,,1
08/11/2008 20:12:00,6.08,,,1
08/11/2008 21:12:00,5.98,,,1
08/11/2008 22:12:00,6.03,,,1
08/11/2008 23:12:00,6.08,,,1
08/12/2008 00:12:00,6.03,,,1
08/12/2008 01:12:00,6.1,,,1
08/12/2008 02:12:00,6.1,,,1
08/12/2008 03:12:00,6.08,,,1
08/12/2008 04:12:00,6.1,,,1
08/12/2008 05:12:00,6.08,,,1
08/12/2008 06:12:00,6.1,,,1
08/12/2008 07:12:00,6.1,,,1
08/12/2008 08:12:00,6.1,,,1
08/12/2008 09:12:00,6.13,,,1
08/12/2008 10:12:00,6.18,,,1
08/12/2008 11:12:00,6.2,,,1
08/12/2008 12:12:00,6.15,,,1
08/12/2008 13:12:00,6.18,,,1
08/12/2008 14:12:00,6.2,,,1
08/12/2008 15:12:00,6.2,,,1
08/12/2008 16:12:00,6.2,,,1
08/12/2008 17:12:00,6.2,,,1
08/12/2008 18:12:00,6.2,,,1
08/12/2008 19:12:00,6.2,,,1
08/12/2008 20:12:00,6.2,,,1
08/12/2008 21:12:00,6.2,,,1
08/12/2008 22:12:00,6.2,,,1
08/12/2008 23:12:00,6.2,,,1
08/13/2008 00:12:00,6.2,,,1
08/13/2008 01:12:00,6.18,,,1
08/13/2008 02:12:00,6.2,,,1
08/13/2008 03:12:00,6.18,,,1
08/13/2008 04:12:00,6.18,,,1
08/13/2008 05:12:00,6.18,,,1
08/13/2008 06:12:00,6.18,,,1
08/13/2008 07:12:00,6.2,,,1
08/13/2008 08:12:00,6.2,,,1
08/13/2008 09:12:00,6.2,,,1
08/13/2008 10:12:00,6.31,,,1
08/13/2008 11:12:00,6.33,,,1
08/13/2008 12:12:00,6.31,,,1
08/13/2008 13:12:00,6.38,,,1
08/13/2008 14:12:00,6.38,,,1
08/13/2008 15:12:00,6.31,,,1
08/13/2008 16:12:00,6.28,,,1
08/13/2008 17:12:00,6.31,,,1
08/13/2008 18:12:00,6.28,,,1
08/13/2008 19:12:00,6.28,,,1
08/13/2008 20:12:00,6.26,,,1
08/13/2008 21:12:00,6.26,,,1
08/13/2008 22:12:00,6.28,,,1
08/13/2008 23:12:00,6.31,,,1
08/14/2008 00:12:00,6.28,,,1
08/14/2008 01:12:00,6.31,,,1
08/14/2008 02:12:00,6.31,,,1
08/14/2008 03:12:00,6.31,,,1
08/14/2008 04:12:00,6.33,,,1
08/14/2008 05:12:00,6.31,,,1
08/14/2008 06:12:00,6.36,,,1
08/14/2008 07:12:00,6.33,,,1
08/14/2008 08:12:00,6.36,,,1
08/14/2008 09:12:00,6.33,,,1
08/14/2008 10:12:00,6.46,,,1
08/14/2008 11:12:00,6.46,,,1
08/14/2008 12:12:00,6.51,,,1
08/14/2008 13:12:00,6.56,,,1
08/14/2008 14:12:00,6.56,,,1
08/14/2008 15:12:00,6.59,,,1
08/14/2008 16:12:00,6.59,,,1
08/14/2008 17:12:00,6.61,,,1
08/14/2008 18:12:00,6.59,,,1
08/14/2008 19:12:00,6.51,,,1
08/14/2008 20:12:00,6.56,,,1
08/14/2008 21:12:00,6.59,,,1
08/14/2008 22:12:00,6.56,,,1
08/14/2008 23:12:00,6.59,,,1
08/15/2008 00:12:00,6.56,,,1
08/15/2008 01:12:00,6.56,,,1
08/15/2008 02:12:00,6.51,,,1
08/15/2008 03:12:00,6.54,,,1
08/15/2008 04:12:00,6.51,,,1
08/15/2008 05:12:00,6.56,,,1
08/15/2008 06:12:00,6.56,,,1
08/15/2008 07:12:00,6.56,,,1
08/15/2008 08:12:00,6.56,,,1
08/15/2008 09:12:00,6.56,,,1
08/15/2008 10:12:00,6.64,,,1
08/15/2008 11:12:00,6.66,,,1
08/15/2008 12:12:00,6.61,,,1
08/15/2008 13:12:00,6.66,,,1
08/15/2008 14:12:00,6.64,,,1
08/15/2008 15:12:00,6.64,,,1
08/15/2008 16:12:00,6.74,,,1
08/15/2008 17:12:00,6.71,,,1
08/15/2008 18:12:00,6.66,,,1
08/15/2008 19:12:00,6.64,,,1
08/15/2008 20:12:00,6.64,,,1
08/15/2008 21:12:00,6.64,,,1
08/15/2008 22:12:00,6.66,,,1
08/15/2008 23:12:00,6.66,,,1
08/16/2008 00:12:00,6.69,,,1
08/16/2008 01:12:00,6.66,,,1
08/16/2008 02:12:00,6.66,,,1
08/16/2008 03:12:00,6.66,,,1
08/16/2008 04:12:00,6.66,,,1
08/16/2008 05:12:00,6.66,,,1
08/16/2008 06:12:00,6.66,,,1
08/16/2008 07:12:00,6.66,,,1
08/16/2008 08:12:00,6.66,,,1
08/16/2008 09:12:00,6.69,,,1
08/16/2008 10:12:00,6.74,,,1
08/16/2008 11:12:00,6.76,,,1
08/16/2008 12:12:00,6.76,,,1
08/16/2008 13:12:00,6.79,,,1
08/16/2008 14:12:00,6.89,,,1
08/16/2008 15:12:00,6.91,,,1
08/16/2008 16:12:00,6.91,,,1
08/16/2008 17:12:00,6.86,,,1
08/16/2008 18:12:00,6.86,,,1
08/16/2008 19:12:00,6.86,,,1
08/16/2008 20:12:00,6.86,,,1
08/16/2008 21:12:00,6.79,,,1
08/16/2008 22:12:00,6.84,,,1
08/16/2008 23:12:00,6.86,,,1
08/17/2008 00:12:00,6.81,,,1
08/17/2008 01:12:00,6.84,,,1
08/17/2008 02:12:00,6.86,,,1
08/17/2008 03:12:00,6.86,,,1
08/17/2008 04:12:00,6.86,,,1
08/17/2008 05:12:00,6.84,,,1
08/17/2008 06:12:00,6.84,,,1
08/17/2008 07:12:00,6.84,,,1
08/17/2008 08:12:00,6.86,,,1
08/17/2008 09:12:00,6.86,,,1
08/17/2008 10:12:00,6.94,,,1
08/17/2008 11:12:00,6.97,,,1
08/17/2008 12:12:00,7.04,,,1
08/17/2008 13:12:00,7.07,,,1
08/17/2008 14:12:00,6.99,,,1
08/17/2008 15:12:00,6.99,,,1
08/17/2008 16:12:00,6.97,,,1
08/17/2008 17:12:00,6.99,,,1
08/17/2008 18:12:00,6.97,,,1
08/17/2008 19:12:00,7.02,,,1
08/17/2008 20:12:00,6.97,,,1
08/17/2008 21:12:00,7.04,,,1
08/17/2008 22:12:00,6.99,,,1
08/17/2008 23:12:00,7.02,,,1
08/18/2008 00:12:00,6.99,,,1
08/18/2008 01:12:00,6.99,,,1
08/18/2008 02:12:00,7.02,,,1
08/18/2008 03:12:00,7.02,,,1
08/18/2008 04:12:00,7.02,,,1
08/18/2008 05:12:00,7.02,,,1
08/18/2008 06:12:00,7.02,,,1
08/18/2008 07:12:00,7.02,,,1
08/18/2008 08:12:00,7.02,,,1
08/18/2008 09:12:00,7.02,,,1
08/18/2008 10:12:00,7.07,,,1
08/18/2008 11:12:00,7.04,,,1
08/18/2008 12:12:00,7.04,,,1
08/18/2008 13:12:00,7.07,,,1
08/18/2008 14:12:00,7.17,,,1
08/18/2008 15:12:00,7.12,,,1
08/18/2008 16:12:00,7.12,,,1
08/18/2008 17:12:00,7.09,,,1
08/18/2008 18:12:00,7.12,,,1
08/18/2008 19:12:00,7.12,,,1
08/18/2008 20:12:00,7.12,,,1
08/18/2008 21:12:00,7.12,,,1
08/18/2008 22:12:00,7.12,,,1
08/18/2008 23:12:00,7.09,,,1
08/19/2008 00:12:00,7.09,,,1
08/19/2008 01:12:00,7.12,,,1
08/19/2008 02:12:00,7.09,,,1
08/19/2008 03:12:00,7.09,,,1
08/19/2008 04:12:00,7.12,,,1
08/19/2008 05:12:00,7.12,,,1
08/19/2008 06:12:00,7.09,,,1
08/19/2008 07:12:00,7.12,,,1
08/19/2008 08:12:00,7.12,,,1
08/19/2008 09:12:00,7.12,,,1
08/19/2008 10:12:00,7.12,,,1
08/19/2008 11:12:00,7.12,,,1
08/19/2008 12:12:00,7.14,,,1
08/19/2008 13:12:00,7.17,,,1
08/19/2008 14:12:00,7.17,,,1
08/19/2008 15:12:00,7.14,,,1
08/19/2008 16:12:00,7.14,,,1
08/19/2008 17:12:00,7.19,,,1
08/19/2008 18:12:00,7.17,,,1
08/19/2008 19:12:00,7.17,,,1
08/19/2008 20:12:00,7.17,,,1
08/19/2008 21:12:00,7.17,,,1
08/19/2008 22:12:00,7.17,,,1
08/19/2008 23:12:00,7.17,,,1
08/20/2008 00:12:00,7.17,,,1
08/20/2008 01:12:00,7.17,,,1
08/20/2008 02:12:00,7.17,,,1
08/20/2008 03:12:00,7.17,,,1
08/20/2008 04:12:00,7.17,,,1
08/20/2008 05:12:00,7.17,,,1
08/20/2008 06:12:00,7.17,,,1
08/20/2008 07:12:00,7.17,,,1
08/20/2008 08:12:00,7.17,,,1
08/20/2008 09:12:00,7.17,,,1
08/20/2008 10:12:00,7.17,,,1
08/20/2008 11:12:00,7.17,,,1
08/20/2008 12:12:00,7.19,,,1
08/20/2008 13:12:00,7.29,,,1
08/20/2008 14:12:00,7.22,,,1
08/20/2008 15:12:00,7.22,,,1
08/20/2008 16:12:00,7.24,,,1
08/20/2008 17:12:00,7.22,,,1
08/20/2008 18:12:00,7.24,,,1
08/20/2008 19:12:00,7.22,,,1
08/20/2008 20:12:00,7.17,,,1
08/20/2008 21:12:00,7.24,,,1
08/20/2008 22:12:00,7.22,,,1
08/20/2008 23:12:00,7.22,,,1
08/21/2008 00:12:00,7.22,,,1
08/21/2008 01:12:00,7.22,,,1
08/21/2008 02:12:00,7.22,,,1
08/21/2008 03:12:00,7.22,,,1
08/21/2008 04:12:00,7.24,,,1
08/21/2008 05:12:00,7.22,,,1
08/21/2008 06:12:00,7.22,,,1
08/21/2008 07:12:00,7.22,,,1
08/21/2008 08:12:00,7.22,,,1
08/21/2008 09:12:00,7.22,,,1
08/21/2008 10:12:00,7.24,,,1
08/21/2008 11:12:00,7.24,,,1
08/21/2008 12:12:00,7.24,,,1
08/21/2008 13:12:00,7.24,,,1
08/21/2008 14:12:00,7.24,,,1
08/21/2008 15:12:00,7.27,,,1
08/21/2008 16:12:00,7.24,,,1
08/21/2008 17:12:00,7.27,,,1
08/21/2008 18:12:00,7.27,,,1
08/21/2008 19:12:00,7.27,,,1
08/21/2008 20:12:00,7.24,,,1
08/21/2008 21:12:00,7.24,,,1
08/21/2008 22:12:00,7.27,,,1
08/21/2008 23:12:00,7.27,,,1
08/22/2008 00:12:00,7.27,,,1
08/22/2008 01:12:00,7.27,,,1
08/22/2008 02:12:00,7.27,,,1
08/22/2008 03:12:00,7.24,,,1
08/22/2008 04:12:00,7.24,,,1
08/22/2008 05:12:00,7.24,,,1
08/22/2008 06:12:00,7.24,,,1
08/22/2008 07:12:00,7.27,,,1
08/22/2008 08:12:00,7.27,,,1
08/22/2008 09:12:00,7.27,,,1
08/22/2008 10:12:00,7.27,,,1
08/22/2008 11:12:00,7.37,,,1
08/22/2008 12:12:00,7.42,,,1
08/22/2008 13:12:00,7.49,,,1
08/22/2008 14:12:00,7.49,,,1
08/22/2008 15:12:00,7.52,,,1
08/22/2008 16:12:00,7.52,,,1
08/22/2008 17:12:00,7.52,,,1
08/22/2008 18:12:00,7.47,,,1
08/22/2008 19:12:00,7.44,,,1
08/22/2008 20:12:00,7.49,,,1
08/22/2008 21:12:00,7.49,,,1
08/22/2008 22:12:00,7.44,,,1
08/22/2008 23:12:00,7.47,,,1
08/23/2008 00:12:00,7.47,,,1
08/23/2008 01:12:00,7.44,,,1
08/23/2008 02:12:00,7.47,,,1
08/23/2008 03:12:00,7.47,,,1
08/23/2008 04:12:00,7.44,,,1
08/23/2008 05:12:00,7.47,,,1
08/23/2008 06:12:00,7.47,,,1
08/23/2008 07:12:00,7.47,,,1
08/23/2008 08:12:00,7.49,,,1
08/23/2008 09:12:00,7.47,,,1
08/23/2008 10:12:00,7.49,,,1
08/23/2008 11:12:00,7.57,,,1
08/23/2008 12:12:00,7.62,,,1
08/23/2008 13:12:00,7.7,,,1
