,Water Temp.Bottom@OLYM-263,Water Temp.Bottom@OLYM-263,Water Temp.Bottom@OLYM-263,Water Temp.Bottom@OLYM-263
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
08/22/2005 09:07:40,19.63,,,1
08/22/2005 10:07:40,19.63,,,1
08/22/2005 11:07:40,20.54,,,1
08/22/2005 12:07:40,21.46,,,1
08/22/2005 13:07:40,23.34,,,1
08/22/2005 14:07:40,23.98,,,1
08/22/2005 15:07:40,22.08,,,1
08/22/2005 16:07:40,21.77,,,1
08/22/2005 17:07:40,20.54,,,1
08/22/2005 18:07:40,19.93,,,1
08/22/2005 19:07:40,19.93,,,1
08/22/2005 20:07:40,19.33,,,1
08/22/2005 21:07:40,19.03,,,1
08/22/2005 22:07:40,19.03,,,1
08/22/2005 23:07:40,18.73,,,1
08/23/2005 00:07:40,18.43,,,1
08/23/2005 01:07:40,18.43,,,1
08/23/2005 02:07:40,18.13,,,1
08/23/2005 03:07:40,18.13,,,1
08/23/2005 04:07:40,18.13,,,1
08/23/2005 05:07:40,17.83,,,1
08/23/2005 06:07:40,17.83,,,1
08/23/2005 07:07:40,17.53,,,1
08/23/2005 08:07:40,16.34,,,1
08/23/2005 09:07:40,14.88,,,1
08/23/2005 10:07:40,16.34,,,1
08/23/2005 11:07:40,15.75,,,1
08/23/2005 12:07:40,14.59,,,1
08/23/2005 13:07:40,16.34,,,1
08/23/2005 14:07:40,15.46,,,1
08/23/2005 15:07:40,14.3,,,1
08/23/2005 16:07:40,11.4,,,1
08/23/2005 17:07:40,9.39,,,1
08/23/2005 18:07:40,11.12,,,1
08/23/2005 19:07:40,7.65,,,1
08/23/2005 20:07:40,5.05,,,1
08/23/2005 21:07:40,4.18,,,1
08/23/2005 22:07:40,3.89,,,1
08/23/2005 23:07:40,3.6,,,1
08/24/2005 00:07:40,3.6,,,1
08/24/2005 01:07:40,3.31,,,1
08/24/2005 02:07:40,3.31,,,1
08/24/2005 03:07:40,4.48,,,1
08/24/2005 04:07:40,3.89,,,1
08/24/2005 05:07:40,3.6,,,1
08/24/2005 06:07:40,3.6,,,1
08/24/2005 07:07:40,4.48,,,1
08/24/2005 08:07:40,11.69,,,1
08/24/2005 09:07:40,12.27,,,1
08/24/2005 10:07:40,11.69,,,1
08/24/2005 11:07:40,32.44,,,1
08/24/2005 12:07:40,11.69,,,1
08/24/2005 13:07:40,11.69,,,1
08/24/2005 14:07:40,11.98,,,1
08/24/2005 15:07:40,11.98,,,1
08/24/2005 16:07:40,11.69,,,1
08/24/2005 17:07:40,11.69,,,1
08/24/2005 18:07:40,11.69,,,1
08/24/2005 19:07:40,11.69,,,1
08/24/2005 20:07:40,11.69,,,1
08/24/2005 21:07:40,11.69,,,1
08/24/2005 22:07:40,11.69,,,1
08/24/2005 23:07:40,11.69,,,1
08/25/2005 00:07:40,11.69,,,1
08/25/2005 01:07:40,11.69,,,1
08/25/2005 02:07:40,11.69,,,1
08/25/2005 03:07:40,11.4,,,1
08/25/2005 04:07:40,11.4,,,1
08/25/2005 05:07:40,11.4,,,1
08/25/2005 06:07:40,11.12,,,1
08/25/2005 07:07:40,11.12,,,1
08/25/2005 08:07:40,11.12,,,1
08/25/2005 09:07:40,11.4,,,1
08/25/2005 10:07:40,11.4,,,1
08/25/2005 11:07:40,11.4,,,1
08/25/2005 12:07:40,11.4,,,1
08/25/2005 13:07:40,11.69,,,1
08/25/2005 14:07:40,11.69,,,1
08/25/2005 15:07:40,11.69,,,1
08/25/2005 16:07:40,11.69,,,1
08/25/2005 17:07:40,11.69,,,1
08/25/2005 18:07:40,11.69,,,1
08/25/2005 19:07:40,11.69,,,1
08/25/2005 20:07:40,11.69,,,1
08/25/2005 21:07:40,11.69,,,1
08/25/2005 22:07:40,11.69,,,1
08/25/2005 23:07:40,11.69,,,1
08/26/2005 00:07:40,11.69,,,1
08/26/2005 01:07:40,11.69,,,1
08/26/2005 02:07:40,11.69,,,1
08/26/2005 03:07:40,11.4,,,1
08/26/2005 04:07:40,11.4,,,1
08/26/2005 05:07:40,11.4,,,1
08/26/2005 06:07:40,11.4,,,1
08/26/2005 07:07:40,11.4,,,1
08/26/2005 08:07:40,11.12,,,1
08/26/2005 09:07:40,11.4,,,1
08/26/2005 10:07:40,11.4,,,1
08/26/2005 11:07:40,11.4,,,1
08/26/2005 12:07:40,11.69,,,1
08/26/2005 13:07:40,11.69,,,1
08/26/2005 14:07:40,11.69,,,1
08/26/2005 15:07:40,11.69,,,1
08/26/2005 16:07:40,11.69,,,1
08/26/2005 17:07:40,11.69,,,1
08/26/2005 18:07:40,11.69,,,1
08/26/2005 19:07:40,11.69,,,1
08/26/2005 20:07:40,11.69,,,1
08/26/2005 21:07:40,11.69,,,1
08/26/2005 22:07:40,11.69,,,1
08/26/2005 23:07:40,11.69,,,1
08/27/2005 00:07:40,11.69,,,1
08/27/2005 01:07:40,11.69,,,1
08/27/2005 02:07:40,11.69,,,1
08/27/2005 03:07:40,11.69,,,1
08/27/2005 04:07:40,11.69,,,1
08/27/2005 05:07:40,11.69,,,1
08/27/2005 06:07:40,11.4,,,1
08/27/2005 07:07:40,11.4,,,1
08/27/2005 08:07:40,11.4,,,1
08/27/2005 09:07:40,11.69,,,1
08/27/2005 10:07:40,11.69,,,1
08/27/2005 11:07:40,11.98,,,1
08/27/2005 12:07:40,11.98,,,1
08/27/2005 13:07:40,11.98,,,1
08/27/2005 14:07:40,11.98,,,1
08/27/2005 15:07:40,11.98,,,1
08/27/2005 16:07:40,11.98,,,1
08/27/2005 17:07:40,11.98,,,1
08/27/2005 18:07:40,11.98,,,1
08/27/2005 19:07:40,11.98,,,1
08/27/2005 20:07:40,11.98,,,1
08/27/2005 21:07:40,11.98,,,1
08/27/2005 22:07:40,11.98,,,1
08/27/2005 23:07:40,11.98,,,1
08/28/2005 00:07:40,11.98,,,1
08/28/2005 01:07:40,11.98,,,1
08/28/2005 02:07:40,11.98,,,1
08/28/2005 03:07:40,11.98,,,1
08/28/2005 04:07:40,11.98,,,1
08/28/2005 05:07:40,11.98,,,1
08/28/2005 06:07:40,11.98,,,1
08/28/2005 07:07:40,11.98,,,1
08/28/2005 08:07:40,11.98,,,1
08/28/2005 09:07:40,11.98,,,1
08/28/2005 10:07:40,11.98,,,1
08/28/2005 11:07:40,11.98,,,1
08/28/2005 12:07:40,11.98,,,1
08/28/2005 13:07:40,11.98,,,1
08/28/2005 14:07:40,11.98,,,1
08/28/2005 15:07:40,11.98,,,1
08/28/2005 16:07:40,11.98,,,1
08/28/2005 17:07:40,11.98,,,1
08/28/2005 18:07:40,11.98,,,1
08/28/2005 19:07:40,11.98,,,1
08/28/2005 20:07:40,11.69,,,1
08/28/2005 21:07:40,11.69,,,1
08/28/2005 22:07:40,11.69,,,1
08/28/2005 23:07:40,11.4,,,1
08/29/2005 00:07:40,11.4,,,1
08/29/2005 01:07:40,11.4,,,1
08/29/2005 02:07:40,11.12,,,1
08/29/2005 03:07:40,11.12,,,1
08/29/2005 04:07:40,10.83,,,1
08/29/2005 05:07:40,10.83,,,1
08/29/2005 06:07:40,10.83,,,1
08/29/2005 07:07:40,10.83,,,1
08/29/2005 08:07:40,10.83,,,1
08/29/2005 09:07:40,10.83,,,1
08/29/2005 10:07:40,11.12,,,1
08/29/2005 11:07:40,11.12,,,1
08/29/2005 12:07:40,11.12,,,1
08/29/2005 13:07:40,11.12,,,1
08/29/2005 14:07:40,11.12,,,1
08/29/2005 15:07:40,11.12,,,1
08/29/2005 16:07:40,11.12,,,1
08/29/2005 17:07:40,11.12,,,1
08/29/2005 18:07:40,11.12,,,1
08/29/2005 19:07:40,11.12,,,1
08/29/2005 20:07:40,11.12,,,1
08/29/2005 21:07:40,11.12,,,1
08/29/2005 22:07:40,11.12,,,1
08/29/2005 23:07:40,11.12,,,1
08/30/2005 00:07:40,11.12,,,1
08/30/2005 01:07:40,11.12,,,1
08/30/2005 02:07:40,10.83,,,1
08/30/2005 03:07:40,10.83,,,1
08/30/2005 04:07:40,10.83,,,1
08/30/2005 05:07:40,10.83,,,1
08/30/2005 06:07:40,10.54,,,1
08/30/2005 07:07:40,10.54,,,1
08/30/2005 08:07:40,10.54,,,1
08/30/2005 09:07:40,10.54,,,1
08/30/2005 10:07:40,10.54,,,1
08/30/2005 11:07:40,10.54,,,1
08/30/2005 12:07:40,10.83,,,1
08/30/2005 13:07:40,10.83,,,1
08/30/2005 14:07:40,10.83,,,1
08/30/2005 15:07:40,10.83,,,1
08/30/2005 16:07:40,10.83,,,1
08/30/2005 17:07:40,10.83,,,1
08/30/2005 18:07:40,10.83,,,1
08/30/2005 19:07:40,10.83,,,1
08/30/2005 20:07:40,10.83,,,1
08/30/2005 21:07:40,10.83,,,1
08/30/2005 22:07:40,10.83,,,1
08/30/2005 23:07:40,10.83,,,1
08/31/2005 00:07:40,10.83,,,1
08/31/2005 01:07:40,10.83,,,1
08/31/2005 02:07:40,10.83,,,1
08/31/2005 03:07:40,10.83,,,1
08/31/2005 04:07:40,10.83,,,1
08/31/2005 05:07:40,10.83,,,1
08/31/2005 06:07:40,10.54,,,1
08/31/2005 07:07:40,10.54,,,1
08/31/2005 08:07:40,10.54,,,1
08/31/2005 09:07:40,10.54,,,1
08/31/2005 10:07:40,10.83,,,1
08/31/2005 11:07:40,10.83,,,1
08/31/2005 12:07:40,10.83,,,1
08/31/2005 13:07:40,10.83,,,1
08/31/2005 14:07:40,11.12,,,1
08/31/2005 15:07:40,11.12,,,1
08/31/2005 16:07:40,10.83,,,1
08/31/2005 17:07:40,10.83,,,1
08/31/2005 18:07:40,10.83,,,1
08/31/2005 19:07:40,10.83,,,1
08/31/2005 20:07:40,10.83,,,1
08/31/2005 21:07:40,10.83,,,1
08/31/2005 22:07:40,10.83,,,1
08/31/2005 23:07:40,10.83,,,1
09/01/2005 00:07:40,10.83,,,1
09/01/2005 01:07:40,10.83,,,1
09/01/2005 02:07:40,10.83,,,1
09/01/2005 03:07:40,10.83,,,1
09/01/2005 04:07:40,10.83,,,1
09/01/2005 05:07:40,10.83,,,1
09/01/2005 06:07:40,10.83,,,1
09/01/2005 07:07:40,10.83,,,1
09/01/2005 08:07:40,10.83,,,1
09/01/2005 09:07:40,10.83,,,1
09/01/2005 10:07:40,11.12,,,1
09/01/2005 11:07:40,11.12,,,1
09/01/2005 12:07:40,11.12,,,1
09/01/2005 13:07:40,11.12,,,1
09/01/2005 14:07:40,11.12,,,1
09/01/2005 15:07:40,11.12,,,1
09/01/2005 16:07:40,11.12,,,1
09/01/2005 17:07:40,11.12,,,1
09/01/2005 18:07:40,11.12,,,1
09/01/2005 19:07:40,11.12,,,1
09/01/2005 20:07:40,11.12,,,1
09/01/2005 21:07:40,11.12,,,1
09/01/2005 22:07:40,11.12,,,1
09/01/2005 23:07:40,11.12,,,1
09/02/2005 00:07:40,11.12,,,1
09/02/2005 01:07:40,11.12,,,1
09/02/2005 02:07:40,11.12,,,1
09/02/2005 03:07:40,11.12,,,1
09/02/2005 04:07:40,11.12,,,1
09/02/2005 05:07:40,11.12,,,1
09/02/2005 06:07:40,11.12,,,1
09/02/2005 07:07:40,11.12,,,1
09/02/2005 08:07:40,11.12,,,1
09/02/2005 09:07:40,11.12,,,1
09/02/2005 10:07:40,11.4,,,1
09/02/2005 11:07:40,11.4,,,1
09/02/2005 12:07:40,11.4,,,1
09/02/2005 13:07:40,11.4,,,1
09/02/2005 14:07:40,11.4,,,1
09/02/2005 15:07:40,11.4,,,1
09/02/2005 16:07:40,11.4,,,1
09/02/2005 17:07:40,11.4,,,1
09/02/2005 18:07:40,11.4,,,1
09/02/2005 19:07:40,11.4,,,1
09/02/2005 20:07:40,11.4,,,1
09/02/2005 21:07:40,11.4,,,1
09/02/2005 22:07:40,11.4,,,1
09/02/2005 23:07:40,11.4,,,1
09/03/2005 00:07:40,11.4,,,1
09/03/2005 01:07:40,11.12,,,1
09/03/2005 02:07:40,11.12,,,1
09/03/2005 03:07:40,11.12,,,1
09/03/2005 04:07:40,10.83,,,1
09/03/2005 05:07:40,10.83,,,1
09/03/2005 06:07:40,10.83,,,1
09/03/2005 07:07:40,10.83,,,1
09/03/2005 08:07:40,10.83,,,1
09/03/2005 09:07:40,10.83,,,1
09/03/2005 10:07:40,10.83,,,1
09/03/2005 11:07:40,10.83,,,1
09/03/2005 12:07:40,10.83,,,1
09/03/2005 13:07:40,11.12,,,1
09/03/2005 14:07:40,11.12,,,1
09/03/2005 15:07:40,11.12,,,1
09/03/2005 16:07:40,11.12,,,1
09/03/2005 17:07:40,11.12,,,1
09/03/2005 18:07:40,11.12,,,1
09/03/2005 19:07:40,11.12,,,1
09/03/2005 20:07:40,11.12,,,1
09/03/2005 21:07:40,10.83,,,1
09/03/2005 22:07:40,10.83,,,1
09/03/2005 23:07:40,10.83,,,1
09/04/2005 00:07:40,10.83,,,1
09/04/2005 01:07:40,10.54,,,1
09/04/2005 02:07:40,10.54,,,1
09/04/2005 03:07:40,10.54,,,1
09/04/2005 04:07:40,10.54,,,1
09/04/2005 05:07:40,10.54,,,1
09/04/2005 06:07:40,10.25,,,1
09/04/2005 07:07:40,10.25,,,1
09/04/2005 08:07:40,10.25,,,1
09/04/2005 09:07:40,10.25,,,1
09/04/2005 10:07:40,10.54,,,1
09/04/2005 11:07:40,10.54,,,1
09/04/2005 12:07:40,10.54,,,1
09/04/2005 13:07:40,10.54,,,1
09/04/2005 14:07:40,10.54,,,1
09/04/2005 15:07:40,10.54,,,1
09/04/2005 16:07:40,10.54,,,1
09/04/2005 17:07:40,10.54,,,1
09/04/2005 18:07:40,10.54,,,1
09/04/2005 19:07:40,10.54,,,1
09/04/2005 20:07:40,10.54,,,1
09/04/2005 21:07:40,10.54,,,1
09/04/2005 22:07:40,10.25,,,1
09/04/2005 23:07:40,10.25,,,1
09/05/2005 00:07:40,9.96,,,1
09/05/2005 01:07:40,9.96,,,1
09/05/2005 02:07:40,9.96,,,1
09/05/2005 03:07:40,9.96,,,1
09/05/2005 04:07:40,9.68,,,1
09/05/2005 05:07:40,9.68,,,1
09/05/2005 06:07:40,9.68,,,1
09/05/2005 07:07:40,9.68,,,1
