,Water Temp.bottom@OLYM_LaCrosse,Water Temp.bottom@OLYM_LaCrosse,Water Temp.bottom@OLYM_LaCrosse,Water Temp.bottom@OLYM_LaCrosse
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
09/09/2010 17:00:00,9.509,,,1
09/09/2010 18:00:00,9.46,,,1
09/09/2010 19:00:00,9.312,,,1
09/09/2010 20:00:00,9.336,,,1
09/09/2010 21:00:00,9.361,,,1
09/09/2010 22:00:00,9.262,,,1
09/09/2010 23:00:00,9.287,,,1
09/10/2010 00:00:00,9.287,,,1
09/10/2010 01:00:00,9.262,,,1
09/10/2010 02:00:00,9.213,,,1
09/10/2010 03:00:00,9.262,,,1
09/10/2010 04:00:00,9.213,,,1
09/10/2010 05:00:00,9.262,,,1
09/10/2010 06:00:00,9.188,,,1
09/10/2010 07:00:00,9.238,,,1
09/10/2010 08:00:00,9.188,,,1
09/10/2010 09:00:00,9.213,,,1
09/10/2010 10:00:00,9.287,,,1
09/10/2010 11:00:00,9.213,,,1
09/10/2010 12:00:00,9.312,,,1
09/10/2010 13:00:00,9.114,,,1
09/10/2010 14:00:00,9.287,,,1
09/10/2010 15:00:00,9.213,,,1
09/10/2010 16:00:00,9.262,,,1
09/10/2010 17:00:00,9.336,,,1
09/10/2010 18:00:00,9.163,,,1
09/10/2010 19:00:00,9.188,,,1
09/10/2010 20:00:00,9.139,,,1
09/10/2010 21:00:00,9.163,,,1
09/10/2010 22:00:00,9.139,,,1
09/10/2010 23:00:00,9.163,,,1
09/11/2010 00:00:00,9.114,,,1
09/11/2010 01:00:00,9.139,,,1
09/11/2010 02:00:00,9.114,,,1
09/11/2010 03:00:00,9.015,,,1
09/11/2010 04:00:00,9.04,,,1
09/11/2010 05:00:00,9.089,,,1
09/11/2010 06:00:00,9.015,,,1
09/11/2010 07:00:00,8.965,,,1
09/11/2010 08:00:00,9.04,,,1
09/11/2010 09:00:00,9.015,,,1
09/11/2010 10:00:00,9.139,,,1
09/11/2010 11:00:00,9.213,,,1
09/11/2010 12:00:00,9.213,,,1
09/11/2010 13:00:00,9.361,,,1
09/11/2010 14:00:00,9.262,,,1
09/11/2010 15:00:00,9.287,,,1
09/11/2010 16:00:00,9.312,,,1
09/11/2010 17:00:00,9.238,,,1
09/11/2010 18:00:00,9.287,,,1
09/11/2010 19:00:00,9.262,,,1
09/11/2010 20:00:00,9.213,,,1
09/11/2010 21:00:00,9.238,,,1
09/11/2010 22:00:00,9.213,,,1
09/11/2010 23:00:00,9.238,,,1
09/12/2010 00:00:00,9.114,,,1
09/12/2010 01:00:00,9.312,,,1
09/12/2010 02:00:00,9.188,,,1
09/12/2010 03:00:00,9.188,,,1
09/12/2010 04:00:00,9.163,,,1
09/12/2010 05:00:00,9.089,,,1
09/12/2010 06:00:00,9.114,,,1
09/12/2010 07:00:00,9.163,,,1
09/12/2010 08:00:00,9.114,,,1
09/12/2010 09:00:00,9.064,,,1
09/12/2010 10:00:00,9.089,,,1
09/12/2010 11:00:00,9.114,,,1
09/12/2010 12:00:00,9.04,,,1
09/12/2010 13:00:00,9.04,,,1
09/12/2010 14:00:00,9.139,,,1
09/12/2010 15:00:00,9.114,,,1
09/12/2010 16:00:00,9.089,,,1
09/12/2010 17:00:00,9.04,,,1
09/12/2010 18:00:00,9.015,,,1
09/12/2010 19:00:00,8.99,,,1
09/12/2010 20:00:00,9.04,,,1
09/12/2010 21:00:00,8.99,,,1
09/12/2010 22:00:00,8.965,,,1
09/12/2010 23:00:00,8.99,,,1
09/13/2010 00:00:00,8.99,,,1
09/13/2010 01:00:00,8.916,,,1
09/13/2010 02:00:00,8.965,,,1
09/13/2010 03:00:00,8.891,,,1
09/13/2010 04:00:00,8.916,,,1
09/13/2010 05:00:00,8.866,,,1
09/13/2010 06:00:00,8.866,,,1
09/13/2010 07:00:00,8.817,,,1
09/13/2010 08:00:00,8.841,,,1
09/13/2010 09:00:00,8.891,,,1
09/13/2010 10:00:00,8.941,,,1
09/13/2010 11:00:00,8.965,,,1
09/13/2010 12:00:00,9.015,,,1
09/13/2010 13:00:00,9.287,,,1
09/13/2010 14:00:00,9.139,,,1
09/13/2010 15:00:00,9.163,,,1
09/13/2010 16:00:00,9.139,,,1
09/13/2010 17:00:00,9.336,,,1
09/13/2010 18:00:00,9.238,,,1
09/13/2010 19:00:00,9.163,,,1
09/13/2010 20:00:00,9.163,,,1
09/13/2010 21:00:00,9.188,,,1
09/13/2010 22:00:00,9.139,,,1
09/13/2010 23:00:00,9.114,,,1
09/14/2010 00:00:00,9.188,,,1
09/14/2010 01:00:00,9.064,,,1
09/14/2010 02:00:00,9.114,,,1
09/14/2010 03:00:00,9.064,,,1
09/14/2010 04:00:00,9.064,,,1
09/14/2010 05:00:00,9.064,,,1
09/14/2010 06:00:00,8.99,,,1
09/14/2010 07:00:00,9.015,,,1
09/14/2010 08:00:00,9.015,,,1
09/14/2010 09:00:00,9.04,,,1
09/14/2010 10:00:00,9.089,,,1
09/14/2010 11:00:00,9.139,,,1
09/14/2010 12:00:00,9.213,,,1
09/14/2010 13:00:00,9.262,,,1
09/14/2010 14:00:00,9.163,,,1
09/14/2010 15:00:00,9.312,,,1
09/14/2010 16:00:00,9.361,,,1
09/14/2010 17:00:00,9.287,,,1
09/14/2010 18:00:00,9.262,,,1
09/14/2010 19:00:00,9.287,,,1
09/14/2010 20:00:00,9.262,,,1
09/14/2010 21:00:00,9.262,,,1
09/14/2010 22:00:00,9.262,,,1
09/14/2010 23:00:00,9.262,,,1
09/15/2010 00:00:00,9.262,,,1
09/15/2010 01:00:00,9.213,,,1
09/15/2010 02:00:00,9.213,,,1
09/15/2010 03:00:00,9.213,,,1
09/15/2010 04:00:00,9.213,,,1
09/15/2010 05:00:00,9.188,,,1
09/15/2010 06:00:00,9.139,,,1
09/15/2010 07:00:00,9.163,,,1
09/15/2010 08:00:00,9.163,,,1
09/15/2010 09:00:00,9.163,,,1
09/15/2010 10:00:00,9.213,,,1
09/15/2010 11:00:00,9.262,,,1
09/15/2010 12:00:00,9.213,,,1
09/15/2010 13:00:00,9.238,,,1
09/15/2010 14:00:00,9.163,,,1
09/15/2010 15:00:00,9.336,,,1
09/15/2010 16:00:00,9.238,,,1
09/15/2010 17:00:00,9.213,,,1
09/15/2010 18:00:00,9.163,,,1
09/15/2010 19:00:00,9.163,,,1
09/15/2010 20:00:00,9.163,,,1
09/15/2010 21:00:00,9.163,,,1
09/15/2010 22:00:00,9.064,,,1
09/15/2010 23:00:00,9.114,,,1
09/16/2010 00:00:00,9.114,,,1
09/16/2010 01:00:00,9.139,,,1
09/16/2010 02:00:00,9.04,,,1
09/16/2010 03:00:00,9.04,,,1
09/16/2010 04:00:00,9.064,,,1
09/16/2010 05:00:00,8.965,,,1
09/16/2010 06:00:00,8.99,,,1
09/16/2010 07:00:00,8.99,,,1
09/16/2010 08:00:00,8.965,,,1
09/16/2010 09:00:00,9.015,,,1
09/16/2010 10:00:00,8.941,,,1
09/16/2010 11:00:00,8.99,,,1
09/16/2010 12:00:00,9.04,,,1
09/16/2010 13:00:00,9.064,,,1
09/16/2010 14:00:00,9.015,,,1
09/16/2010 15:00:00,9.04,,,1
09/16/2010 16:00:00,8.99,,,1
09/16/2010 17:00:00,8.965,,,1
09/16/2010 18:00:00,8.965,,,1
09/16/2010 19:00:00,8.99,,,1
09/16/2010 20:00:00,9.015,,,1
09/16/2010 21:00:00,8.965,,,1
09/16/2010 22:00:00,8.941,,,1
09/16/2010 23:00:00,8.916,,,1
09/17/2010 00:00:00,8.891,,,1
09/17/2010 01:00:00,8.916,,,1
09/17/2010 02:00:00,8.916,,,1
09/17/2010 03:00:00,8.891,,,1
09/17/2010 04:00:00,8.841,,,1
09/17/2010 05:00:00,8.866,,,1
09/17/2010 06:00:00,8.841,,,1
09/17/2010 07:00:00,8.866,,,1
09/17/2010 08:00:00,8.891,,,1
09/17/2010 09:00:00,8.817,,,1
09/17/2010 10:00:00,8.792,,,1
09/17/2010 11:00:00,8.866,,,1
09/17/2010 12:00:00,8.891,,,1
09/17/2010 13:00:00,8.817,,,1
09/17/2010 14:00:00,8.891,,,1
09/17/2010 15:00:00,8.916,,,1
09/17/2010 16:00:00,8.916,,,1
09/17/2010 17:00:00,8.916,,,1
09/17/2010 18:00:00,8.817,,,1
09/17/2010 19:00:00,8.891,,,1
09/17/2010 20:00:00,8.792,,,1
09/17/2010 21:00:00,8.817,,,1
09/17/2010 22:00:00,8.817,,,1
09/17/2010 23:00:00,8.866,,,1
09/18/2010 00:00:00,8.792,,,1
09/18/2010 01:00:00,8.817,,,1
09/18/2010 02:00:00,8.817,,,1
09/18/2010 03:00:00,8.767,,,1
09/18/2010 04:00:00,8.742,,,1
09/18/2010 05:00:00,8.767,,,1
09/18/2010 06:00:00,8.767,,,1
09/18/2010 07:00:00,8.717,,,1
09/18/2010 08:00:00,8.742,,,1
09/18/2010 09:00:00,8.792,,,1
09/18/2010 10:00:00,8.717,,,1
09/18/2010 11:00:00,8.866,,,1
09/18/2010 12:00:00,8.916,,,1
09/18/2010 13:00:00,8.99,,,1
09/18/2010 14:00:00,9.015,,,1
09/18/2010 15:00:00,9.064,,,1
09/18/2010 16:00:00,8.941,,,1
09/18/2010 17:00:00,8.99,,,1
09/18/2010 18:00:00,9.015,,,1
09/18/2010 19:00:00,8.965,,,1
09/18/2010 20:00:00,8.965,,,1
09/18/2010 21:00:00,8.965,,,1
09/18/2010 22:00:00,8.99,,,1
09/18/2010 23:00:00,8.941,,,1
09/19/2010 00:00:00,8.916,,,1
09/19/2010 01:00:00,8.941,,,1
09/19/2010 02:00:00,8.941,,,1
09/19/2010 03:00:00,8.891,,,1
09/19/2010 04:00:00,8.941,,,1
09/19/2010 05:00:00,8.891,,,1
09/19/2010 06:00:00,8.941,,,1
09/19/2010 07:00:00,8.792,,,1
09/19/2010 08:00:00,8.817,,,1
09/19/2010 09:00:00,8.817,,,1
09/19/2010 10:00:00,8.817,,,1
09/19/2010 11:00:00,8.941,,,1
09/19/2010 12:00:00,8.618,,,1
09/19/2010 13:00:00,8.767,,,1
09/19/2010 14:00:00,8.866,,,1
09/19/2010 15:00:00,8.742,,,1
09/19/2010 16:00:00,8.866,,,1
09/19/2010 17:00:00,8.742,,,1
09/19/2010 18:00:00,8.891,,,1
09/19/2010 19:00:00,8.792,,,1
09/19/2010 20:00:00,8.866,,,1
09/19/2010 21:00:00,8.618,,,1
09/19/2010 22:00:00,8.693,,,1
09/19/2010 23:00:00,8.717,,,1
09/20/2010 00:00:00,8.767,,,1
09/20/2010 01:00:00,8.668,,,1
09/20/2010 02:00:00,8.717,,,1
09/20/2010 03:00:00,8.742,,,1
09/20/2010 04:00:00,8.643,,,1
09/20/2010 05:00:00,8.643,,,1
09/20/2010 06:00:00,8.742,,,1
09/20/2010 07:00:00,8.593,,,1
09/20/2010 08:00:00,8.593,,,1
09/20/2010 09:00:00,8.593,,,1
09/20/2010 10:00:00,8.519,,,1
09/20/2010 11:00:00,8.593,,,1
09/20/2010 12:00:00,8.593,,,1
09/20/2010 13:00:00,8.543,,,1
09/20/2010 14:00:00,8.444,,,1
09/20/2010 15:00:00,8.593,,,1
09/20/2010 16:00:00,8.494,,,1
09/20/2010 17:00:00,8.444,,,1
09/20/2010 18:00:00,8.394,,,1
09/20/2010 19:00:00,8.27,,,1
09/20/2010 20:00:00,8.27,,,1
09/20/2010 21:00:00,8.22,,,1
09/20/2010 22:00:00,8.07,,,1
09/20/2010 23:00:00,8.095,,,1
09/21/2010 00:00:00,7.97,,,1
09/21/2010 01:00:00,7.97,,,1
09/21/2010 02:00:00,7.92,,,1
09/21/2010 03:00:00,7.82,,,1
09/21/2010 04:00:00,7.77,,,1
09/21/2010 05:00:00,7.745,,,1
09/21/2010 06:00:00,7.67,,,1
09/21/2010 07:00:00,7.619,,,1
09/21/2010 08:00:00,7.569,,,1
09/21/2010 09:00:00,7.569,,,1
09/21/2010 10:00:00,7.544,,,1
09/21/2010 11:00:00,7.569,,,1
09/21/2010 12:00:00,7.569,,,1
09/21/2010 13:00:00,7.645,,,1
09/21/2010 14:00:00,7.695,,,1
09/21/2010 15:00:00,7.67,,,1
09/21/2010 16:00:00,7.594,,,1
09/21/2010 17:00:00,7.619,,,1
09/21/2010 18:00:00,7.594,,,1
09/21/2010 19:00:00,7.619,,,1
09/21/2010 20:00:00,7.645,,,1
09/21/2010 21:00:00,7.594,,,1
09/21/2010 22:00:00,7.619,,,1
09/21/2010 23:00:00,7.544,,,1
09/22/2010 00:00:00,7.569,,,1
09/22/2010 01:00:00,7.544,,,1
09/22/2010 02:00:00,7.519,,,1
09/22/2010 03:00:00,7.469,,,1
09/22/2010 04:00:00,7.419,,,1
09/22/2010 05:00:00,7.444,,,1
09/22/2010 06:00:00,7.419,,,1
09/22/2010 07:00:00,7.343,,,1
09/22/2010 08:00:00,7.343,,,1
09/22/2010 09:00:00,7.293,,,1
09/22/2010 10:00:00,7.368,,,1
09/22/2010 11:00:00,7.368,,,1
09/22/2010 12:00:00,7.343,,,1
09/22/2010 13:00:00,7.393,,,1
09/22/2010 14:00:00,7.444,,,1
09/22/2010 15:00:00,7.444,,,1
09/22/2010 16:00:00,7.368,,,1
09/22/2010 17:00:00,7.419,,,1
09/22/2010 18:00:00,7.368,,,1
09/22/2010 19:00:00,7.368,,,1
09/22/2010 20:00:00,7.419,,,1
09/22/2010 21:00:00,7.293,,,1
09/22/2010 22:00:00,7.343,,,1
09/22/2010 23:00:00,7.368,,,1
09/23/2010 00:00:00,7.368,,,1
09/23/2010 01:00:00,7.393,,,1
09/23/2010 02:00:00,7.242,,,1
09/23/2010 03:00:00,7.318,,,1
09/23/2010 04:00:00,7.318,,,1
09/23/2010 05:00:00,7.293,,,1
09/23/2010 06:00:00,7.242,,,1
09/23/2010 07:00:00,7.293,,,1
09/23/2010 08:00:00,7.242,,,1
09/23/2010 09:00:00,7.217,,,1
09/23/2010 10:00:00,7.217,,,1
09/23/2010 11:00:00,7.217,,,1
09/23/2010 12:00:00,7.217,,,1
09/23/2010 13:00:00,7.393,,,1
09/23/2010 14:00:00,7.268,,,1
