,Water Temp.Bottom@NOCA_SM0202,Water Temp.Bottom@NOCA_SM0202,Water Temp.Bottom@NOCA_SM0202,Water Temp.Bottom@NOCA_SM0202
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
08/11/2009 16:00:00,15.748,,2,1
08/11/2009 16:30:00,16.01,,2,1
08/11/2009 17:00:00,16.058,,2,1
08/11/2009 17:30:00,15.748,,2,1
08/11/2009 18:00:00,15.7,,2,1
08/11/2009 18:30:00,15.796,,2,1
08/11/2009 19:00:00,15.652,,2,1
08/11/2009 19:30:00,15.605,,2,1
08/11/2009 20:00:00,15.581,,2,1
08/11/2009 20:30:00,15.581,,2,1
08/11/2009 21:00:00,15.509,,2,1
08/11/2009 21:30:00,15.533,,2,1
08/11/2009 22:00:00,15.461,,2,1
08/11/2009 22:30:00,15.438,,2,1
08/11/2009 23:00:00,15.39,,2,1
08/11/2009 23:30:00,15.366,,2,1
08/12/2009 00:00:00,15.342,,2,1
08/12/2009 00:30:00,15.318,,2,1
08/12/2009 01:00:00,15.247,,2,1
08/12/2009 01:30:00,15.199,,2,1
08/12/2009 02:00:00,15.151,,2,1
08/12/2009 02:30:00,15.175,,2,1
08/12/2009 03:00:00,15.079,,2,1
08/12/2009 03:30:00,15.055,,2,1
08/12/2009 04:00:00,14.96,,2,1
08/12/2009 04:30:00,14.96,,2,1
08/12/2009 05:00:00,14.888,,2,1
08/12/2009 05:30:00,14.84,,2,1
08/12/2009 06:00:00,14.768,,2,1
08/12/2009 06:30:00,14.745,,2,1
08/12/2009 07:00:00,14.768,,2,1
08/12/2009 07:30:00,14.768,,2,1
08/12/2009 08:00:00,14.768,,2,1
08/12/2009 08:30:00,14.792,,2,1
08/12/2009 09:00:00,14.864,,2,1
08/12/2009 09:30:00,14.816,,2,1
08/12/2009 10:00:00,14.792,,2,1
08/12/2009 10:30:00,14.888,,2,1
08/12/2009 11:00:00,14.936,,2,1
08/12/2009 11:30:00,15.008,,2,1
08/12/2009 12:00:00,14.96,,2,1
08/12/2009 12:30:00,14.96,,2,1
08/12/2009 13:00:00,14.912,,2,1
08/12/2009 13:30:00,14.936,,2,1
08/12/2009 14:00:00,15.247,,2,1
08/12/2009 14:30:00,15.008,,2,1
08/12/2009 15:00:00,15.103,,2,1
08/12/2009 15:30:00,15.008,,2,1
08/12/2009 16:00:00,15.103,,2,1
08/12/2009 16:30:00,15.509,,2,1
08/12/2009 17:00:00,15.414,,2,1
08/12/2009 17:30:00,15.438,,2,1
08/12/2009 18:00:00,15.414,,2,1
08/12/2009 18:30:00,15.199,,2,1
08/12/2009 19:00:00,15.151,,2,1
08/12/2009 19:30:00,15.103,,2,1
08/12/2009 20:00:00,15.055,,2,1
08/12/2009 20:30:00,15.055,,2,1
08/12/2009 21:00:00,15.008,,2,1
08/12/2009 21:30:00,15.151,,2,1
08/12/2009 22:00:00,15.008,,2,1
08/12/2009 22:30:00,15.008,,2,1
08/12/2009 23:00:00,14.912,,2,1
08/12/2009 23:30:00,14.84,,2,1
08/13/2009 00:00:00,14.864,,2,1
08/13/2009 00:30:00,14.721,,2,1
08/13/2009 01:00:00,14.649,,2,1
08/13/2009 01:30:00,14.625,,2,1
08/13/2009 02:00:00,14.601,,2,1
08/13/2009 02:30:00,14.529,,2,1
08/13/2009 03:00:00,14.409,,2,1
08/13/2009 03:30:00,14.361,,2,1
08/13/2009 04:00:00,14.29,,2,1
08/13/2009 04:30:00,14.194,,2,1
08/13/2009 05:00:00,14.146,,2,1
08/13/2009 05:30:00,14.122,,2,1
08/13/2009 06:00:00,14.05,,2,1
08/13/2009 06:30:00,14.002,,2,1
08/13/2009 07:00:00,13.954,,2,1
08/13/2009 07:30:00,13.834,,2,1
08/13/2009 08:00:00,13.834,,2,1
08/13/2009 08:30:00,13.93,,2,1
08/13/2009 09:00:00,13.858,,2,1
08/13/2009 09:30:00,13.786,,2,1
08/13/2009 10:00:00,13.906,,2,1
08/13/2009 10:30:00,13.882,,2,1
08/13/2009 11:00:00,14.002,,2,1
08/13/2009 11:30:00,13.978,,2,1
08/13/2009 12:00:00,14.457,,2,1
08/13/2009 12:30:00,14.218,,2,1
08/13/2009 13:00:00,14.194,,2,1
08/13/2009 13:30:00,14.194,,2,1
08/13/2009 14:00:00,14.17,,2,1
08/13/2009 14:30:00,14.146,,2,1
08/13/2009 15:00:00,14.098,,2,1
08/13/2009 15:30:00,14.098,,2,1
08/13/2009 16:00:00,14.17,,2,1
08/13/2009 16:30:00,14.242,,2,1
08/13/2009 17:00:00,14.457,,2,1
08/13/2009 17:30:00,14.433,,2,1
08/13/2009 18:00:00,14.29,,2,1
08/13/2009 18:30:00,14.314,,2,1
08/13/2009 19:00:00,14.194,,2,1
08/13/2009 19:30:00,14.242,,2,1
08/13/2009 20:00:00,14.194,,2,1
08/13/2009 20:30:00,14.146,,2,1
08/13/2009 21:00:00,14.098,,2,1
08/13/2009 21:30:00,14.002,,2,1
08/13/2009 22:00:00,13.954,,2,1
08/13/2009 22:30:00,13.906,,2,1
08/13/2009 23:00:00,13.81,,2,1
08/13/2009 23:30:00,13.738,,2,1
08/14/2009 00:00:00,13.666,,2,1
08/14/2009 00:30:00,13.57,,2,1
08/14/2009 01:00:00,13.497,,2,1
08/14/2009 01:30:00,13.449,,2,1
08/14/2009 02:00:00,13.425,,2,1
08/14/2009 02:30:00,13.353,,2,1
08/14/2009 03:00:00,13.329,,2,1
08/14/2009 03:30:00,13.233,,2,1
08/14/2009 04:00:00,13.209,,2,1
08/14/2009 04:30:00,13.209,,2,1
08/14/2009 05:00:00,13.064,,2,1
08/14/2009 05:30:00,13.04,,2,1
08/14/2009 06:00:00,12.992,,2,1
08/14/2009 06:30:00,13.04,,2,1
08/14/2009 07:00:00,12.92,,2,1
08/14/2009 07:30:00,12.751,,2,1
08/14/2009 08:00:00,12.727,,2,1
08/14/2009 08:30:00,12.63,,2,1
08/14/2009 09:00:00,12.63,,2,1
08/14/2009 09:30:00,12.63,,2,1
08/14/2009 10:00:00,12.63,,2,1
08/14/2009 10:30:00,12.654,,2,1
08/14/2009 11:00:00,12.654,,2,1
08/14/2009 11:30:00,12.968,,2,1
08/14/2009 12:00:00,12.678,,2,1
08/14/2009 12:30:00,12.751,,2,1
08/14/2009 13:00:00,12.703,,2,1
08/14/2009 13:30:00,12.654,,2,1
08/14/2009 14:00:00,12.703,,2,1
08/14/2009 14:30:00,12.727,,2,1
08/14/2009 15:00:00,12.654,,2,1
08/14/2009 15:30:00,12.654,,2,1
08/14/2009 16:00:00,12.606,,2,1
08/14/2009 16:30:00,12.606,,2,1
08/14/2009 17:00:00,12.582,,2,1
08/14/2009 17:30:00,12.606,,2,1
08/14/2009 18:00:00,12.606,,2,1
08/14/2009 18:30:00,12.606,,2,1
08/14/2009 19:00:00,12.558,,2,1
08/14/2009 19:30:00,12.534,,2,1
08/14/2009 20:00:00,12.461,,2,1
08/14/2009 20:30:00,12.413,,2,1
08/14/2009 21:00:00,12.34,,2,1
08/14/2009 21:30:00,12.292,,2,1
08/14/2009 22:00:00,12.195,,2,1
08/14/2009 22:30:00,12.171,,2,1
08/14/2009 23:00:00,12.122,,2,1
08/14/2009 23:30:00,12.122,,2,1
08/15/2009 00:00:00,12.098,,2,1
08/15/2009 00:30:00,12.025,,2,1
08/15/2009 01:00:00,12.001,,2,1
08/15/2009 01:30:00,11.929,,2,1
08/15/2009 02:00:00,11.904,,2,1
08/15/2009 02:30:00,11.832,,2,1
08/15/2009 03:00:00,11.783,,2,1
08/15/2009 03:30:00,11.759,,2,1
08/15/2009 04:00:00,11.71,,2,1
08/15/2009 04:30:00,11.637,,2,1
08/15/2009 05:00:00,11.613,,2,1
08/15/2009 05:30:00,11.54,,2,1
08/15/2009 06:00:00,11.467,,2,1
08/15/2009 06:30:00,11.443,,2,1
08/15/2009 07:00:00,11.297,,2,1
08/15/2009 07:30:00,11.37,,2,1
08/15/2009 08:00:00,11.346,,2,1
08/15/2009 08:30:00,11.273,,2,1
08/15/2009 09:00:00,11.516,,2,1
08/15/2009 09:30:00,11.443,,2,1
08/15/2009 10:00:00,11.589,,2,1
08/15/2009 10:30:00,11.516,,2,1
08/15/2009 11:00:00,11.662,,2,1
08/15/2009 11:30:00,11.613,,2,1
08/15/2009 12:00:00,11.71,,2,1
08/15/2009 12:30:00,11.807,,2,1
08/15/2009 13:00:00,11.856,,2,1
08/15/2009 13:30:00,12.098,,2,1
08/15/2009 14:00:00,11.953,,2,1
08/15/2009 14:30:00,11.977,,2,1
08/15/2009 15:00:00,12.098,,2,1
08/15/2009 15:30:00,12.292,,2,1
08/15/2009 16:00:00,12.413,,2,1
08/15/2009 16:30:00,12.413,,2,1
08/15/2009 17:00:00,12.364,,2,1
08/15/2009 17:30:00,12.364,,2,1
08/15/2009 18:00:00,12.268,,2,1
08/15/2009 18:30:00,12.243,,2,1
08/15/2009 19:00:00,12.074,,2,1
08/15/2009 19:30:00,12.025,,2,1
08/15/2009 20:00:00,12.025,,2,1
08/15/2009 20:30:00,12.05,,2,1
08/15/2009 21:00:00,12.001,,2,1
08/15/2009 21:30:00,12.025,,2,1
08/15/2009 22:00:00,12.05,,2,1
08/15/2009 22:30:00,12.001,,2,1
08/15/2009 23:00:00,11.977,,2,1
08/15/2009 23:30:00,11.953,,2,1
08/16/2009 00:00:00,11.953,,2,1
08/16/2009 00:30:00,11.929,,2,1
08/16/2009 01:00:00,11.904,,2,1
08/16/2009 01:30:00,11.832,,2,1
08/16/2009 02:00:00,11.832,,2,1
08/16/2009 02:30:00,11.807,,2,1
08/16/2009 03:00:00,11.783,,2,1
08/16/2009 03:30:00,11.71,,2,1
08/16/2009 04:00:00,11.637,,2,1
08/16/2009 04:30:00,11.637,,2,1
08/16/2009 05:00:00,11.54,,2,1
08/16/2009 05:30:00,11.54,,2,1
08/16/2009 06:00:00,11.565,,2,1
08/16/2009 06:30:00,11.565,,2,1
08/16/2009 07:00:00,11.492,,2,1
08/16/2009 07:30:00,11.443,,2,1
08/16/2009 08:00:00,11.419,,2,1
08/16/2009 08:30:00,11.443,,2,1
08/16/2009 09:00:00,11.589,,2,1
08/16/2009 09:30:00,11.734,,2,1
08/16/2009 10:00:00,11.832,,2,1
08/16/2009 10:30:00,11.637,,2,1
08/16/2009 11:00:00,11.637,,2,1
08/16/2009 11:30:00,12.05,,2,1
08/16/2009 12:00:00,12.268,,2,1
08/16/2009 12:30:00,11.832,,2,1
08/16/2009 13:00:00,11.977,,2,1
08/16/2009 13:30:00,11.88,,2,1
08/16/2009 14:00:00,12.001,,2,1
08/16/2009 14:30:00,12.074,,2,1
08/16/2009 15:00:00,12.098,,2,1
08/16/2009 15:30:00,12.05,,2,1
08/16/2009 16:00:00,12.025,,2,1
08/16/2009 16:30:00,12.413,,2,1
08/16/2009 17:00:00,12.461,,2,1
08/16/2009 17:30:00,12.34,,2,1
08/16/2009 18:00:00,12.147,,2,1
08/16/2009 18:30:00,12.098,,2,1
08/16/2009 19:00:00,12.074,,2,1
08/16/2009 19:30:00,12.074,,2,1
08/16/2009 20:00:00,12.05,,2,1
08/16/2009 20:30:00,11.977,,2,1
08/16/2009 21:00:00,12.05,,2,1
08/16/2009 21:30:00,12.074,,2,1
08/16/2009 22:00:00,11.977,,2,1
08/16/2009 22:30:00,12.025,,2,1
08/16/2009 23:00:00,12.001,,2,1
08/16/2009 23:30:00,11.929,,2,1
08/17/2009 00:00:00,11.856,,2,1
08/17/2009 00:30:00,11.856,,2,1
08/17/2009 01:00:00,11.856,,2,1
08/17/2009 01:30:00,11.88,,2,1
08/17/2009 02:00:00,11.807,,2,1
08/17/2009 02:30:00,11.904,,2,1
08/17/2009 03:00:00,11.783,,2,1
08/17/2009 03:30:00,11.783,,2,1
08/17/2009 04:00:00,11.734,,2,1
08/17/2009 04:30:00,11.71,,2,1
08/17/2009 05:00:00,11.686,,2,1
08/17/2009 05:30:00,11.662,,2,1
08/17/2009 06:00:00,11.662,,2,1
08/17/2009 06:30:00,11.54,,2,1
08/17/2009 07:00:00,11.54,,2,1
08/17/2009 07:30:00,11.589,,2,1
08/17/2009 08:00:00,11.589,,2,1
08/17/2009 08:30:00,11.492,,2,1
08/17/2009 09:00:00,11.783,,2,1
08/17/2009 09:30:00,11.759,,2,1
08/17/2009 10:00:00,11.832,,2,1
08/17/2009 10:30:00,12.171,,2,1
08/17/2009 11:00:00,12.171,,2,1
08/17/2009 11:30:00,11.88,,2,1
08/17/2009 12:00:00,12.292,,2,1
08/17/2009 12:30:00,12.413,,2,1
08/17/2009 13:00:00,12.509,,2,1
08/17/2009 13:30:00,12.606,,2,1
08/17/2009 14:00:00,12.582,,2,1
08/17/2009 14:30:00,12.847,,2,1
08/17/2009 15:00:00,12.944,,2,1
08/17/2009 15:30:00,12.847,,2,1
08/17/2009 16:00:00,12.751,,2,1
08/17/2009 16:30:00,12.871,,2,1
08/17/2009 17:00:00,12.896,,2,1
08/17/2009 17:30:00,12.823,,2,1
08/17/2009 18:00:00,12.799,,2,1
08/17/2009 18:30:00,12.63,,2,1
08/17/2009 19:00:00,12.582,,2,1
08/17/2009 19:30:00,12.558,,2,1
08/17/2009 20:00:00,12.509,,2,1
08/17/2009 20:30:00,12.485,,2,1
08/17/2009 21:00:00,12.509,,2,1
08/17/2009 21:30:00,12.509,,2,1
08/17/2009 22:00:00,12.534,,2,1
08/17/2009 22:30:00,12.485,,2,1
08/17/2009 23:00:00,12.437,,2,1
08/17/2009 23:30:00,12.437,,2,1
08/18/2009 00:00:00,12.461,,2,1
08/18/2009 00:30:00,12.413,,2,1
08/18/2009 01:00:00,12.364,,2,1
08/18/2009 01:30:00,12.364,,2,1
08/18/2009 02:00:00,12.364,,2,1
08/18/2009 02:30:00,12.316,,2,1
08/18/2009 03:00:00,12.34,,2,1
08/18/2009 03:30:00,12.34,,2,1
08/18/2009 04:00:00,12.316,,2,1
08/18/2009 04:30:00,12.292,,2,1
08/18/2009 05:00:00,12.243,,2,1
08/18/2009 05:30:00,12.195,,2,1
08/18/2009 06:00:00,12.171,,2,1
08/18/2009 06:30:00,12.147,,2,1
08/18/2009 07:00:00,12.147,,2,1
