,Temperature.mid depth@MORA_LN03,Temperature.mid depth@MORA_LN03,Temperature.mid depth@MORA_LN03,Temperature.mid depth@MORA_LN03
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
08/04/2008 17:31:00,9.163,,,1
08/04/2008 18:31:00,9.213,,,1
08/04/2008 19:31:00,9.312,,,1
08/04/2008 20:31:00,9.312,,,1
08/04/2008 21:31:00,9.262,,,1
08/04/2008 22:31:00,9.312,,,1
08/04/2008 23:31:00,9.238,,,1
08/05/2008 00:31:00,9.287,,,1
08/05/2008 01:31:00,9.287,,,1
08/05/2008 02:31:00,9.114,,,1
08/05/2008 03:31:00,9.188,,,1
08/05/2008 04:31:00,9.188,,,1
08/05/2008 05:31:00,9.238,,,1
08/05/2008 06:31:00,9.238,,,1
08/05/2008 07:31:00,9.287,,,1
08/05/2008 08:31:00,9.336,,,1
08/05/2008 09:31:00,9.435,,,1
08/05/2008 10:31:00,9.41,,,1
08/05/2008 11:31:00,9.46,,,1
08/05/2008 12:31:00,9.558,,,1
08/05/2008 13:31:00,9.608,,,1
08/05/2008 14:31:00,9.682,,,1
08/05/2008 15:31:00,9.682,,,1
08/05/2008 16:31:00,9.805,,,1
08/05/2008 17:31:00,9.632,,,1
08/05/2008 18:31:00,9.706,,,1
08/05/2008 19:31:00,9.829,,,1
08/05/2008 20:31:00,9.682,,,1
08/05/2008 21:31:00,9.706,,,1
08/05/2008 22:31:00,9.78,,,1
08/05/2008 23:31:00,9.583,,,1
08/06/2008 00:31:00,9.682,,,1
08/06/2008 01:31:00,9.657,,,1
08/06/2008 02:31:00,9.706,,,1
08/06/2008 03:31:00,9.657,,,1
08/06/2008 04:31:00,9.657,,,1
08/06/2008 05:31:00,9.632,,,1
08/06/2008 06:31:00,9.608,,,1
08/06/2008 07:31:00,9.657,,,1
08/06/2008 08:31:00,9.756,,,1
08/06/2008 09:31:00,9.952,,,1
08/06/2008 10:31:00,9.78,,,1
08/06/2008 11:31:00,9.829,,,1
08/06/2008 12:31:00,9.952,,,1
08/06/2008 13:31:00,9.854,,,1
08/06/2008 14:31:00,9.903,,,1
08/06/2008 15:31:00,10.075,,,1
08/06/2008 16:31:00,9.879,,,1
08/06/2008 17:31:00,9.78,,,1
08/06/2008 18:31:00,9.879,,,1
08/06/2008 19:31:00,9.977,,,1
08/06/2008 20:31:00,10.026,,,1
08/06/2008 21:31:00,10.001,,,1
08/06/2008 22:31:00,10.026,,,1
08/06/2008 23:31:00,9.928,,,1
08/07/2008 00:31:00,9.928,,,1
08/07/2008 01:31:00,9.854,,,1
08/07/2008 02:31:00,9.805,,,1
08/07/2008 03:31:00,9.829,,,1
08/07/2008 04:31:00,9.928,,,1
08/07/2008 05:31:00,9.928,,,1
08/07/2008 06:31:00,9.928,,,1
08/07/2008 07:31:00,9.928,,,1
08/07/2008 08:31:00,9.879,,,1
08/07/2008 09:31:00,9.903,,,1
08/07/2008 10:31:00,9.903,,,1
08/07/2008 11:31:00,10.051,,,1
08/07/2008 12:31:00,10.124,,,1
08/07/2008 13:31:00,10.124,,,1
08/07/2008 14:31:00,10.173,,,1
08/07/2008 15:31:00,10.271,,,1
08/07/2008 16:31:00,10.59,,,1
08/07/2008 17:31:00,10.247,,,1
08/07/2008 18:31:00,10.296,,,1
08/07/2008 19:31:00,10.198,,,1
08/07/2008 20:31:00,10.271,,,1
08/07/2008 21:31:00,10.247,,,1
08/07/2008 22:31:00,10.173,,,1
08/07/2008 23:31:00,10.394,,,1
08/08/2008 00:31:00,10.247,,,1
08/08/2008 01:31:00,10.222,,,1
08/08/2008 02:31:00,10.1,,,1
08/08/2008 03:31:00,10.222,,,1
08/08/2008 04:31:00,10.124,,,1
08/08/2008 05:31:00,10.32,,,1
08/08/2008 06:31:00,10.198,,,1
08/08/2008 07:31:00,10.296,,,1
08/08/2008 08:31:00,10.198,,,1
08/08/2008 09:31:00,10.345,,,1
08/08/2008 10:31:00,10.369,,,1
08/08/2008 11:31:00,10.394,,,1
08/08/2008 12:31:00,10.638,,,1
08/08/2008 13:31:00,10.761,,,1
08/08/2008 14:31:00,10.418,,,1
08/08/2008 15:31:00,10.834,,,1
08/08/2008 16:31:00,10.712,,,1
08/08/2008 17:31:00,11.419,,,1
08/08/2008 18:31:00,10.32,,,1
08/08/2008 19:31:00,10.638,,,1
08/08/2008 20:31:00,10.736,,,1
08/08/2008 21:31:00,10.712,,,1
08/08/2008 22:31:00,11.078,,,1
08/08/2008 23:31:00,10.467,,,1
08/09/2008 00:31:00,10.81,,,1
08/09/2008 01:31:00,10.516,,,1
08/09/2008 02:31:00,10.785,,,1
08/09/2008 03:31:00,10.761,,,1
08/09/2008 04:31:00,10.712,,,1
08/09/2008 05:31:00,10.516,,,1
08/09/2008 06:31:00,10.81,,,1
08/09/2008 07:31:00,10.638,,,1
08/09/2008 08:31:00,10.785,,,1
08/09/2008 09:31:00,10.712,,,1
08/09/2008 10:31:00,10.834,,,1
08/09/2008 11:31:00,10.712,,,1
08/09/2008 12:31:00,11.54,,,1
08/09/2008 13:31:00,10.565,,,1
08/09/2008 14:31:00,11.662,,,1
08/09/2008 15:31:00,10.883,,,1
08/09/2008 16:31:00,12.171,,,1
08/09/2008 17:31:00,10.883,,,1
08/09/2008 18:31:00,11.516,,,1
08/09/2008 19:31:00,11.151,,,1
08/09/2008 20:31:00,11.516,,,1
08/09/2008 21:31:00,11.029,,,1
08/09/2008 22:31:00,11.2,,,1
08/09/2008 23:31:00,11.2,,,1
08/10/2008 00:31:00,11.37,,,1
08/10/2008 01:31:00,11.443,,,1
08/10/2008 02:31:00,11.127,,,1
08/10/2008 03:31:00,11.297,,,1
08/10/2008 04:31:00,11.297,,,1
08/10/2008 05:31:00,11.297,,,1
08/10/2008 06:31:00,11.053,,,1
08/10/2008 07:31:00,11.419,,,1
08/10/2008 08:31:00,10.712,,,1
08/10/2008 09:31:00,11.078,,,1
08/10/2008 10:31:00,11.151,,,1
08/10/2008 11:31:00,11.053,,,1
08/10/2008 12:31:00,11.467,,,1
08/10/2008 13:31:00,10.883,,,1
08/10/2008 14:31:00,11.419,,,1
08/10/2008 15:31:00,11.151,,,1
08/10/2008 16:31:00,11.662,,,1
08/10/2008 17:31:00,11.443,,,1
08/10/2008 18:31:00,11.565,,,1
08/10/2008 19:31:00,11.443,,,1
08/10/2008 20:31:00,11.686,,,1
08/10/2008 21:31:00,11.734,,,1
08/10/2008 22:31:00,12.025,,,1
08/10/2008 23:31:00,11.613,,,1
08/11/2008 00:31:00,11.953,,,1
08/11/2008 01:31:00,11.224,,,1
08/11/2008 02:31:00,11.88,,,1
08/11/2008 03:31:00,11.832,,,1
08/11/2008 04:31:00,11.783,,,1
08/11/2008 05:31:00,11.637,,,1
08/11/2008 06:31:00,11.516,,,1
08/11/2008 07:31:00,11.394,,,1
08/11/2008 08:31:00,11.346,,,1
08/11/2008 09:31:00,11.71,,,1
08/11/2008 10:31:00,11.686,,,1
08/11/2008 11:31:00,11.759,,,1
08/11/2008 12:31:00,11.394,,,1
08/11/2008 13:31:00,11.662,,,1
08/11/2008 14:31:00,11.759,,,1
08/11/2008 15:31:00,11.977,,,1
08/11/2008 16:31:00,11.977,,,1
08/11/2008 17:31:00,11.273,,,1
08/11/2008 18:31:00,11.977,,,1
08/11/2008 19:31:00,11.734,,,1
08/11/2008 20:31:00,12.025,,,1
08/11/2008 21:31:00,11.686,,,1
08/11/2008 22:31:00,11.71,,,1
08/11/2008 23:31:00,11.54,,,1
08/12/2008 00:31:00,11.953,,,1
08/12/2008 01:31:00,11.929,,,1
08/12/2008 02:31:00,11.832,,,1
08/12/2008 03:31:00,11.783,,,1
08/12/2008 04:31:00,11.565,,,1
08/12/2008 05:31:00,11.637,,,1
08/12/2008 06:31:00,11.565,,,1
08/12/2008 07:31:00,11.516,,,1
08/12/2008 08:31:00,11.613,,,1
08/12/2008 09:31:00,11.613,,,1
08/12/2008 10:31:00,11.637,,,1
08/12/2008 11:31:00,11.589,,,1
08/12/2008 12:31:00,11.637,,,1
08/12/2008 13:31:00,11.734,,,1
08/12/2008 14:31:00,11.759,,,1
08/12/2008 15:31:00,11.759,,,1
08/12/2008 16:31:00,11.832,,,1
08/12/2008 17:31:00,11.929,,,1
08/12/2008 18:31:00,12.05,,,1
08/12/2008 19:31:00,11.929,,,1
08/12/2008 20:31:00,11.88,,,1
08/12/2008 21:31:00,11.856,,,1
08/12/2008 22:31:00,11.904,,,1
08/12/2008 23:31:00,11.832,,,1
08/13/2008 00:31:00,11.88,,,1
08/13/2008 01:31:00,11.759,,,1
08/13/2008 02:31:00,11.759,,,1
08/13/2008 03:31:00,11.88,,,1
08/13/2008 04:31:00,11.904,,,1
08/13/2008 05:31:00,11.929,,,1
08/13/2008 06:31:00,11.832,,,1
08/13/2008 07:31:00,11.832,,,1
08/13/2008 08:31:00,11.807,,,1
08/13/2008 09:31:00,12.05,,,1
08/13/2008 10:31:00,12.122,,,1
08/13/2008 11:31:00,12.219,,,1
08/13/2008 12:31:00,12.219,,,1
08/13/2008 13:31:00,12.413,,,1
08/13/2008 14:31:00,12.847,,,1
08/13/2008 15:31:00,12.001,,,1
08/13/2008 16:31:00,12.364,,,1
08/13/2008 17:31:00,12.389,,,1
08/13/2008 18:31:00,12.678,,,1
08/13/2008 19:31:00,12.606,,,1
08/13/2008 20:31:00,12.461,,,1
08/13/2008 21:31:00,12.389,,,1
08/13/2008 22:31:00,12.703,,,1
08/13/2008 23:31:00,12.678,,,1
08/14/2008 00:31:00,12.485,,,1
08/14/2008 01:31:00,12.364,,,1
08/14/2008 02:31:00,12.437,,,1
08/14/2008 03:31:00,12.582,,,1
08/14/2008 04:31:00,12.461,,,1
08/14/2008 05:31:00,12.34,,,1
08/14/2008 06:31:00,12.461,,,1
08/14/2008 07:31:00,12.558,,,1
08/14/2008 08:31:00,12.63,,,1
08/14/2008 09:31:00,12.654,,,1
08/14/2008 10:31:00,12.751,,,1
08/14/2008 11:31:00,12.582,,,1
08/14/2008 12:31:00,13.161,,,1
08/14/2008 13:31:00,13.257,,,1
08/14/2008 14:31:00,12.896,,,1
08/14/2008 15:31:00,12.871,,,1
08/14/2008 16:31:00,13.064,,,1
08/14/2008 17:31:00,13.04,,,1
08/14/2008 18:31:00,13.233,,,1
08/14/2008 19:31:00,13.209,,,1
08/14/2008 20:31:00,13.233,,,1
08/14/2008 21:31:00,13.088,,,1
08/14/2008 22:31:00,13.04,,,1
08/14/2008 23:31:00,13.137,,,1
08/15/2008 00:31:00,13.185,,,1
08/15/2008 01:31:00,13.064,,,1
08/15/2008 02:31:00,12.992,,,1
08/15/2008 03:31:00,13.161,,,1
08/15/2008 04:31:00,13.112,,,1
08/15/2008 05:31:00,13.233,,,1
08/15/2008 06:31:00,13.04,,,1
08/15/2008 07:31:00,13.112,,,1
08/15/2008 08:31:00,13.209,,,1
08/15/2008 09:31:00,13.401,,,1
08/15/2008 10:31:00,13.209,,,1
08/15/2008 11:31:00,13.257,,,1
08/15/2008 12:31:00,13.377,,,1
08/15/2008 13:31:00,13.714,,,1
08/15/2008 14:31:00,13.497,,,1
08/15/2008 15:31:00,13.738,,,1
08/15/2008 16:31:00,13.57,,,1
08/15/2008 17:31:00,13.666,,,1
08/15/2008 18:31:00,13.81,,,1
08/15/2008 19:31:00,13.906,,,1
08/15/2008 20:31:00,13.666,,,1
08/15/2008 21:31:00,13.618,,,1
08/15/2008 22:31:00,13.714,,,1
08/15/2008 23:31:00,13.714,,,1
08/16/2008 00:31:00,13.762,,,1
08/16/2008 01:31:00,13.738,,,1
08/16/2008 02:31:00,13.642,,,1
08/16/2008 03:31:00,13.714,,,1
08/16/2008 04:31:00,13.666,,,1
08/16/2008 05:31:00,13.714,,,1
08/16/2008 06:31:00,13.738,,,1
08/16/2008 07:31:00,13.714,,,1
08/16/2008 08:31:00,13.738,,,1
08/16/2008 09:31:00,13.882,,,1
08/16/2008 10:31:00,13.93,,,1
08/16/2008 11:31:00,14.05,,,1
08/16/2008 12:31:00,14.002,,,1
08/16/2008 13:31:00,14.05,,,1
08/16/2008 14:31:00,14.026,,,1
08/16/2008 15:31:00,14.266,,,1
08/16/2008 16:31:00,14.433,,,1
08/16/2008 17:31:00,14.337,,,1
08/16/2008 18:31:00,14.433,,,1
08/16/2008 19:31:00,14.481,,,1
08/16/2008 20:31:00,14.337,,,1
08/16/2008 21:31:00,14.194,,,1
08/16/2008 22:31:00,14.242,,,1
08/16/2008 23:31:00,14.409,,,1
08/17/2008 00:31:00,14.29,,,1
08/17/2008 01:31:00,14.314,,,1
08/17/2008 02:31:00,14.337,,,1
08/17/2008 03:31:00,14.314,,,1
08/17/2008 04:31:00,14.194,,,1
08/17/2008 05:31:00,14.673,,,1
08/17/2008 06:31:00,14.673,,,1
08/17/2008 07:31:00,13.882,,,1
08/17/2008 08:31:00,14.361,,,1
08/17/2008 09:31:00,14.625,,,1
08/17/2008 10:31:00,14.481,,,1
08/17/2008 11:31:00,14.433,,,1
08/17/2008 12:31:00,14.505,,,1
08/17/2008 13:31:00,14.625,,,1
08/17/2008 14:31:00,14.505,,,1
08/17/2008 15:31:00,14.433,,,1
08/17/2008 16:31:00,14.553,,,1
08/17/2008 17:31:00,14.625,,,1
08/17/2008 18:31:00,14.433,,,1
08/17/2008 19:31:00,14.337,,,1
08/17/2008 20:31:00,14.864,,,1
08/17/2008 21:31:00,14.888,,,1
08/17/2008 22:31:00,14.529,,,1
08/17/2008 23:31:00,14.577,,,1
08/18/2008 00:31:00,14.721,,,1
08/18/2008 01:31:00,14.266,,,1
08/18/2008 02:31:00,14.816,,,1
08/18/2008 03:31:00,14.29,,,1
08/18/2008 04:31:00,14.433,,,1
08/18/2008 05:31:00,15.199,,,1
08/18/2008 06:31:00,14.361,,,1
08/18/2008 07:31:00,14.433,,,1
08/18/2008 08:31:00,15.819,,,1
08/18/2008 09:31:00,14.864,,,1
08/18/2008 10:31:00,14.266,,,1
08/18/2008 11:31:00,14.936,,,1
08/18/2008 12:31:00,15.079,,,1
08/18/2008 13:31:00,15.079,,,1
08/18/2008 14:31:00,15.199,,,1
08/18/2008 15:31:00,15.103,,,1
