,Water Temp.middepth@OLYM_627,Water Temp.middepth@OLYM_627,Water Temp.middepth@OLYM_627,Water Temp.middepth@OLYM_627
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
09/15/2006 11:04:51,,,,1
09/15/2006 12:04:51,,,,1
09/15/2006 13:04:51,,,,1
09/15/2006 14:04:51,,,,1
09/15/2006 15:04:51,,,,1
09/15/2006 16:04:51,,,,1
09/15/2006 17:04:51,,,,1
09/15/2006 18:04:51,,,,1
09/15/2006 19:04:51,,,,1
09/15/2006 20:04:51,,,,1
09/15/2006 21:04:51,,,,1
09/15/2006 22:04:51,,,,1
09/15/2006 23:04:51,,,,1
09/16/2006 00:04:51,,,,1
09/16/2006 01:04:51,,,,1
09/16/2006 02:04:51,,,,1
09/16/2006 03:04:51,,,,1
09/16/2006 04:04:51,,,,1
09/16/2006 05:04:51,,,,1
09/16/2006 06:04:51,,,,1
09/16/2006 07:04:51,,,,1
09/16/2006 08:04:51,,,,1
09/16/2006 09:04:51,,,,1
09/16/2006 10:04:51,,,,1
09/16/2006 11:04:51,,,,1
09/16/2006 12:04:51,,,,1
09/16/2006 13:04:51,,,,1
09/16/2006 14:04:51,,,,1
09/16/2006 15:04:51,,,,1
09/16/2006 16:04:51,,,,1
09/16/2006 17:04:51,,,,1
09/16/2006 18:04:51,,,,1
09/16/2006 19:04:51,,,,1
09/16/2006 20:04:51,,,,1
09/16/2006 21:04:51,,,,1
09/16/2006 22:04:51,,,,1
09/16/2006 23:04:51,,,,1
09/17/2006 00:04:51,,,,1
09/17/2006 01:04:51,,,,1
09/17/2006 02:04:51,,,,1
09/17/2006 03:04:51,,,,1
09/17/2006 04:04:51,,,,1
09/17/2006 05:04:51,,,,1
09/17/2006 06:04:51,,,,1
09/17/2006 07:04:51,,,,1
09/17/2006 08:04:51,,,,1
09/17/2006 09:04:51,,,,1
09/17/2006 10:04:51,,,,1
09/17/2006 11:04:51,,,,1
09/17/2006 12:04:51,,,,1
09/17/2006 13:04:51,,,,1
09/17/2006 14:04:51,,,,1
09/17/2006 15:04:51,,,,1
09/17/2006 16:04:51,,,,1
09/17/2006 17:04:51,,,,1
09/17/2006 18:04:51,,,,1
09/17/2006 19:04:51,,,,1
09/17/2006 20:04:51,,,,1
09/17/2006 21:04:51,,,,1
09/17/2006 22:04:51,,,,1
09/17/2006 23:04:51,,,,1
09/18/2006 00:04:51,,,,1
09/18/2006 01:04:51,,,,1
09/18/2006 02:04:51,,,,1
09/18/2006 03:04:51,,,,1
09/18/2006 04:04:51,,,,1
09/18/2006 05:04:51,,,,1
09/18/2006 06:04:51,,,,1
09/18/2006 07:04:51,,,,1
09/18/2006 08:04:51,,,,1
09/18/2006 09:04:51,,,,1
09/18/2006 10:04:51,,,,1
09/18/2006 11:04:51,,,,1
09/18/2006 12:04:51,,,,1
09/18/2006 13:04:51,,,,1
09/18/2006 14:04:51,,,,1
09/18/2006 15:04:51,,,,1
09/18/2006 16:04:51,,,,1
09/18/2006 17:04:51,,,,1
09/18/2006 18:04:51,,,,1
09/18/2006 19:04:51,,,,1
09/18/2006 20:04:51,,,,1
09/18/2006 21:04:51,,,,1
09/18/2006 22:04:51,,,,1
09/18/2006 23:04:51,,,,1
09/19/2006 00:04:51,,,,1
09/19/2006 01:04:51,,,,1
09/19/2006 02:04:51,,,,1
09/19/2006 03:04:51,,,,1
09/19/2006 04:04:51,,,,1
09/19/2006 05:04:51,,,,1
09/19/2006 06:04:51,,,,1
09/19/2006 07:04:51,,,,1
09/19/2006 08:04:51,,,,1
09/19/2006 09:04:51,,,,1
09/19/2006 10:04:51,,,,1
09/19/2006 11:04:51,,,,1
09/19/2006 12:04:51,12.69,,,1
09/19/2006 13:04:51,12.69,,,1
09/19/2006 14:04:51,12.4,,,1
09/19/2006 15:04:51,12.69,,,1
09/19/2006 16:04:51,12.69,,,1
09/19/2006 17:04:51,12.69,,,1
09/19/2006 18:04:51,12.69,,,1
09/19/2006 19:04:51,12.4,,,1
09/19/2006 20:04:51,12.4,,,1
09/19/2006 21:04:51,12.69,,,1
09/19/2006 22:04:51,12.69,,,1
09/19/2006 23:04:51,12.4,,,1
09/20/2006 00:04:51,12.4,,,1
09/20/2006 01:04:51,12.4,,,1
09/20/2006 02:04:51,12.4,,,1
09/20/2006 03:04:51,12.4,,,1
09/20/2006 04:04:51,12.4,,,1
09/20/2006 05:04:51,12.4,,,1
09/20/2006 06:04:51,12.4,,,1
09/20/2006 07:04:51,12.4,,,1
09/20/2006 08:04:51,12.4,,,1
09/20/2006 09:04:51,12.4,,,1
09/20/2006 10:04:51,12.11,,,1
09/20/2006 11:04:51,12.11,,,1
09/20/2006 12:04:51,12.11,,,1
09/20/2006 13:04:51,12.11,,,1
09/20/2006 14:04:51,12.11,,,1
09/20/2006 15:04:51,12.11,,,1
09/20/2006 16:04:51,12.11,,,1
09/20/2006 17:04:51,12.11,,,1
09/20/2006 18:04:51,12.11,,,1
09/20/2006 19:04:51,12.11,,,1
09/20/2006 20:04:51,12.11,,,1
09/20/2006 21:04:51,12.11,,,1
09/20/2006 22:04:51,11.82,,,1
09/20/2006 23:04:51,11.82,,,1
09/21/2006 00:04:51,11.82,,,1
09/21/2006 01:04:51,11.82,,,1
09/21/2006 02:04:51,11.82,,,1
09/21/2006 03:04:51,11.82,,,1
09/21/2006 04:04:51,11.82,,,1
09/21/2006 05:04:51,11.82,,,1
09/21/2006 06:04:51,11.82,,,1
09/21/2006 07:04:51,11.54,,,1
09/21/2006 08:04:51,11.54,,,1
09/21/2006 09:04:51,11.54,,,1
09/21/2006 10:04:51,11.54,,,1
09/21/2006 11:04:51,11.82,,,1
09/21/2006 12:04:51,11.82,,,1
09/21/2006 13:04:51,11.82,,,1
09/21/2006 14:04:51,11.82,,,1
09/21/2006 15:04:51,11.82,,,1
09/21/2006 16:04:51,11.82,,,1
09/21/2006 17:04:51,11.54,,,1
09/21/2006 18:04:51,11.54,,,1
09/21/2006 19:04:51,11.54,,,1
09/21/2006 20:04:51,11.54,,,1
09/21/2006 21:04:51,11.54,,,1
09/21/2006 22:04:51,11.54,,,1
09/21/2006 23:04:51,11.54,,,1
09/22/2006 00:04:51,11.54,,,1
09/22/2006 01:04:51,11.25,,,1
09/22/2006 02:04:51,11.25,,,1
09/22/2006 03:04:51,11.25,,,1
09/22/2006 04:04:51,11.25,,,1
09/22/2006 05:04:51,11.25,,,1
09/22/2006 06:04:51,11.25,,,1
09/22/2006 07:04:51,11.25,,,1
09/22/2006 08:04:51,11.25,,,1
09/22/2006 09:04:51,11.25,,,1
09/22/2006 10:04:51,11.25,,,1
09/22/2006 11:04:51,11.25,,,1
09/22/2006 12:04:51,11.54,,,1
09/22/2006 13:04:51,11.54,,,1
09/22/2006 14:04:51,11.54,,,1
09/22/2006 15:04:51,11.54,,,1
09/22/2006 16:04:51,11.54,,,1
09/22/2006 17:04:51,11.25,,,1
09/22/2006 18:04:51,11.25,,,1
09/22/2006 19:04:51,11.25,,,1
09/22/2006 20:04:51,11.25,,,1
09/22/2006 21:04:51,11.25,,,1
09/22/2006 22:04:51,11.25,,,1
09/22/2006 23:04:51,11.25,,,1
09/23/2006 00:04:51,11.25,,,1
09/23/2006 01:04:51,11.25,,,1
09/23/2006 02:04:51,11.25,,,1
09/23/2006 03:04:51,11.25,,,1
09/23/2006 04:04:51,11.25,,,1
09/23/2006 05:04:51,11.25,,,1
09/23/2006 06:04:51,11.25,,,1
09/23/2006 07:04:51,11.25,,,1
09/23/2006 08:04:51,11.25,,,1
09/23/2006 09:04:51,11.25,,,1
09/23/2006 10:04:51,11.54,,,1
09/23/2006 11:04:51,11.54,,,1
09/23/2006 12:04:51,11.54,,,1
09/23/2006 13:04:51,11.54,,,1
09/23/2006 14:04:51,11.54,,,1
09/23/2006 15:04:51,11.54,,,1
09/23/2006 16:04:51,11.54,,,1
09/23/2006 17:04:51,11.54,,,1
09/23/2006 18:04:51,11.54,,,1
09/23/2006 19:04:51,11.54,,,1
09/23/2006 20:04:51,11.54,,,1
09/23/2006 21:04:51,11.54,,,1
09/23/2006 22:04:51,11.54,,,1
09/23/2006 23:04:51,11.54,,,1
09/24/2006 00:04:51,11.54,,,1
09/24/2006 01:04:51,11.54,,,1
09/24/2006 02:04:51,11.54,,,1
09/24/2006 03:04:51,11.54,,,1
09/24/2006 04:04:51,11.54,,,1
09/24/2006 05:04:51,11.54,,,1
09/24/2006 06:04:51,11.54,,,1
09/24/2006 07:04:51,11.54,,,1
09/24/2006 08:04:51,11.54,,,1
09/24/2006 09:04:51,11.54,,,1
09/24/2006 10:04:51,11.82,,,1
09/24/2006 11:04:51,11.82,,,1
09/24/2006 12:04:51,11.82,,,1
09/24/2006 13:04:51,11.82,,,1
09/24/2006 14:04:51,11.82,,,1
09/24/2006 15:04:51,11.82,,,1
09/24/2006 16:04:51,11.82,,,1
09/24/2006 17:04:51,11.82,,,1
09/24/2006 18:04:51,11.82,,,1
09/24/2006 19:04:51,11.82,,,1
09/24/2006 20:04:51,11.82,,,1
09/24/2006 21:04:51,11.82,,,1
09/24/2006 22:04:51,11.82,,,1
09/24/2006 23:04:51,11.82,,,1
09/25/2006 00:04:51,11.82,,,1
09/25/2006 01:04:51,11.82,,,1
09/25/2006 02:04:51,11.82,,,1
09/25/2006 03:04:51,11.82,,,1
09/25/2006 04:04:51,11.82,,,1
09/25/2006 05:04:51,11.82,,,1
09/25/2006 06:04:51,11.82,,,1
09/25/2006 07:04:51,11.82,,,1
09/25/2006 08:04:51,11.82,,,1
09/25/2006 09:04:51,11.82,,,1
09/25/2006 10:04:51,12.11,,,1
09/25/2006 11:04:51,12.11,,,1
09/25/2006 12:04:51,12.11,,,1
09/25/2006 13:04:51,12.11,,,1
09/25/2006 14:04:51,12.11,,,1
09/25/2006 15:04:51,12.11,,,1
09/25/2006 16:04:51,12.11,,,1
09/25/2006 17:04:51,12.11,,,1
09/25/2006 18:04:51,12.11,,,1
09/25/2006 19:04:51,12.11,,,1
09/25/2006 20:04:51,12.11,,,1
09/25/2006 21:04:51,12.11,,,1
09/25/2006 22:04:51,12.11,,,1
09/25/2006 23:04:51,12.11,,,1
09/26/2006 00:04:51,12.11,,,1
09/26/2006 01:04:51,12.11,,,1
09/26/2006 02:04:51,12.11,,,1
09/26/2006 03:04:51,12.11,,,1
09/26/2006 04:04:51,12.11,,,1
09/26/2006 05:04:51,12.11,,,1
09/26/2006 06:04:51,12.11,,,1
09/26/2006 07:04:51,12.11,,,1
09/26/2006 08:04:51,12.11,,,1
09/26/2006 09:04:51,12.11,,,1
09/26/2006 10:04:51,12.4,,,1
09/26/2006 11:04:51,12.4,,,1
09/26/2006 12:04:51,12.4,,,1
09/26/2006 13:04:51,12.4,,,1
09/26/2006 14:04:51,12.4,,,1
09/26/2006 15:04:51,12.4,,,1
09/26/2006 16:04:51,12.4,,,1
09/26/2006 17:04:51,12.4,,,1
09/26/2006 18:04:51,12.4,,,1
09/26/2006 19:04:51,12.4,,,1
09/26/2006 20:04:51,12.4,,,1
09/26/2006 21:04:51,12.4,,,1
09/26/2006 22:04:51,12.4,,,1
09/26/2006 23:04:51,12.4,,,1
09/27/2006 00:04:51,12.4,,,1
09/27/2006 01:04:51,12.4,,,1
09/27/2006 02:04:51,12.4,,,1
09/27/2006 03:04:51,12.4,,,1
09/27/2006 04:04:51,12.4,,,1
09/27/2006 05:04:51,12.4,,,1
09/27/2006 06:04:51,12.4,,,1
09/27/2006 07:04:51,12.4,,,1
09/27/2006 08:04:51,12.4,,,1
09/27/2006 09:04:51,12.4,,,1
09/27/2006 10:04:51,12.69,,,1
09/27/2006 11:04:51,12.69,,,1
09/27/2006 12:04:51,12.98,,,1
09/27/2006 13:04:51,12.98,,,1
09/27/2006 14:04:51,12.98,,,1
09/27/2006 15:04:51,12.98,,,1
09/27/2006 16:04:51,12.69,,,1
09/27/2006 17:04:51,12.69,,,1
09/27/2006 18:04:51,12.69,,,1
09/27/2006 19:04:51,12.69,,,1
09/27/2006 20:04:51,12.69,,,1
09/27/2006 21:04:51,12.69,,,1
09/27/2006 22:04:51,12.69,,,1
09/27/2006 23:04:51,12.69,,,1
09/28/2006 00:04:51,12.69,,,1
09/28/2006 01:04:51,12.69,,,1
09/28/2006 02:04:51,12.69,,,1
09/28/2006 03:04:51,12.69,,,1
09/28/2006 04:04:51,12.69,,,1
09/28/2006 05:04:51,12.69,,,1
09/28/2006 06:04:51,12.69,,,1
09/28/2006 07:04:51,12.69,,,1
09/28/2006 08:04:51,12.69,,,1
09/28/2006 09:04:51,12.98,,,1
09/28/2006 10:04:51,12.98,,,1
09/28/2006 11:04:51,12.98,,,1
09/28/2006 12:04:51,13.27,,,1
09/28/2006 13:04:51,13.27,,,1
09/28/2006 14:04:51,13.27,,,1
09/28/2006 15:04:51,13.27,,,1
09/28/2006 16:04:51,12.98,,,1
09/28/2006 17:04:51,12.98,,,1
09/28/2006 18:04:51,12.98,,,1
09/28/2006 19:04:51,12.98,,,1
09/28/2006 20:04:51,12.98,,,1
09/28/2006 21:04:51,12.98,,,1
09/28/2006 22:04:51,12.98,,,1
09/28/2006 23:04:51,12.98,,,1
09/29/2006 00:04:51,12.98,,,1
09/29/2006 01:04:51,12.98,,,1
09/29/2006 02:04:51,12.98,,,1
09/29/2006 03:04:51,12.98,,,1
09/29/2006 04:04:51,12.98,,,1
09/29/2006 05:04:51,12.98,,,1
09/29/2006 06:04:51,12.98,,,1
09/29/2006 07:04:51,12.98,,,1
09/29/2006 08:04:51,12.98,,,1
09/29/2006 09:04:51,12.98,,,1
09/29/2006 10:04:51,13.27,,,1
09/29/2006 11:04:51,13.27,,,1
09/29/2006 12:04:51,13.27,,,1
09/29/2006 13:04:51,13.27,,,1
09/29/2006 14:04:51,13.27,,,1
09/29/2006 15:04:51,13.27,,,1
09/29/2006 16:04:51,13.27,,,1
09/29/2006 17:04:51,13.27,,,1
09/29/2006 18:04:51,13.27,,,1
09/29/2006 19:04:51,12.98,,,1
09/29/2006 20:04:51,12.98,,,1
09/29/2006 21:04:51,13.27,,,1
09/29/2006 22:04:51,13.27,,,1
09/29/2006 23:04:51,13.27,,,1
