,Water Temp.middepth@OLYM_Gladys,Water Temp.middepth@OLYM_Gladys,Water Temp.middepth@OLYM_Gladys,Water Temp.middepth@OLYM_Gladys
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
09/22/2009 14:19:11,21.187,,,1
09/22/2009 14:19:38,,,,1
09/22/2009 15:19:11,20.234,,,1
09/22/2009 16:19:11,19.092,,,1
09/22/2009 17:19:11,18.711,,,1
09/22/2009 18:19:11,18.521,,,1
09/22/2009 19:19:11,19.853,,,1
09/22/2009 20:19:11,19.092,,,1
09/22/2009 21:19:11,17.379,,,1
09/22/2009 22:19:11,15.951,,,1
09/22/2009 23:19:11,14.996,,,1
09/23/2009 00:19:11,14.325,,,1
09/23/2009 01:19:11,13.846,,,1
09/23/2009 02:19:11,13.365,,,1
09/23/2009 03:19:11,12.98,,,1
09/23/2009 04:19:11,12.497,,,1
09/23/2009 05:19:11,12.207,,,1
09/23/2009 06:19:11,11.916,,,1
09/23/2009 07:19:11,11.528,,,1
09/23/2009 08:19:11,11.334,,,1
09/23/2009 09:19:11,11.819,,,1
09/23/2009 10:19:11,13.173,,,1
09/23/2009 11:19:11,15.76,,,1
09/23/2009 12:19:11,21.091,,,1
09/23/2009 13:19:11,22.525,,,1
09/23/2009 14:19:11,24.351,,,1
09/23/2009 15:19:11,27.961,,,1
09/23/2009 16:19:11,26.097,,,1
09/23/2009 17:19:11,20.901,,,1
09/23/2009 18:19:11,11.139,,,1
09/23/2009 19:19:11,11.139,,,1
09/23/2009 20:19:11,11.139,,,1
09/23/2009 21:19:11,11.139,,,1
09/23/2009 22:19:11,11.139,,,1
09/23/2009 23:19:11,11.236,,,1
09/24/2009 00:19:11,11.139,,,1
09/24/2009 01:19:11,11.139,,,1
09/24/2009 02:19:11,11.139,,,1
09/24/2009 03:19:11,11.139,,,1
09/24/2009 04:19:11,11.041,,,1
09/24/2009 05:19:11,10.944,,,1
09/24/2009 06:19:11,10.846,,,1
09/24/2009 07:19:11,10.944,,,1
09/24/2009 08:19:11,10.846,,,1
09/24/2009 09:19:11,10.846,,,1
09/24/2009 10:19:11,10.748,,,1
09/24/2009 11:19:11,10.748,,,1
09/24/2009 12:19:11,10.944,,,1
09/24/2009 13:19:11,10.944,,,1
09/24/2009 14:19:11,11.139,,,1
09/24/2009 15:19:11,11.139,,,1
09/24/2009 16:19:11,11.139,,,1
09/24/2009 17:19:11,11.139,,,1
09/24/2009 18:19:11,11.236,,,1
09/24/2009 19:19:11,11.236,,,1
09/24/2009 20:19:11,11.139,,,1
09/24/2009 21:19:11,11.139,,,1
09/24/2009 22:19:11,11.139,,,1
09/24/2009 23:19:11,11.236,,,1
09/25/2009 00:19:11,11.139,,,1
09/25/2009 01:19:11,11.139,,,1
09/25/2009 02:19:11,11.139,,,1
09/25/2009 03:19:11,11.041,,,1
09/25/2009 04:19:11,11.041,,,1
09/25/2009 05:19:11,10.944,,,1
09/25/2009 06:19:11,10.846,,,1
09/25/2009 07:19:11,10.748,,,1
09/25/2009 08:19:11,10.651,,,1
09/25/2009 09:19:11,10.651,,,1
09/25/2009 10:19:11,10.553,,,1
09/25/2009 11:19:11,10.455,,,1
09/25/2009 12:19:11,10.651,,,1
09/25/2009 13:19:11,10.748,,,1
09/25/2009 14:19:11,10.748,,,1
09/25/2009 15:19:11,10.944,,,1
09/25/2009 16:19:11,11.041,,,1
09/25/2009 17:19:11,10.944,,,1
09/25/2009 18:19:11,11.041,,,1
09/25/2009 19:19:11,10.944,,,1
09/25/2009 20:19:11,11.041,,,1
09/25/2009 21:19:11,11.041,,,1
09/25/2009 22:19:11,10.944,,,1
09/25/2009 23:19:11,10.944,,,1
09/26/2009 00:19:11,10.944,,,1
09/26/2009 01:19:11,10.944,,,1
09/26/2009 02:19:11,10.944,,,1
09/26/2009 03:19:11,10.846,,,1
09/26/2009 04:19:11,10.944,,,1
09/26/2009 05:19:11,10.846,,,1
09/26/2009 06:19:11,10.846,,,1
09/26/2009 07:19:11,10.748,,,1
09/26/2009 08:19:11,10.553,,,1
09/26/2009 09:19:11,10.455,,,1
09/26/2009 10:19:11,10.259,,,1
09/26/2009 11:19:11,10.161,,,1
09/26/2009 12:19:11,10.357,,,1
09/26/2009 13:19:11,10.357,,,1
09/26/2009 14:19:11,10.455,,,1
09/26/2009 15:19:11,10.553,,,1
09/26/2009 16:19:11,10.553,,,1
09/26/2009 17:19:11,10.651,,,1
09/26/2009 18:19:11,10.651,,,1
09/26/2009 19:19:11,10.651,,,1
09/26/2009 20:19:11,10.748,,,1
09/26/2009 21:19:11,10.553,,,1
09/26/2009 22:19:11,10.553,,,1
09/26/2009 23:19:11,10.455,,,1
09/27/2009 00:19:11,10.357,,,1
09/27/2009 01:19:11,10.259,,,1
09/27/2009 02:19:11,10.063,,,1
09/27/2009 03:19:11,9.965,,,1
09/27/2009 04:19:11,9.866,,,1
09/27/2009 05:19:11,9.768,,,1
09/27/2009 06:19:11,9.669,,,1
09/27/2009 07:19:11,9.571,,,1
09/27/2009 08:19:11,9.571,,,1
09/27/2009 09:19:11,9.472,,,1
09/27/2009 10:19:11,9.373,,,1
09/27/2009 11:19:11,9.275,,,1
09/27/2009 12:19:11,9.373,,,1
09/27/2009 13:19:11,9.472,,,1
09/27/2009 14:19:11,9.571,,,1
09/27/2009 15:19:11,9.669,,,1
09/27/2009 16:19:11,9.768,,,1
09/27/2009 17:19:11,9.768,,,1
09/27/2009 18:19:11,9.768,,,1
09/27/2009 19:19:11,9.768,,,1
09/27/2009 20:19:11,9.768,,,1
09/27/2009 21:19:11,9.768,,,1
09/27/2009 22:19:11,9.768,,,1
09/27/2009 23:19:11,9.768,,,1
09/28/2009 00:19:11,9.768,,,1
09/28/2009 01:19:11,9.669,,,1
09/28/2009 02:19:11,9.768,,,1
09/28/2009 03:19:11,9.669,,,1
09/28/2009 04:19:11,9.571,,,1
09/28/2009 05:19:11,9.472,,,1
09/28/2009 06:19:11,9.373,,,1
09/28/2009 07:19:11,9.275,,,1
09/28/2009 08:19:11,9.176,,,1
09/28/2009 09:19:11,8.978,,,1
09/28/2009 10:19:11,8.978,,,1
09/28/2009 11:19:11,8.879,,,1
09/28/2009 12:19:11,8.879,,,1
09/28/2009 13:19:11,8.879,,,1
09/28/2009 14:19:11,8.879,,,1
09/28/2009 15:19:11,8.879,,,1
09/28/2009 16:19:11,8.879,,,1
09/28/2009 17:19:11,8.879,,,1
09/28/2009 18:19:11,8.779,,,1
09/28/2009 19:19:11,8.68,,,1
09/28/2009 20:19:11,8.581,,,1
09/28/2009 21:19:11,8.382,,,1
09/28/2009 22:19:11,8.382,,,1
09/28/2009 23:19:11,8.282,,,1
09/29/2009 00:19:11,8.182,,,1
09/29/2009 01:19:11,7.983,,,1
09/29/2009 02:19:11,7.983,,,1
09/29/2009 03:19:11,7.782,,,1
09/29/2009 04:19:11,7.682,,,1
09/29/2009 05:19:11,7.582,,,1
09/29/2009 06:19:11,7.481,,,1
09/29/2009 07:19:11,7.28,,,1
09/29/2009 08:19:11,7.179,,,1
09/29/2009 09:19:11,7.179,,,1
09/29/2009 10:19:11,7.079,,,1
09/29/2009 11:19:11,7.079,,,1
09/29/2009 12:19:11,7.179,,,1
09/29/2009 13:19:11,7.179,,,1
09/29/2009 14:19:11,7.179,,,1
09/29/2009 15:19:11,7.179,,,1
09/29/2009 16:19:11,7.179,,,1
09/29/2009 17:19:11,7.179,,,1
09/29/2009 18:19:11,7.179,,,1
09/29/2009 19:19:11,7.079,,,1
09/29/2009 20:19:11,6.978,,,1
09/29/2009 21:19:11,6.877,,,1
09/29/2009 22:19:11,6.877,,,1
09/29/2009 23:19:11,6.775,,,1
09/30/2009 00:19:11,6.775,,,1
09/30/2009 01:19:11,6.573,,,1
09/30/2009 02:19:11,6.573,,,1
09/30/2009 03:19:11,6.471,,,1
09/30/2009 04:19:11,6.37,,,1
09/30/2009 05:19:11,6.268,,,1
09/30/2009 06:19:11,6.166,,,1
09/30/2009 07:19:11,6.064,,,1
09/30/2009 08:19:11,6.064,,,1
09/30/2009 09:19:11,5.962,,,1
09/30/2009 10:19:11,5.962,,,1
09/30/2009 11:19:11,5.86,,,1
09/30/2009 12:19:11,5.86,,,1
09/30/2009 13:19:11,5.962,,,1
09/30/2009 14:19:11,6.064,,,1
09/30/2009 15:19:11,6.268,,,1
09/30/2009 16:19:11,6.166,,,1
09/30/2009 17:19:11,6.166,,,1
09/30/2009 18:19:11,6.166,,,1
09/30/2009 19:19:11,6.166,,,1
09/30/2009 20:19:11,6.166,,,1
09/30/2009 21:19:11,6.064,,,1
09/30/2009 22:19:11,6.064,,,1
09/30/2009 23:19:11,6.064,,,1
10/01/2009 00:19:11,6.064,,,1
10/01/2009 01:19:11,6.064,,,1
10/01/2009 02:19:11,5.962,,,1
10/01/2009 03:19:11,5.962,,,1
10/01/2009 04:19:11,5.962,,,1
10/01/2009 05:19:11,5.86,,,1
10/01/2009 06:19:11,5.86,,,1
10/01/2009 07:19:11,5.86,,,1
10/01/2009 08:19:11,5.86,,,1
10/01/2009 09:19:11,5.757,,,1
10/01/2009 10:19:11,5.86,,,1
10/01/2009 11:19:11,5.86,,,1
10/01/2009 12:19:11,5.86,,,1
10/01/2009 13:19:11,5.962,,,1
10/01/2009 14:19:11,5.962,,,1
10/01/2009 15:19:11,6.064,,,1
10/01/2009 16:19:11,6.064,,,1
10/01/2009 17:19:11,6.064,,,1
10/01/2009 18:19:11,6.064,,,1
10/01/2009 19:19:11,6.064,,,1
10/01/2009 20:19:11,5.962,,,1
10/01/2009 21:19:11,5.962,,,1
10/01/2009 22:19:11,5.962,,,1
10/01/2009 23:19:11,5.86,,,1
10/02/2009 00:19:11,5.86,,,1
10/02/2009 01:19:11,5.86,,,1
10/02/2009 02:19:11,5.86,,,1
10/02/2009 03:19:11,5.757,,,1
10/02/2009 04:19:11,5.757,,,1
10/02/2009 05:19:11,5.655,,,1
10/02/2009 06:19:11,5.655,,,1
10/02/2009 07:19:11,5.552,,,1
10/02/2009 08:19:11,5.552,,,1
10/02/2009 09:19:11,5.45,,,1
10/02/2009 10:19:11,5.45,,,1
10/02/2009 11:19:11,5.45,,,1
10/02/2009 12:19:11,5.552,,,1
10/02/2009 13:19:11,5.552,,,1
10/02/2009 14:19:11,5.757,,,1
10/02/2009 15:19:11,5.757,,,1
10/02/2009 16:19:11,5.962,,,1
10/02/2009 17:19:11,5.86,,,1
10/02/2009 18:19:11,5.86,,,1
10/02/2009 19:19:11,5.962,,,1
10/02/2009 20:19:11,5.962,,,1
10/02/2009 21:19:11,5.757,,,1
10/02/2009 22:19:11,5.86,,,1
10/02/2009 23:19:11,5.757,,,1
10/03/2009 00:19:11,5.757,,,1
10/03/2009 01:19:11,5.655,,,1
10/03/2009 02:19:11,5.552,,,1
10/03/2009 03:19:11,5.552,,,1
10/03/2009 04:19:11,5.552,,,1
10/03/2009 05:19:11,5.45,,,1
10/03/2009 06:19:11,5.347,,,1
10/03/2009 07:19:11,5.347,,,1
10/03/2009 08:19:11,5.347,,,1
10/03/2009 09:19:11,5.244,,,1
10/03/2009 10:19:11,5.244,,,1
10/03/2009 11:19:11,5.244,,,1
10/03/2009 12:19:11,5.244,,,1
10/03/2009 13:19:11,5.347,,,1
10/03/2009 14:19:11,5.347,,,1
10/03/2009 15:19:11,5.347,,,1
10/03/2009 16:19:11,5.45,,,1
10/03/2009 17:19:11,5.347,,,1
10/03/2009 18:19:11,5.347,,,1
10/03/2009 19:19:11,5.347,,,1
10/03/2009 20:19:11,5.244,,,1
10/03/2009 21:19:11,5.244,,,1
10/03/2009 22:19:11,5.141,,,1
10/03/2009 23:19:11,5.141,,,1
10/04/2009 00:19:11,5.037,,,1
10/04/2009 01:19:11,5.037,,,1
10/04/2009 02:19:11,4.934,,,1
10/04/2009 03:19:11,4.934,,,1
10/04/2009 04:19:11,4.831,,,1
10/04/2009 05:19:11,4.831,,,1
10/04/2009 06:19:11,4.831,,,1
10/04/2009 07:19:11,4.727,,,1
10/04/2009 08:19:11,4.727,,,1
10/04/2009 09:19:11,4.727,,,1
10/04/2009 10:19:11,4.727,,,1
10/04/2009 11:19:11,4.623,,,1
10/04/2009 12:19:11,4.727,,,1
10/04/2009 13:19:11,4.831,,,1
10/04/2009 14:19:11,4.934,,,1
10/04/2009 15:19:11,5.037,,,1
10/04/2009 16:19:11,5.037,,,1
10/04/2009 17:19:11,5.037,,,1
10/04/2009 18:19:11,4.934,,,1
10/04/2009 19:19:11,5.037,,,1
10/04/2009 20:19:11,5.037,,,1
10/04/2009 21:19:11,5.037,,,1
10/04/2009 22:19:11,5.037,,,1
10/04/2009 23:19:11,5.037,,,1
10/05/2009 00:19:11,5.037,,,1
10/05/2009 01:19:11,4.934,,,1
10/05/2009 02:19:11,4.934,,,1
10/05/2009 03:19:11,4.831,,,1
10/05/2009 04:19:11,4.831,,,1
10/05/2009 05:19:11,4.727,,,1
10/05/2009 06:19:11,4.727,,,1
10/05/2009 07:19:11,4.727,,,1
10/05/2009 08:19:11,4.623,,,1
10/05/2009 09:19:11,4.623,,,1
10/05/2009 10:19:11,4.519,,,1
10/05/2009 11:19:11,4.519,,,1
10/05/2009 12:19:11,4.727,,,1
10/05/2009 13:19:11,4.623,,,1
10/05/2009 14:19:11,4.831,,,1
10/05/2009 15:19:11,4.934,,,1
10/05/2009 16:19:11,4.934,,,1
10/05/2009 17:19:11,4.934,,,1
10/05/2009 18:19:11,4.934,,,1
10/05/2009 19:19:11,5.037,,,1
10/05/2009 20:19:11,4.934,,,1
10/05/2009 21:19:11,4.934,,,1
10/05/2009 22:19:11,4.934,,,1
10/05/2009 23:19:11,4.934,,,1
10/06/2009 00:19:11,4.934,,,1
10/06/2009 01:19:11,4.934,,,1
10/06/2009 02:19:11,4.831,,,1
10/06/2009 03:19:11,4.831,,,1
10/06/2009 04:19:11,4.831,,,1
10/06/2009 05:19:11,4.727,,,1
10/06/2009 06:19:11,4.727,,,1
10/06/2009 07:19:11,4.727,,,1
10/06/2009 08:19:11,4.623,,,1
10/06/2009 09:19:11,4.519,,,1
10/06/2009 10:19:11,4.519,,,1
