,Temperature.mid depth@MORA_LH14,Temperature.mid depth@MORA_LH14,Temperature.mid depth@MORA_LH14,Temperature.mid depth@MORA_LH14
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
08/13/2009 12:00:00,14.194,,2,1
08/13/2009 12:30:00,14.098,,2,1
08/13/2009 13:00:00,14.194,,2,1
08/13/2009 13:30:00,14.026,,2,1
08/13/2009 14:00:00,14.146,,2,1
08/13/2009 14:30:00,14.05,,2,1
08/13/2009 15:00:00,14.05,,2,1
08/13/2009 15:30:00,14.074,,2,1
08/13/2009 16:00:00,14.098,,2,1
08/13/2009 16:30:00,14.05,,2,1
08/13/2009 17:00:00,14.026,,2,1
08/13/2009 17:30:00,14.026,,2,1
08/13/2009 18:00:00,14.05,,2,1
08/13/2009 18:30:00,13.978,,2,1
08/13/2009 19:00:00,13.978,,2,1
08/13/2009 19:30:00,13.954,,2,1
08/13/2009 20:00:00,13.906,,2,1
08/13/2009 20:30:00,13.858,,2,1
08/13/2009 21:00:00,13.858,,2,1
08/13/2009 21:30:00,13.834,,2,1
08/13/2009 22:00:00,13.81,,2,1
08/13/2009 22:30:00,13.81,,2,1
08/13/2009 23:00:00,13.786,,2,1
08/13/2009 23:30:00,13.786,,2,1
08/14/2009 00:00:00,13.738,,2,1
08/14/2009 00:30:00,13.69,,2,1
08/14/2009 01:00:00,13.666,,2,1
08/14/2009 01:30:00,13.594,,2,1
08/14/2009 02:00:00,13.57,,2,1
08/14/2009 02:30:00,13.546,,2,1
08/14/2009 03:00:00,13.57,,2,1
08/14/2009 03:30:00,13.522,,2,1
08/14/2009 04:00:00,13.522,,2,1
08/14/2009 04:30:00,13.497,,2,1
08/14/2009 05:00:00,13.497,,2,1
08/14/2009 05:30:00,13.425,,2,1
08/14/2009 06:00:00,13.449,,2,1
08/14/2009 06:30:00,13.425,,2,1
08/14/2009 07:00:00,13.401,,2,1
08/14/2009 07:30:00,13.401,,2,1
08/14/2009 08:00:00,13.401,,2,1
08/14/2009 08:30:00,13.401,,2,1
08/14/2009 09:00:00,13.353,,2,1
08/14/2009 09:30:00,13.57,,2,1
08/14/2009 10:00:00,13.497,,2,1
08/14/2009 10:30:00,13.594,,2,1
08/14/2009 11:00:00,13.546,,2,1
08/14/2009 11:30:00,13.449,,2,1
08/14/2009 12:00:00,13.425,,2,1
08/14/2009 12:30:00,13.522,,2,1
08/14/2009 13:00:00,13.449,,2,1
08/14/2009 13:30:00,13.473,,2,1
08/14/2009 14:00:00,13.497,,2,1
08/14/2009 14:30:00,13.377,,2,1
08/14/2009 15:00:00,13.473,,2,1
08/14/2009 15:30:00,13.497,,2,1
08/14/2009 16:00:00,13.449,,2,1
08/14/2009 16:30:00,13.401,,2,1
08/14/2009 17:00:00,13.377,,2,1
08/14/2009 17:30:00,13.353,,2,1
08/14/2009 18:00:00,13.377,,2,1
08/14/2009 18:30:00,13.353,,2,1
08/14/2009 19:00:00,13.305,,2,1
08/14/2009 19:30:00,13.305,,2,1
08/14/2009 20:00:00,13.257,,2,1
08/14/2009 20:30:00,13.257,,2,1
08/14/2009 21:00:00,13.233,,2,1
08/14/2009 21:30:00,13.209,,2,1
08/14/2009 22:00:00,13.209,,2,1
08/14/2009 22:30:00,13.185,,2,1
08/14/2009 23:00:00,13.161,,2,1
08/14/2009 23:30:00,13.161,,2,1
08/15/2009 00:00:00,13.088,,2,1
08/15/2009 00:30:00,13.088,,2,1
08/15/2009 01:00:00,13.064,,2,1
08/15/2009 01:30:00,13.064,,2,1
08/15/2009 02:00:00,13.064,,2,1
08/15/2009 02:30:00,13.04,,2,1
08/15/2009 03:00:00,13.016,,2,1
08/15/2009 03:30:00,12.992,,2,1
08/15/2009 04:00:00,12.992,,2,1
08/15/2009 04:30:00,12.992,,2,1
08/15/2009 05:00:00,12.968,,2,1
08/15/2009 05:30:00,12.968,,2,1
08/15/2009 06:00:00,12.944,,2,1
08/15/2009 06:30:00,12.92,,2,1
08/15/2009 07:00:00,12.896,,2,1
08/15/2009 07:30:00,12.92,,2,1
08/15/2009 08:00:00,12.992,,2,1
08/15/2009 08:30:00,13.04,,2,1
08/15/2009 09:00:00,13.137,,2,1
08/15/2009 09:30:00,13.064,,2,1
08/15/2009 10:00:00,13.137,,2,1
08/15/2009 10:30:00,13.281,,2,1
08/15/2009 11:00:00,13.377,,2,1
08/15/2009 11:30:00,13.353,,2,1
08/15/2009 12:00:00,13.425,,2,1
08/15/2009 12:30:00,13.425,,2,1
08/15/2009 13:00:00,13.449,,2,1
08/15/2009 13:30:00,13.425,,2,1
08/15/2009 14:00:00,13.449,,2,1
08/15/2009 14:30:00,13.185,,2,1
08/15/2009 15:00:00,13.161,,2,1
08/15/2009 15:30:00,13.088,,2,1
08/15/2009 16:00:00,13.112,,2,1
08/15/2009 16:30:00,13.088,,2,1
08/15/2009 17:00:00,13.04,,2,1
08/15/2009 17:30:00,13.04,,2,1
08/15/2009 18:00:00,13.016,,2,1
08/15/2009 18:30:00,13.016,,2,1
08/15/2009 19:00:00,12.992,,2,1
08/15/2009 19:30:00,12.968,,2,1
08/15/2009 20:00:00,12.992,,2,1
08/15/2009 20:30:00,12.992,,2,1
08/15/2009 21:00:00,13.016,,2,1
08/15/2009 21:30:00,13.016,,2,1
08/15/2009 22:00:00,12.992,,2,1
08/15/2009 22:30:00,12.992,,2,1
08/15/2009 23:00:00,12.968,,2,1
08/15/2009 23:30:00,12.992,,2,1
08/16/2009 00:00:00,12.992,,2,1
08/16/2009 00:30:00,12.968,,2,1
08/16/2009 01:00:00,12.944,,2,1
08/16/2009 01:30:00,12.944,,2,1
08/16/2009 02:00:00,12.944,,2,1
08/16/2009 02:30:00,12.92,,2,1
08/16/2009 03:00:00,12.896,,2,1
08/16/2009 03:30:00,12.92,,2,1
08/16/2009 04:00:00,12.871,,2,1
08/16/2009 04:30:00,12.847,,2,1
08/16/2009 05:00:00,12.823,,2,1
08/16/2009 05:30:00,12.823,,2,1
08/16/2009 06:00:00,12.823,,2,1
08/16/2009 06:30:00,12.823,,2,1
08/16/2009 07:00:00,12.823,,2,1
08/16/2009 07:30:00,12.823,,2,1
08/16/2009 08:00:00,12.896,,2,1
08/16/2009 08:30:00,12.992,,2,1
08/16/2009 09:00:00,13.04,,2,1
08/16/2009 09:30:00,13.016,,2,1
08/16/2009 10:00:00,13.088,,2,1
08/16/2009 10:30:00,13.209,,2,1
08/16/2009 11:00:00,13.305,,2,1
08/16/2009 11:30:00,13.329,,2,1
08/16/2009 12:00:00,13.353,,2,1
08/16/2009 12:30:00,13.281,,2,1
08/16/2009 13:00:00,13.088,,2,1
08/16/2009 13:30:00,13.353,,2,1
08/16/2009 14:00:00,13.425,,2,1
08/16/2009 14:30:00,13.473,,2,1
08/16/2009 15:00:00,13.016,,2,1
08/16/2009 15:30:00,13.088,,2,1
08/16/2009 16:00:00,13.161,,2,1
08/16/2009 16:30:00,13.016,,2,1
08/16/2009 17:00:00,13.016,,2,1
08/16/2009 17:30:00,12.992,,2,1
08/16/2009 18:00:00,12.968,,2,1
08/16/2009 18:30:00,12.968,,2,1
08/16/2009 19:00:00,12.968,,2,1
08/16/2009 19:30:00,12.944,,2,1
08/16/2009 20:00:00,12.944,,2,1
08/16/2009 20:30:00,12.944,,2,1
08/16/2009 21:00:00,12.92,,2,1
08/16/2009 21:30:00,12.92,,2,1
08/16/2009 22:00:00,12.92,,2,1
08/16/2009 22:30:00,12.944,,2,1
08/16/2009 23:00:00,12.92,,2,1
08/16/2009 23:30:00,12.944,,2,1
08/17/2009 00:00:00,12.944,,2,1
08/17/2009 00:30:00,12.944,,2,1
08/17/2009 01:00:00,12.92,,2,1
08/17/2009 01:30:00,12.92,,2,1
08/17/2009 02:00:00,12.92,,2,1
08/17/2009 02:30:00,12.92,,2,1
08/17/2009 03:00:00,12.92,,2,1
08/17/2009 03:30:00,12.92,,2,1
08/17/2009 04:00:00,12.92,,2,1
08/17/2009 04:30:00,12.92,,2,1
08/17/2009 05:00:00,12.92,,2,1
08/17/2009 05:30:00,12.92,,2,1
08/17/2009 06:00:00,12.92,,2,1
08/17/2009 06:30:00,12.92,,2,1
08/17/2009 07:00:00,12.92,,2,1
08/17/2009 07:30:00,12.944,,2,1
08/17/2009 08:00:00,12.944,,2,1
08/17/2009 08:30:00,13.112,,2,1
08/17/2009 09:00:00,13.185,,2,1
08/17/2009 09:30:00,13.209,,2,1
08/17/2009 10:00:00,13.161,,2,1
08/17/2009 10:30:00,13.281,,2,1
08/17/2009 11:00:00,13.353,,2,1
08/17/2009 11:30:00,13.377,,2,1
08/17/2009 12:00:00,13.401,,2,1
08/17/2009 12:30:00,13.473,,2,1
08/17/2009 13:00:00,13.497,,2,1
08/17/2009 13:30:00,13.425,,2,1
08/17/2009 14:00:00,13.57,,2,1
08/17/2009 14:30:00,13.546,,2,1
08/17/2009 15:00:00,13.618,,2,1
08/17/2009 15:30:00,13.666,,2,1
08/17/2009 16:00:00,13.305,,2,1
08/17/2009 16:30:00,13.497,,2,1
08/17/2009 17:00:00,13.257,,2,1
08/17/2009 17:30:00,13.233,,2,1
08/17/2009 18:00:00,13.161,,2,1
08/17/2009 18:30:00,13.161,,2,1
08/17/2009 19:00:00,13.161,,2,1
08/17/2009 19:30:00,13.112,,2,1
08/17/2009 20:00:00,13.137,,2,1
08/17/2009 20:30:00,13.112,,2,1
08/17/2009 21:00:00,13.112,,2,1
08/17/2009 21:30:00,13.112,,2,1
08/17/2009 22:00:00,13.112,,2,1
08/17/2009 22:30:00,13.088,,2,1
08/17/2009 23:00:00,13.112,,2,1
08/17/2009 23:30:00,13.112,,2,1
08/18/2009 00:00:00,13.112,,2,1
08/18/2009 00:30:00,13.088,,2,1
08/18/2009 01:00:00,13.088,,2,1
08/18/2009 01:30:00,13.112,,2,1
08/18/2009 02:00:00,13.112,,2,1
08/18/2009 02:30:00,13.112,,2,1
08/18/2009 03:00:00,13.137,,2,1
08/18/2009 03:30:00,13.088,,2,1
08/18/2009 04:00:00,13.112,,2,1
08/18/2009 04:30:00,13.112,,2,1
08/18/2009 05:00:00,13.112,,2,1
08/18/2009 05:30:00,13.112,,2,1
08/18/2009 06:00:00,13.112,,2,1
08/18/2009 06:30:00,13.112,,2,1
08/18/2009 07:00:00,13.137,,2,1
08/18/2009 07:30:00,13.161,,2,1
08/18/2009 08:00:00,13.233,,2,1
08/18/2009 08:30:00,13.329,,2,1
08/18/2009 09:00:00,13.353,,2,1
08/18/2009 09:30:00,13.449,,2,1
08/18/2009 10:00:00,13.497,,2,1
08/18/2009 10:30:00,13.618,,2,1
08/18/2009 11:00:00,13.618,,2,1
08/18/2009 11:30:00,13.642,,2,1
08/18/2009 12:00:00,13.642,,2,1
08/18/2009 12:30:00,13.642,,2,1
08/18/2009 13:00:00,13.642,,2,1
08/18/2009 13:30:00,13.69,,2,1
08/18/2009 14:00:00,13.738,,2,1
08/18/2009 14:30:00,13.81,,2,1
08/18/2009 15:00:00,13.738,,2,1
08/18/2009 15:30:00,13.69,,2,1
08/18/2009 16:00:00,13.69,,2,1
08/18/2009 16:30:00,13.666,,2,1
08/18/2009 17:00:00,13.401,,2,1
08/18/2009 17:30:00,13.377,,2,1
08/18/2009 18:00:00,13.377,,2,1
08/18/2009 18:30:00,13.377,,2,1
08/18/2009 19:00:00,13.353,,2,1
08/18/2009 19:30:00,13.377,,2,1
08/18/2009 20:00:00,13.353,,2,1
08/18/2009 20:30:00,13.353,,2,1
08/18/2009 21:00:00,13.329,,2,1
08/18/2009 21:30:00,13.329,,2,1
08/18/2009 22:00:00,13.329,,2,1
08/18/2009 22:30:00,13.329,,2,1
08/18/2009 23:00:00,13.353,,2,1
08/18/2009 23:30:00,13.329,,2,1
08/19/2009 00:00:00,13.353,,2,1
08/19/2009 00:30:00,13.353,,2,1
08/19/2009 01:00:00,13.353,,2,1
08/19/2009 01:30:00,13.329,,2,1
08/19/2009 02:00:00,13.329,,2,1
08/19/2009 02:30:00,13.353,,2,1
08/19/2009 03:00:00,13.329,,2,1
08/19/2009 03:30:00,13.353,,2,1
08/19/2009 04:00:00,13.353,,2,1
08/19/2009 04:30:00,13.353,,2,1
08/19/2009 05:00:00,13.353,,2,1
08/19/2009 05:30:00,13.353,,2,1
08/19/2009 06:00:00,13.353,,2,1
08/19/2009 06:30:00,13.353,,2,1
08/19/2009 07:00:00,13.353,,2,1
08/19/2009 07:30:00,13.377,,2,1
08/19/2009 08:00:00,13.425,,2,1
08/19/2009 08:30:00,13.57,,2,1
08/19/2009 09:00:00,13.666,,2,1
08/19/2009 09:30:00,13.69,,2,1
08/19/2009 10:00:00,13.714,,2,1
08/19/2009 10:30:00,13.786,,2,1
08/19/2009 11:00:00,13.834,,2,1
08/19/2009 11:30:00,13.93,,2,1
08/19/2009 12:00:00,13.978,,2,1
08/19/2009 12:30:00,14.026,,2,1
08/19/2009 13:00:00,13.954,,2,1
08/19/2009 13:30:00,14.002,,2,1
08/19/2009 14:00:00,13.978,,2,1
08/19/2009 14:30:00,13.882,,2,1
08/19/2009 15:00:00,14.026,,2,1
08/19/2009 15:30:00,13.906,,2,1
08/19/2009 16:00:00,13.978,,2,1
08/19/2009 16:30:00,13.882,,2,1
08/19/2009 17:00:00,13.618,,2,1
08/19/2009 17:30:00,13.69,,2,1
08/19/2009 18:00:00,13.594,,2,1
08/19/2009 18:30:00,13.642,,2,1
08/19/2009 19:00:00,13.618,,2,1
08/19/2009 19:30:00,13.618,,2,1
08/19/2009 20:00:00,13.618,,2,1
08/19/2009 20:30:00,13.594,,2,1
08/19/2009 21:00:00,13.546,,2,1
08/19/2009 21:30:00,13.594,,2,1
08/19/2009 22:00:00,13.618,,2,1
08/19/2009 22:30:00,13.618,,2,1
08/19/2009 23:00:00,13.594,,2,1
08/19/2009 23:30:00,13.57,,2,1
08/20/2009 00:00:00,13.594,,2,1
08/20/2009 00:30:00,13.618,,2,1
08/20/2009 01:00:00,13.618,,2,1
08/20/2009 01:30:00,13.57,,2,1
08/20/2009 02:00:00,13.57,,2,1
08/20/2009 02:30:00,13.594,,2,1
08/20/2009 03:00:00,13.594,,2,1
