,Water Temp.surface@OLYM_627,Water Temp.surface@OLYM_627,Water Temp.surface@OLYM_627,Water Temp.surface@OLYM_627
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
09/19/2006 12:03:00,12.94,,,1
09/19/2006 13:03:00,13.25,,,1
09/19/2006 14:03:00,13.09,,,1
09/19/2006 15:03:00,13.09,,,1
09/19/2006 16:03:00,13.09,,,1
09/19/2006 17:03:00,12.94,,,1
09/19/2006 18:03:00,12.94,,,1
09/19/2006 19:03:00,12.78,,,1
09/19/2006 20:03:00,12.78,,,1
09/19/2006 21:03:00,12.78,,,1
09/19/2006 22:03:00,12.63,,,1
09/19/2006 23:03:00,12.63,,,1
09/20/2006 00:03:00,12.63,,,1
09/20/2006 01:03:00,12.47,,,1
09/20/2006 02:03:00,12.47,,,1
09/20/2006 03:03:00,12.47,,,1
09/20/2006 04:03:00,12.47,,,1
09/20/2006 05:03:00,12.47,,,1
09/20/2006 06:03:00,12.31,,,1
09/20/2006 07:03:00,12.31,,,1
09/20/2006 08:03:00,12.31,,,1
09/20/2006 09:03:00,12.31,,,1
09/20/2006 10:03:00,12.31,,,1
09/20/2006 11:03:00,12.31,,,1
09/20/2006 12:03:00,12.31,,,1
09/20/2006 13:03:00,12.31,,,1
09/20/2006 14:03:00,12.31,,,1
09/20/2006 15:03:00,12.31,,,1
09/20/2006 16:03:00,12.16,,,1
09/20/2006 17:03:00,12.16,,,1
09/20/2006 18:03:00,12.16,,,1
09/20/2006 19:03:00,12.16,,,1
09/20/2006 20:03:00,12.16,,,1
09/20/2006 21:03:00,12,,,1
09/20/2006 22:03:00,12,,,1
09/20/2006 23:03:00,12,,,1
09/21/2006 00:03:00,12,,,1
09/21/2006 01:03:00,12,,,1
09/21/2006 02:03:00,11.84,,,1
09/21/2006 03:03:00,11.84,,,1
09/21/2006 04:03:00,11.84,,,1
09/21/2006 05:03:00,11.84,,,1
09/21/2006 06:03:00,11.69,,,1
09/21/2006 07:03:00,11.69,,,1
09/21/2006 08:03:00,11.69,,,1
09/21/2006 09:03:00,11.69,,,1
09/21/2006 10:03:00,11.84,,,1
09/21/2006 11:03:00,12,,,1
09/21/2006 12:03:00,11.84,,,1
09/21/2006 13:03:00,12,,,1
09/21/2006 14:03:00,11.84,,,1
09/21/2006 15:03:00,11.84,,,1
09/21/2006 16:03:00,11.84,,,1
09/21/2006 17:03:00,11.69,,,1
09/21/2006 18:03:00,11.69,,,1
09/21/2006 19:03:00,11.69,,,1
09/21/2006 20:03:00,11.53,,,1
09/21/2006 21:03:00,11.53,,,1
09/21/2006 22:03:00,11.53,,,1
09/21/2006 23:03:00,11.53,,,1
09/22/2006 00:03:00,11.53,,,1
09/22/2006 01:03:00,11.38,,,1
09/22/2006 02:03:00,11.38,,,1
09/22/2006 03:03:00,11.38,,,1
09/22/2006 04:03:00,11.38,,,1
09/22/2006 05:03:00,11.22,,,1
09/22/2006 06:03:00,11.22,,,1
09/22/2006 07:03:00,11.22,,,1
09/22/2006 08:03:00,11.22,,,1
09/22/2006 09:03:00,11.53,,,1
09/22/2006 10:03:00,11.22,,,1
09/22/2006 11:03:00,11.38,,,1
09/22/2006 12:03:00,11.38,,,1
09/22/2006 13:03:00,11.84,,,1
09/22/2006 14:03:00,12.16,,,1
09/22/2006 15:03:00,12.47,,,1
09/22/2006 16:03:00,13.09,,,1
09/22/2006 17:03:00,12.31,,,1
09/22/2006 18:03:00,12.31,,,1
09/22/2006 19:03:00,12.16,,,1
09/22/2006 20:03:00,12.16,,,1
09/22/2006 21:03:00,11.84,,,1
09/22/2006 22:03:00,11.53,,,1
09/22/2006 23:03:00,11.69,,,1
09/23/2006 00:03:00,11.53,,,1
09/23/2006 01:03:00,11.53,,,1
09/23/2006 02:03:00,11.38,,,1
09/23/2006 03:03:00,11.38,,,1
09/23/2006 04:03:00,11.38,,,1
09/23/2006 05:03:00,11.38,,,1
09/23/2006 06:03:00,11.38,,,1
09/23/2006 07:03:00,11.22,,,1
09/23/2006 08:03:00,11.38,,,1
09/23/2006 09:03:00,11.84,,,1
09/23/2006 10:03:00,12.31,,,1
09/23/2006 11:03:00,11.69,,,1
09/23/2006 12:03:00,11.84,,,1
09/23/2006 13:03:00,12.47,,,1
09/23/2006 14:03:00,13.41,,,1
09/23/2006 15:03:00,14.34,,,1
09/23/2006 16:03:00,14.66,,,1
09/23/2006 17:03:00,13.09,,,1
09/23/2006 18:03:00,13.41,,,1
09/23/2006 19:03:00,13.41,,,1
09/23/2006 20:03:00,12.63,,,1
09/23/2006 21:03:00,12.47,,,1
09/23/2006 22:03:00,12.31,,,1
09/23/2006 23:03:00,12.16,,,1
09/24/2006 00:03:00,12.16,,,1
09/24/2006 01:03:00,12,,,1
09/24/2006 02:03:00,11.84,,,1
09/24/2006 03:03:00,11.84,,,1
09/24/2006 04:03:00,11.69,,,1
09/24/2006 05:03:00,11.69,,,1
09/24/2006 06:03:00,11.69,,,1
09/24/2006 07:03:00,11.53,,,1
09/24/2006 08:03:00,11.69,,,1
09/24/2006 09:03:00,12.16,,,1
09/24/2006 10:03:00,11.84,,,1
09/24/2006 11:03:00,12.63,,,1
09/24/2006 12:03:00,13.72,,,1
09/24/2006 13:03:00,13.87,,,1
09/24/2006 14:03:00,14.66,,,1
09/24/2006 15:03:00,14.82,,,1
09/24/2006 16:03:00,14.82,,,1
09/24/2006 17:03:00,13.72,,,1
09/24/2006 18:03:00,14.5,,,1
09/24/2006 19:03:00,13.56,,,1
09/24/2006 20:03:00,13.56,,,1
09/24/2006 21:03:00,13.41,,,1
09/24/2006 22:03:00,13.09,,,1
09/24/2006 23:03:00,12.78,,,1
09/25/2006 00:03:00,12.63,,,1
09/25/2006 01:03:00,12.47,,,1
09/25/2006 02:03:00,12.31,,,1
09/25/2006 03:03:00,12.31,,,1
09/25/2006 04:03:00,12.16,,,1
09/25/2006 05:03:00,12.16,,,1
09/25/2006 06:03:00,12,,,1
09/25/2006 07:03:00,12,,,1
09/25/2006 08:03:00,12,,,1
09/25/2006 09:03:00,12.31,,,1
09/25/2006 10:03:00,12.16,,,1
09/25/2006 11:03:00,12.31,,,1
09/25/2006 12:03:00,12.63,,,1
09/25/2006 13:03:00,13.72,,,1
09/25/2006 14:03:00,14.34,,,1
09/25/2006 15:03:00,14.66,,,1
09/25/2006 16:03:00,14.5,,,1
09/25/2006 17:03:00,13.72,,,1
09/25/2006 18:03:00,14.03,,,1
09/25/2006 19:03:00,14.03,,,1
09/25/2006 20:03:00,13.25,,,1
09/25/2006 21:03:00,13.25,,,1
09/25/2006 22:03:00,13.09,,,1
09/25/2006 23:03:00,12.94,,,1
09/26/2006 00:03:00,12.78,,,1
09/26/2006 01:03:00,12.78,,,1
09/26/2006 02:03:00,12.63,,,1
09/26/2006 03:03:00,12.63,,,1
09/26/2006 04:03:00,12.47,,,1
09/26/2006 05:03:00,12.47,,,1
09/26/2006 06:03:00,12.31,,,1
09/26/2006 07:03:00,12.31,,,1
09/26/2006 08:03:00,12.31,,,1
09/26/2006 09:03:00,12.78,,,1
09/26/2006 10:03:00,12.47,,,1
09/26/2006 11:03:00,12.78,,,1
09/26/2006 12:03:00,12.94,,,1
09/26/2006 13:03:00,13.87,,,1
09/26/2006 14:03:00,14.03,,,1
09/26/2006 15:03:00,14.66,,,1
09/26/2006 16:03:00,14.82,,,1
09/26/2006 17:03:00,14.03,,,1
09/26/2006 18:03:00,14.03,,,1
09/26/2006 19:03:00,14.03,,,1
09/26/2006 20:03:00,13.87,,,1
09/26/2006 21:03:00,13.56,,,1
09/26/2006 22:03:00,13.56,,,1
09/26/2006 23:03:00,13.41,,,1
09/27/2006 00:03:00,13.25,,,1
09/27/2006 01:03:00,13.09,,,1
09/27/2006 02:03:00,13.09,,,1
09/27/2006 03:03:00,12.94,,,1
09/27/2006 04:03:00,12.94,,,1
09/27/2006 05:03:00,12.94,,,1
09/27/2006 06:03:00,12.78,,,1
09/27/2006 07:03:00,12.78,,,1
09/27/2006 08:03:00,12.78,,,1
09/27/2006 09:03:00,12.78,,,1
09/27/2006 10:03:00,12.94,,,1
09/27/2006 11:03:00,13.09,,,1
09/27/2006 12:03:00,13.25,,,1
09/27/2006 13:03:00,13.87,,,1
09/27/2006 14:03:00,14.82,,,1
09/27/2006 15:03:00,15.46,,,1
09/27/2006 16:03:00,15.13,,,1
09/27/2006 17:03:00,14.34,,,1
09/27/2006 18:03:00,14.66,,,1
09/27/2006 19:03:00,14.5,,,1
09/27/2006 20:03:00,14.03,,,1
09/27/2006 21:03:00,13.87,,,1
09/27/2006 22:03:00,13.72,,,1
09/27/2006 23:03:00,13.72,,,1
09/28/2006 00:03:00,13.56,,,1
09/28/2006 01:03:00,13.41,,,1
09/28/2006 02:03:00,13.41,,,1
09/28/2006 03:03:00,13.25,,,1
09/28/2006 04:03:00,13.25,,,1
09/28/2006 05:03:00,13.09,,,1
09/28/2006 06:03:00,13.09,,,1
09/28/2006 07:03:00,13.09,,,1
09/28/2006 08:03:00,12.94,,,1
09/28/2006 09:03:00,13.09,,,1
09/28/2006 10:03:00,13.25,,,1
09/28/2006 11:03:00,13.41,,,1
09/28/2006 12:03:00,13.72,,,1
09/28/2006 13:03:00,14.66,,,1
09/28/2006 14:03:00,14.82,,,1
09/28/2006 15:03:00,15.61,,,1
09/28/2006 16:03:00,15.61,,,1
09/28/2006 17:03:00,15.13,,,1
09/28/2006 18:03:00,14.82,,,1
09/28/2006 19:03:00,14.97,,,1
09/28/2006 20:03:00,14.5,,,1
09/28/2006 21:03:00,14.18,,,1
09/28/2006 22:03:00,14.03,,,1
09/28/2006 23:03:00,13.87,,,1
09/29/2006 00:03:00,13.87,,,1
09/29/2006 01:03:00,13.56,,,1
09/29/2006 02:03:00,13.56,,,1
09/29/2006 03:03:00,13.41,,,1
09/29/2006 04:03:00,13.25,,,1
09/29/2006 05:03:00,13.09,,,1
09/29/2006 06:03:00,13.09,,,1
09/29/2006 07:03:00,13.09,,,1
09/29/2006 08:03:00,13.09,,,1
09/29/2006 09:03:00,13.09,,,1
09/29/2006 10:03:00,13.25,,,1
09/29/2006 11:03:00,13.41,,,1
09/29/2006 12:03:00,13.87,,,1
09/29/2006 13:03:00,14.34,,,1
09/29/2006 14:03:00,14.97,,,1
09/29/2006 15:03:00,15.46,,,1
09/29/2006 16:03:00,15.46,,,1
09/29/2006 17:03:00,14.18,,,1
09/29/2006 18:03:00,14.66,,,1
09/29/2006 19:03:00,14.66,,,1
09/29/2006 20:03:00,14.03,,,1
09/29/2006 21:03:00,13.87,,,1
09/29/2006 22:03:00,13.72,,,1
09/29/2006 23:03:00,13.56,,,1
09/30/2006 00:03:00,13.41,,,1
09/30/2006 01:03:00,13.41,,,1
09/30/2006 02:03:00,13.41,,,1
09/30/2006 03:03:00,13.25,,,1
09/30/2006 04:03:00,13.25,,,1
09/30/2006 05:03:00,13.25,,,1
09/30/2006 06:03:00,13.09,,,1
09/30/2006 07:03:00,13.09,,,1
09/30/2006 08:03:00,13.09,,,1
09/30/2006 09:03:00,13.41,,,1
09/30/2006 10:03:00,13.72,,,1
09/30/2006 11:03:00,13.25,,,1
09/30/2006 12:03:00,13.41,,,1
09/30/2006 13:03:00,13.72,,,1
09/30/2006 14:03:00,13.41,,,1
09/30/2006 15:03:00,14.18,,,1
09/30/2006 16:03:00,14.34,,,1
09/30/2006 17:03:00,13.56,,,1
09/30/2006 18:03:00,13.41,,,1
09/30/2006 19:03:00,13.41,,,1
09/30/2006 20:03:00,13.25,,,1
09/30/2006 21:03:00,13.25,,,1
09/30/2006 22:03:00,13.25,,,1
09/30/2006 23:03:00,13.09,,,1
10/01/2006 00:03:00,13.09,,,1
10/01/2006 01:03:00,13.09,,,1
10/01/2006 02:03:00,13.09,,,1
10/01/2006 03:03:00,13.09,,,1
10/01/2006 04:03:00,12.94,,,1
10/01/2006 05:03:00,12.94,,,1
10/01/2006 06:03:00,12.94,,,1
10/01/2006 07:03:00,12.94,,,1
10/01/2006 08:03:00,12.94,,,1
10/01/2006 09:03:00,12.94,,,1
10/01/2006 10:03:00,12.94,,,1
10/01/2006 11:03:00,13.25,,,1
10/01/2006 12:03:00,13.41,,,1
10/01/2006 13:03:00,13.56,,,1
10/01/2006 14:03:00,13.56,,,1
10/01/2006 15:03:00,14.03,,,1
10/01/2006 16:03:00,13.72,,,1
10/01/2006 17:03:00,13.56,,,1
10/01/2006 18:03:00,13.41,,,1
10/01/2006 19:03:00,13.41,,,1
10/01/2006 20:03:00,13.25,,,1
10/01/2006 21:03:00,13.09,,,1
10/01/2006 22:03:00,13.09,,,1
10/01/2006 23:03:00,12.94,,,1
10/02/2006 00:03:00,12.94,,,1
10/02/2006 01:03:00,12.78,,,1
10/02/2006 02:03:00,12.78,,,1
10/02/2006 03:03:00,12.78,,,1
10/02/2006 04:03:00,12.78,,,1
10/02/2006 05:03:00,12.78,,,1
10/02/2006 06:03:00,12.78,,,1
10/02/2006 07:03:00,12.63,,,1
10/02/2006 08:03:00,12.78,,,1
10/02/2006 09:03:00,12.78,,,1
10/02/2006 10:03:00,13.09,,,1
10/02/2006 11:03:00,12.94,,,1
10/02/2006 12:03:00,13.72,,,1
10/02/2006 13:03:00,13.09,,,1
10/02/2006 14:03:00,13.41,,,1
10/02/2006 15:03:00,13.25,,,1
10/02/2006 16:03:00,13.25,,,1
10/02/2006 17:03:00,13.25,,,1
10/02/2006 18:03:00,13.09,,,1
10/02/2006 19:03:00,12.94,,,1
10/02/2006 20:03:00,12.94,,,1
10/02/2006 21:03:00,12.94,,,1
10/02/2006 22:03:00,12.78,,,1
10/02/2006 23:03:00,12.78,,,1
10/03/2006 00:03:00,12.78,,,1
10/03/2006 01:03:00,12.78,,,1
10/03/2006 02:03:00,12.78,,,1
10/03/2006 03:03:00,12.63,,,1
10/03/2006 04:03:00,12.63,,,1
10/03/2006 05:03:00,12.63,,,1
10/03/2006 06:03:00,12.63,,,1
10/03/2006 07:03:00,12.47,,,1
10/03/2006 08:03:00,12.47,,,1
10/03/2006 09:03:00,12.63,,,1
10/03/2006 10:03:00,12.78,,,1
10/03/2006 11:03:00,12.78,,,1
