,Water Temp.surface@OLYM_Gladys,Water Temp.surface@OLYM_Gladys,Water Temp.surface@OLYM_Gladys,Water Temp.surface@OLYM_Gladys
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
09/22/2009 14:16:35,22.345,,,1
09/22/2009 14:16:46,,,,1
09/22/2009 15:16:35,19.413,,,1
09/22/2009 16:16:35,19.032,,,1
09/22/2009 17:16:35,18.842,,,1
09/22/2009 18:16:35,18.557,,,1
09/22/2009 19:16:35,19.817,,,1
09/22/2009 20:16:35,18.794,,,1
09/22/2009 21:16:35,17.058,,,1
09/22/2009 22:16:35,15.7,,,1
09/22/2009 23:16:35,14.792,,,1
09/23/2009 00:16:35,14.218,,,1
09/23/2009 01:16:35,13.786,,,1
09/23/2009 02:16:35,13.305,,,1
09/23/2009 03:16:35,12.871,,,1
09/23/2009 04:16:35,12.461,,,1
09/23/2009 05:16:35,12.171,,,1
09/23/2009 06:16:35,11.856,,,1
09/23/2009 07:16:35,11.516,,,1
09/23/2009 08:16:35,11.346,,,1
09/23/2009 09:16:35,12.001,,,1
09/23/2009 10:16:35,13.546,,,1
09/23/2009 11:16:35,16.296,,,1
09/23/2009 12:16:35,21.581,,,1
09/23/2009 13:16:35,21.867,,,1
09/23/2009 14:16:35,23.857,,,1
09/23/2009 15:16:35,24.823,,,1
09/23/2009 16:16:35,26.109,,,1
09/23/2009 17:16:35,21.485,,,1
09/23/2009 18:16:35,12.098,,,1
09/23/2009 19:16:35,12.001,,,1
09/23/2009 20:16:35,11.977,,,1
09/23/2009 21:16:35,11.929,,,1
09/23/2009 22:16:35,11.904,,,1
09/23/2009 23:16:35,11.783,,,1
09/24/2009 00:16:35,11.686,,,1
09/24/2009 01:16:35,11.589,,,1
09/24/2009 02:16:35,11.467,,,1
09/24/2009 03:16:35,11.394,,,1
09/24/2009 04:16:35,11.297,,,1
09/24/2009 05:16:35,11.2,,,1
09/24/2009 06:16:35,11.151,,,1
09/24/2009 07:16:35,11.078,,,1
09/24/2009 08:16:35,11.029,,,1
09/24/2009 09:16:35,10.98,,,1
09/24/2009 10:16:35,10.907,,,1
09/24/2009 11:16:35,10.907,,,1
09/24/2009 12:16:35,11.37,,,1
09/24/2009 13:16:35,11.856,,,1
09/24/2009 14:16:35,12.461,,,1
09/24/2009 15:16:35,12.944,,,1
09/24/2009 16:16:35,13.137,,,1
09/24/2009 17:16:35,13.233,,,1
09/24/2009 18:16:35,12.823,,,1
09/24/2009 19:16:35,12.534,,,1
09/24/2009 20:16:35,12.243,,,1
09/24/2009 21:16:35,12.025,,,1
09/24/2009 22:16:35,11.807,,,1
09/24/2009 23:16:35,11.662,,,1
09/25/2009 00:16:35,11.516,,,1
09/25/2009 01:16:35,11.419,,,1
09/25/2009 02:16:35,11.321,,,1
09/25/2009 03:16:35,11.224,,,1
09/25/2009 04:16:35,11.102,,,1
09/25/2009 05:16:35,11.029,,,1
09/25/2009 06:16:35,10.932,,,1
09/25/2009 07:16:35,10.858,,,1
09/25/2009 08:16:35,10.834,,,1
09/25/2009 09:16:35,10.736,,,1
09/25/2009 10:16:35,10.712,,,1
09/25/2009 11:16:35,10.638,,,1
09/25/2009 12:16:35,11.321,,,1
09/25/2009 13:16:35,11.807,,,1
09/25/2009 14:16:35,12.292,,,1
09/25/2009 15:16:35,12.437,,,1
09/25/2009 16:16:35,12.63,,,1
09/25/2009 17:16:35,12.34,,,1
09/25/2009 18:16:35,12.05,,,1
09/25/2009 19:16:35,12.147,,,1
09/25/2009 20:16:35,11.856,,,1
09/25/2009 21:16:35,11.807,,,1
09/25/2009 22:16:35,11.662,,,1
09/25/2009 23:16:35,11.467,,,1
09/26/2009 00:16:35,11.467,,,1
09/26/2009 01:16:35,11.346,,,1
09/26/2009 02:16:35,11.2,,,1
09/26/2009 03:16:35,11.127,,,1
09/26/2009 04:16:35,11.078,,,1
09/26/2009 05:16:35,10.98,,,1
09/26/2009 06:16:35,10.907,,,1
09/26/2009 07:16:35,10.81,,,1
09/26/2009 08:16:35,10.736,,,1
09/26/2009 09:16:35,10.614,,,1
09/26/2009 10:16:35,10.516,,,1
09/26/2009 11:16:35,10.369,,,1
09/26/2009 12:16:35,11.078,,,1
09/26/2009 13:16:35,11.297,,,1
09/26/2009 14:16:35,11.443,,,1
09/26/2009 15:16:35,11.516,,,1
09/26/2009 16:16:35,11.589,,,1
09/26/2009 17:16:35,11.394,,,1
09/26/2009 18:16:35,11.175,,,1
09/26/2009 19:16:35,10.98,,,1
09/26/2009 20:16:35,10.932,,,1
09/26/2009 21:16:35,10.785,,,1
09/26/2009 22:16:35,10.663,,,1
09/26/2009 23:16:35,10.59,,,1
09/27/2009 00:16:35,10.467,,,1
09/27/2009 01:16:35,10.369,,,1
09/27/2009 02:16:35,10.271,,,1
09/27/2009 03:16:35,10.173,,,1
09/27/2009 04:16:35,9.952,,,1
09/27/2009 05:16:35,9.854,,,1
09/27/2009 06:16:35,9.756,,,1
09/27/2009 07:16:35,9.706,,,1
09/27/2009 08:16:35,9.657,,,1
09/27/2009 09:16:35,9.583,,,1
09/27/2009 10:16:35,9.509,,,1
09/27/2009 11:16:35,9.435,,,1
09/27/2009 12:16:35,10.271,,,1
09/27/2009 13:16:35,10.834,,,1
09/27/2009 14:16:35,11.321,,,1
09/27/2009 15:16:35,11.71,,,1
09/27/2009 16:16:35,12.243,,,1
09/27/2009 17:16:35,11.71,,,1
09/27/2009 18:16:35,11.637,,,1
09/27/2009 19:16:35,11.273,,,1
09/27/2009 20:16:35,10.932,,,1
09/27/2009 21:16:35,10.663,,,1
09/27/2009 22:16:35,10.443,,,1
09/27/2009 23:16:35,10.271,,,1
09/28/2009 00:16:35,10.149,,,1
09/28/2009 01:16:35,10.026,,,1
09/28/2009 02:16:35,9.903,,,1
09/28/2009 03:16:35,9.78,,,1
09/28/2009 04:16:35,9.608,,,1
09/28/2009 05:16:35,9.509,,,1
09/28/2009 06:16:35,9.435,,,1
09/28/2009 07:16:35,9.361,,,1
09/28/2009 08:16:35,9.238,,,1
09/28/2009 09:16:35,9.188,,,1
09/28/2009 10:16:35,9.114,,,1
09/28/2009 11:16:35,9.064,,,1
09/28/2009 12:16:35,9.015,,,1
09/28/2009 13:16:35,9.139,,,1
09/28/2009 14:16:35,9.064,,,1
09/28/2009 15:16:35,9.089,,,1
09/28/2009 16:16:35,9.064,,,1
09/28/2009 17:16:35,8.916,,,1
09/28/2009 18:16:35,8.841,,,1
09/28/2009 19:16:35,8.767,,,1
09/28/2009 20:16:35,8.618,,,1
09/28/2009 21:16:35,8.543,,,1
09/28/2009 22:16:35,8.469,,,1
09/28/2009 23:16:35,8.319,,,1
09/29/2009 00:16:35,8.245,,,1
09/29/2009 01:16:35,8.17,,,1
09/29/2009 02:16:35,7.995,,,1
09/29/2009 03:16:35,7.87,,,1
09/29/2009 04:16:35,7.745,,,1
09/29/2009 05:16:35,7.645,,,1
09/29/2009 06:16:35,7.494,,,1
09/29/2009 07:16:35,7.343,,,1
09/29/2009 08:16:35,7.268,,,1
09/29/2009 09:16:35,7.268,,,1
09/29/2009 10:16:35,7.242,,,1
09/29/2009 11:16:35,7.393,,,1
09/29/2009 12:16:35,7.368,,,1
09/29/2009 13:16:35,7.419,,,1
09/29/2009 14:16:35,7.419,,,1
09/29/2009 15:16:35,7.318,,,1
09/29/2009 16:16:35,7.343,,,1
09/29/2009 17:16:35,7.268,,,1
09/29/2009 18:16:35,7.217,,,1
09/29/2009 19:16:35,7.142,,,1
09/29/2009 20:16:35,7.091,,,1
09/29/2009 21:16:35,6.99,,,1
09/29/2009 22:16:35,6.94,,,1
09/29/2009 23:16:35,6.914,,,1
09/30/2009 00:16:35,6.813,,,1
09/30/2009 01:16:35,6.763,,,1
09/30/2009 02:16:35,6.611,,,1
09/30/2009 03:16:35,6.509,,,1
09/30/2009 04:16:35,6.433,,,1
09/30/2009 05:16:35,6.357,,,1
09/30/2009 06:16:35,6.255,,,1
09/30/2009 07:16:35,6.204,,,1
09/30/2009 08:16:35,6.102,,,1
09/30/2009 09:16:35,6.102,,,1
09/30/2009 10:16:35,6.051,,,1
09/30/2009 11:16:35,6,,,1
09/30/2009 12:16:35,6.357,,,1
09/30/2009 13:16:35,6.839,,,1
09/30/2009 14:16:35,6.458,,,1
09/30/2009 15:16:35,6.611,,,1
09/30/2009 16:16:35,6.737,,,1
09/30/2009 17:16:35,6.458,,,1
09/30/2009 18:16:35,6.357,,,1
09/30/2009 19:16:35,6.331,,,1
09/30/2009 20:16:35,6.281,,,1
09/30/2009 21:16:35,6.204,,,1
09/30/2009 22:16:35,6.153,,,1
09/30/2009 23:16:35,6.153,,,1
10/01/2009 00:16:35,6.128,,,1
10/01/2009 01:16:35,6.102,,,1
10/01/2009 02:16:35,6.051,,,1
10/01/2009 03:16:35,6.026,,,1
10/01/2009 04:16:35,6.026,,,1
10/01/2009 05:16:35,6,,,1
10/01/2009 06:16:35,5.949,,,1
10/01/2009 07:16:35,5.949,,,1
10/01/2009 08:16:35,5.949,,,1
10/01/2009 09:16:35,5.949,,,1
10/01/2009 10:16:35,6.051,,,1
10/01/2009 11:16:35,6.051,,,1
10/01/2009 12:16:35,6.102,,,1
10/01/2009 13:16:35,6.204,,,1
10/01/2009 14:16:35,6.23,,,1
10/01/2009 15:16:35,6.255,,,1
10/01/2009 16:16:35,6.204,,,1
10/01/2009 17:16:35,6.255,,,1
10/01/2009 18:16:35,6.179,,,1
10/01/2009 19:16:35,6.153,,,1
10/01/2009 20:16:35,6.102,,,1
10/01/2009 21:16:35,6.051,,,1
10/01/2009 22:16:35,6.026,,,1
10/01/2009 23:16:35,6,,,1
10/02/2009 00:16:35,5.898,,,1
10/02/2009 01:16:35,5.924,,,1
10/02/2009 02:16:35,5.924,,,1
10/02/2009 03:16:35,5.898,,,1
10/02/2009 04:16:35,5.847,,,1
10/02/2009 05:16:35,5.821,,,1
10/02/2009 06:16:35,5.77,,,1
10/02/2009 07:16:35,5.693,,,1
10/02/2009 08:16:35,5.668,,,1
10/02/2009 09:16:35,5.745,,,1
10/02/2009 10:16:35,5.565,,,1
10/02/2009 11:16:35,5.591,,,1
10/02/2009 12:16:35,6,,,1
10/02/2009 13:16:35,5.924,,,1
10/02/2009 14:16:35,6.382,,,1
10/02/2009 15:16:35,6.408,,,1
10/02/2009 16:16:35,6.535,,,1
10/02/2009 17:16:35,6.484,,,1
10/02/2009 18:16:35,6.306,,,1
10/02/2009 19:16:35,6.204,,,1
10/02/2009 20:16:35,6.102,,,1
10/02/2009 21:16:35,6,,,1
10/02/2009 22:16:35,5.872,,,1
10/02/2009 23:16:35,5.872,,,1
10/03/2009 00:16:35,5.796,,,1
10/03/2009 01:16:35,5.719,,,1
10/03/2009 02:16:35,5.693,,,1
10/03/2009 03:16:35,5.668,,,1
10/03/2009 04:16:35,5.642,,,1
10/03/2009 05:16:35,5.565,,,1
10/03/2009 06:16:35,5.488,,,1
10/03/2009 07:16:35,5.437,,,1
10/03/2009 08:16:35,5.385,,,1
10/03/2009 09:16:35,5.437,,,1
10/03/2009 10:16:35,5.385,,,1
10/03/2009 11:16:35,5.462,,,1
10/03/2009 12:16:35,5.411,,,1
10/03/2009 13:16:35,5.462,,,1
10/03/2009 14:16:35,5.514,,,1
10/03/2009 15:16:35,5.488,,,1
10/03/2009 16:16:35,5.514,,,1
10/03/2009 17:16:35,5.488,,,1
10/03/2009 18:16:35,5.411,,,1
10/03/2009 19:16:35,5.385,,,1
10/03/2009 20:16:35,5.36,,,1
10/03/2009 21:16:35,5.334,,,1
10/03/2009 22:16:35,5.231,,,1
10/03/2009 23:16:35,5.205,,,1
10/04/2009 00:16:35,5.154,,,1
10/04/2009 01:16:35,5.102,,,1
10/04/2009 02:16:35,5.076,,,1
10/04/2009 03:16:35,4.999,,,1
10/04/2009 04:16:35,4.973,,,1
10/04/2009 05:16:35,4.921,,,1
10/04/2009 06:16:35,4.895,,,1
10/04/2009 07:16:35,4.844,,,1
10/04/2009 08:16:35,4.818,,,1
10/04/2009 09:16:35,4.844,,,1
10/04/2009 10:16:35,4.766,,,1
10/04/2009 11:16:35,4.818,,,1
10/04/2009 12:16:35,5.282,,,1
10/04/2009 13:16:35,5.334,,,1
10/04/2009 14:16:35,5.616,,,1
10/04/2009 15:16:35,5.847,,,1
10/04/2009 16:16:35,5.821,,,1
10/04/2009 17:16:35,5.821,,,1
10/04/2009 18:16:35,5.642,,,1
10/04/2009 19:16:35,5.385,,,1
10/04/2009 20:16:35,5.488,,,1
10/04/2009 21:16:35,5.308,,,1
10/04/2009 22:16:35,5.282,,,1
10/04/2009 23:16:35,5.231,,,1
10/05/2009 00:16:35,5.128,,,1
10/05/2009 01:16:35,5.024,,,1
10/05/2009 02:16:35,5.024,,,1
10/05/2009 03:16:35,4.947,,,1
10/05/2009 04:16:35,4.921,,,1
10/05/2009 05:16:35,4.844,,,1
10/05/2009 06:16:35,4.818,,,1
10/05/2009 07:16:35,4.74,,,1
10/05/2009 08:16:35,4.74,,,1
10/05/2009 09:16:35,4.688,,,1
10/05/2009 10:16:35,4.662,,,1
10/05/2009 11:16:35,4.61,,,1
10/05/2009 12:16:35,4.869,,,1
10/05/2009 13:16:35,4.869,,,1
10/05/2009 14:16:35,5.128,,,1
10/05/2009 15:16:35,5.36,,,1
10/05/2009 16:16:35,5.616,,,1
10/05/2009 17:16:35,5.719,,,1
10/05/2009 18:16:35,5.693,,,1
10/05/2009 19:16:35,5.462,,,1
10/05/2009 20:16:35,5.36,,,1
10/05/2009 21:16:35,5.282,,,1
10/05/2009 22:16:35,5.179,,,1
10/05/2009 23:16:35,5.128,,,1
10/06/2009 00:16:35,4.999,,,1
10/06/2009 01:16:35,4.999,,,1
10/06/2009 02:16:35,4.973,,,1
10/06/2009 03:16:35,4.921,,,1
10/06/2009 04:16:35,4.895,,,1
10/06/2009 05:16:35,4.844,,,1
10/06/2009 06:16:35,4.766,,,1
10/06/2009 07:16:35,4.766,,,1
10/06/2009 08:16:35,4.766,,,1
10/06/2009 09:16:35,4.688,,,1
10/06/2009 10:16:35,4.584,,,1
10/06/2009 11:16:35,4.584,,,1
