,Water Temp.surface@OLYM_623,Water Temp.surface@OLYM_623,Water Temp.surface@OLYM_623,Water Temp.surface@OLYM_623
mm/dd/yyyy HH:MM:SS,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code
08/08/2006 13:13:00,,,,1
08/08/2006 14:13:00,17.59,,,1
08/08/2006 15:13:00,17.89,,,1
08/08/2006 16:13:00,17.59,,,1
08/08/2006 17:13:00,17.59,,,1
08/08/2006 18:13:00,17.59,,,1
08/08/2006 19:13:00,17.59,,,1
08/08/2006 20:13:00,17.29,,,1
08/08/2006 21:13:00,17.29,,,1
08/08/2006 22:13:00,17.29,,,1
08/08/2006 23:13:00,17.29,,,1
08/09/2006 00:13:00,17.29,,,1
08/09/2006 01:13:00,17.29,,,1
08/09/2006 02:13:00,16.99,,,1
08/09/2006 03:13:00,16.99,,,1
08/09/2006 04:13:00,16.99,,,1
08/09/2006 05:13:00,16.99,,,1
08/09/2006 06:13:00,16.99,,,1
08/09/2006 07:13:00,16.99,,,1
08/09/2006 08:13:00,16.99,,,1
08/09/2006 09:13:00,16.99,,,1
08/09/2006 10:13:00,17.29,,,1
08/09/2006 11:13:00,17.29,,,1
08/09/2006 12:13:00,17.29,,,1
08/09/2006 13:13:00,17.29,,,1
08/09/2006 14:13:00,17.59,,,1
08/09/2006 15:13:00,17.29,,,1
08/09/2006 16:13:00,17.29,,,1
08/09/2006 17:13:00,17.29,,,1
08/09/2006 18:13:00,16.99,,,1
08/09/2006 19:13:00,16.99,,,1
08/09/2006 20:13:00,16.99,,,1
08/09/2006 21:13:00,16.99,,,1
08/09/2006 22:13:00,16.99,,,1
08/09/2006 23:13:00,16.99,,,1
08/10/2006 00:13:00,16.99,,,1
08/10/2006 01:13:00,16.7,,,1
08/10/2006 02:13:00,16.7,,,1
08/10/2006 03:13:00,16.7,,,1
08/10/2006 04:13:00,16.7,,,1
08/10/2006 05:13:00,16.7,,,1
08/10/2006 06:13:00,16.7,,,1
08/10/2006 07:13:00,16.7,,,1
08/10/2006 08:13:00,16.7,,,1
08/10/2006 09:13:00,16.7,,,1
08/10/2006 10:13:00,16.7,,,1
08/10/2006 11:13:00,16.99,,,1
08/10/2006 12:13:00,17.29,,,1
08/10/2006 13:13:00,17.29,,,1
08/10/2006 14:13:00,16.99,,,1
08/10/2006 15:13:00,17.59,,,1
08/10/2006 16:13:00,17.29,,,1
08/10/2006 17:13:00,16.99,,,1
08/10/2006 18:13:00,16.99,,,1
08/10/2006 19:13:00,16.7,,,1
08/10/2006 20:13:00,16.7,,,1
08/10/2006 21:13:00,16.7,,,1
08/10/2006 22:13:00,16.7,,,1
08/10/2006 23:13:00,16.7,,,1
08/11/2006 00:13:00,16.4,,,1
08/11/2006 01:13:00,16.4,,,1
08/11/2006 02:13:00,16.4,,,1
08/11/2006 03:13:00,16.4,,,1
08/11/2006 04:13:00,16.11,,,1
08/11/2006 05:13:00,16.11,,,1
08/11/2006 06:13:00,16.11,,,1
08/11/2006 07:13:00,16.4,,,1
08/11/2006 08:13:00,16.7,,,1
08/11/2006 09:13:00,17.29,,,1
08/11/2006 10:13:00,16.7,,,1
08/11/2006 11:13:00,16.7,,,1
08/11/2006 12:13:00,17.29,,,1
08/11/2006 13:13:00,17.89,,,1
08/11/2006 14:13:00,17.29,,,1
08/11/2006 15:13:00,17.29,,,1
08/11/2006 16:13:00,16.99,,,1
08/11/2006 17:13:00,16.99,,,1
08/11/2006 18:13:00,16.99,,,1
08/11/2006 19:13:00,16.7,,,1
08/11/2006 20:13:00,16.7,,,1
08/11/2006 21:13:00,16.4,,,1
08/11/2006 22:13:00,16.4,,,1
08/11/2006 23:13:00,16.4,,,1
08/12/2006 00:13:00,16.4,,,1
08/12/2006 01:13:00,16.4,,,1
08/12/2006 02:13:00,16.4,,,1
08/12/2006 03:13:00,16.11,,,1
08/12/2006 04:13:00,16.11,,,1
08/12/2006 05:13:00,16.11,,,1
08/12/2006 06:13:00,16.11,,,1
08/12/2006 07:13:00,16.4,,,1
08/12/2006 08:13:00,16.7,,,1
08/12/2006 09:13:00,16.99,,,1
08/12/2006 10:13:00,16.4,,,1
08/12/2006 11:13:00,17.89,,,1
08/12/2006 12:13:00,17.29,,,1
08/12/2006 13:13:00,17.59,,,1
08/12/2006 14:13:00,17.59,,,1
08/12/2006 15:13:00,18.19,,,1
08/12/2006 16:13:00,18.19,,,1
08/12/2006 17:13:00,17.89,,,1
08/12/2006 18:13:00,17.89,,,1
08/12/2006 19:13:00,17.59,,,1
08/12/2006 20:13:00,17.29,,,1
08/12/2006 21:13:00,17.29,,,1
08/12/2006 22:13:00,16.99,,,1
08/12/2006 23:13:00,16.99,,,1
08/13/2006 00:13:00,16.7,,,1
08/13/2006 01:13:00,16.7,,,1
08/13/2006 02:13:00,16.4,,,1
08/13/2006 03:13:00,16.4,,,1
08/13/2006 04:13:00,16.4,,,1
08/13/2006 05:13:00,16.4,,,1
08/13/2006 06:13:00,16.4,,,1
08/13/2006 07:13:00,16.7,,,1
08/13/2006 08:13:00,16.99,,,1
08/13/2006 09:13:00,16.99,,,1
08/13/2006 10:13:00,17.59,,,1
08/13/2006 11:13:00,18.49,,,1
08/13/2006 12:13:00,17.89,,,1
08/13/2006 13:13:00,18.79,,,1
08/13/2006 14:13:00,19.69,,,1
08/13/2006 15:13:00,20.3,,,1
08/13/2006 16:13:00,20.3,,,1
08/13/2006 17:13:00,19.99,,,1
08/13/2006 18:13:00,19.09,,,1
08/13/2006 19:13:00,18.79,,,1
08/13/2006 20:13:00,18.49,,,1
08/13/2006 21:13:00,18.19,,,1
08/13/2006 22:13:00,17.89,,,1
08/13/2006 23:13:00,17.59,,,1
08/14/2006 00:13:00,17.59,,,1
08/14/2006 01:13:00,17.29,,,1
08/14/2006 02:13:00,16.99,,,1
08/14/2006 03:13:00,16.99,,,1
08/14/2006 04:13:00,16.99,,,1
08/14/2006 05:13:00,16.99,,,1
08/14/2006 06:13:00,16.99,,,1
08/14/2006 07:13:00,17.29,,,1
08/14/2006 08:13:00,17.59,,,1
08/14/2006 09:13:00,17.59,,,1
08/14/2006 10:13:00,18.49,,,1
08/14/2006 11:13:00,17.89,,,1
08/14/2006 12:13:00,18.49,,,1
08/14/2006 13:13:00,19.69,,,1
08/14/2006 14:13:00,20.3,,,1
08/14/2006 15:13:00,20.3,,,1
08/14/2006 16:13:00,19.99,,,1
08/14/2006 17:13:00,19.99,,,1
08/14/2006 18:13:00,19.39,,,1
08/14/2006 19:13:00,19.09,,,1
08/14/2006 20:13:00,18.79,,,1
08/14/2006 21:13:00,18.49,,,1
08/14/2006 22:13:00,18.19,,,1
08/14/2006 23:13:00,18.19,,,1
08/15/2006 00:13:00,17.89,,,1
08/15/2006 01:13:00,17.89,,,1
08/15/2006 02:13:00,17.59,,,1
08/15/2006 03:13:00,17.59,,,1
08/15/2006 04:13:00,17.29,,,1
08/15/2006 05:13:00,17.29,,,1
08/15/2006 06:13:00,17.29,,,1
08/15/2006 07:13:00,17.59,,,1
08/15/2006 08:13:00,17.89,,,1
08/15/2006 09:13:00,18.49,,,1
08/15/2006 10:13:00,17.89,,,1
08/15/2006 11:13:00,18.49,,,1
08/15/2006 12:13:00,18.49,,,1
08/15/2006 13:13:00,18.49,,,1
08/15/2006 14:13:00,18.49,,,1
08/15/2006 15:13:00,18.79,,,1
08/15/2006 16:13:00,18.79,,,1
08/15/2006 17:13:00,18.49,,,1
08/15/2006 18:13:00,18.19,,,1
08/15/2006 19:13:00,18.19,,,1
08/15/2006 20:13:00,17.89,,,1
08/15/2006 21:13:00,17.89,,,1
08/15/2006 22:13:00,17.89,,,1
08/15/2006 23:13:00,17.59,,,1
08/16/2006 00:13:00,17.59,,,1
08/16/2006 01:13:00,17.59,,,1
08/16/2006 02:13:00,17.29,,,1
08/16/2006 03:13:00,17.29,,,1
08/16/2006 04:13:00,17.29,,,1
08/16/2006 05:13:00,17.29,,,1
08/16/2006 06:13:00,17.29,,,1
08/16/2006 07:13:00,17.29,,,1
08/16/2006 08:13:00,17.89,,,1
08/16/2006 09:13:00,17.59,,,1
08/16/2006 10:13:00,17.89,,,1
08/16/2006 11:13:00,17.89,,,1
08/16/2006 12:13:00,18.19,,,1
08/16/2006 13:13:00,18.19,,,1
08/16/2006 14:13:00,18.49,,,1
08/16/2006 15:13:00,18.79,,,1
08/16/2006 16:13:00,18.49,,,1
08/16/2006 17:13:00,18.19,,,1
08/16/2006 18:13:00,18.19,,,1
08/16/2006 19:13:00,17.89,,,1
08/16/2006 20:13:00,17.89,,,1
08/16/2006 21:13:00,17.59,,,1
08/16/2006 22:13:00,17.59,,,1
08/16/2006 23:13:00,17.59,,,1
08/17/2006 00:13:00,17.59,,,1
08/17/2006 01:13:00,17.29,,,1
08/17/2006 02:13:00,17.29,,,1
08/17/2006 03:13:00,17.29,,,1
08/17/2006 04:13:00,17.29,,,1
08/17/2006 05:13:00,17.29,,,1
08/17/2006 06:13:00,17.29,,,1
08/17/2006 07:13:00,17.59,,,1
08/17/2006 08:13:00,17.89,,,1
08/17/2006 09:13:00,17.89,,,1
08/17/2006 10:13:00,18.49,,,1
08/17/2006 11:13:00,18.19,,,1
08/17/2006 12:13:00,18.49,,,1
08/17/2006 13:13:00,19.39,,,1
08/17/2006 14:13:00,19.69,,,1
08/17/2006 15:13:00,19.69,,,1
08/17/2006 16:13:00,19.99,,,1
08/17/2006 17:13:00,19.39,,,1
08/17/2006 18:13:00,19.09,,,1
08/17/2006 19:13:00,18.79,,,1
08/17/2006 20:13:00,18.79,,,1
08/17/2006 21:13:00,18.49,,,1
08/17/2006 22:13:00,18.19,,,1
08/17/2006 23:13:00,18.19,,,1
08/18/2006 00:13:00,17.89,,,1
08/18/2006 01:13:00,17.89,,,1
08/18/2006 02:13:00,17.89,,,1
08/18/2006 03:13:00,17.59,,,1
08/18/2006 04:13:00,17.59,,,1
08/18/2006 05:13:00,17.59,,,1
08/18/2006 06:13:00,17.59,,,1
08/18/2006 07:13:00,17.89,,,1
08/18/2006 08:13:00,18.19,,,1
08/18/2006 09:13:00,18.79,,,1
08/18/2006 10:13:00,18.79,,,1
08/18/2006 11:13:00,18.79,,,1
08/18/2006 12:13:00,19.39,,,1
08/18/2006 13:13:00,20.61,,,1
08/18/2006 14:13:00,19.99,,,1
08/18/2006 15:13:00,21.84,,,1
08/18/2006 16:13:00,21.22,,,1
08/18/2006 17:13:00,20.61,,,1
08/18/2006 18:13:00,19.99,,,1
08/18/2006 19:13:00,19.39,,,1
08/18/2006 20:13:00,19.09,,,1
08/18/2006 21:13:00,18.79,,,1
08/18/2006 22:13:00,18.49,,,1
08/18/2006 23:13:00,18.49,,,1
08/19/2006 00:13:00,18.19,,,1
08/19/2006 01:13:00,18.19,,,1
08/19/2006 02:13:00,18.19,,,1
08/19/2006 03:13:00,17.89,,,1
08/19/2006 04:13:00,17.89,,,1
08/19/2006 05:13:00,17.89,,,1
08/19/2006 06:13:00,17.89,,,1
08/19/2006 07:13:00,17.89,,,1
08/19/2006 08:13:00,18.49,,,1
08/19/2006 09:13:00,18.79,,,1
08/19/2006 10:13:00,18.79,,,1
08/19/2006 11:13:00,19.99,,,1
08/19/2006 12:13:00,19.69,,,1
08/19/2006 13:13:00,20.61,,,1
08/19/2006 14:13:00,20.91,,,1
08/19/2006 15:13:00,21.22,,,1
08/19/2006 16:13:00,21.22,,,1
08/19/2006 17:13:00,20.3,,,1
08/19/2006 18:13:00,19.99,,,1
08/19/2006 19:13:00,19.69,,,1
08/19/2006 20:13:00,19.39,,,1
08/19/2006 21:13:00,19.09,,,1
08/19/2006 22:13:00,18.79,,,1
08/19/2006 23:13:00,18.79,,,1
08/20/2006 00:13:00,18.49,,,1
08/20/2006 01:13:00,18.49,,,1
08/20/2006 02:13:00,18.49,,,1
08/20/2006 03:13:00,18.19,,,1
08/20/2006 04:13:00,18.19,,,1
08/20/2006 05:13:00,18.19,,,1
08/20/2006 06:13:00,18.19,,,1
08/20/2006 07:13:00,18.49,,,1
08/20/2006 08:13:00,18.79,,,1
08/20/2006 09:13:00,19.39,,,1
08/20/2006 10:13:00,19.69,,,1
08/20/2006 11:13:00,19.69,,,1
08/20/2006 12:13:00,19.39,,,1
08/20/2006 13:13:00,19.99,,,1
08/20/2006 14:13:00,20.3,,,1
08/20/2006 15:13:00,21.22,,,1
08/20/2006 16:13:00,21.53,,,1
08/20/2006 17:13:00,20.91,,,1
08/20/2006 18:13:00,20.3,,,1
08/20/2006 19:13:00,19.99,,,1
08/20/2006 20:13:00,19.39,,,1
08/20/2006 21:13:00,19.39,,,1
08/20/2006 22:13:00,19.09,,,1
08/20/2006 23:13:00,18.79,,,1
08/21/2006 00:13:00,18.79,,,1
08/21/2006 01:13:00,18.79,,,1
08/21/2006 02:13:00,18.49,,,1
08/21/2006 03:13:00,18.49,,,1
08/21/2006 04:13:00,18.49,,,1
08/21/2006 05:13:00,18.49,,,1
08/21/2006 06:13:00,18.49,,,1
08/21/2006 07:13:00,18.49,,,1
08/21/2006 08:13:00,18.49,,,1
08/21/2006 09:13:00,18.49,,,1
08/21/2006 10:13:00,18.79,,,1
08/21/2006 11:13:00,19.69,,,1
08/21/2006 12:13:00,19.99,,,1
08/21/2006 13:13:00,20.61,,,1
08/21/2006 14:13:00,20.61,,,1
08/21/2006 15:13:00,20.91,,,1
08/21/2006 16:13:00,20.91,,,1
08/21/2006 17:13:00,20.3,,,1
08/21/2006 18:13:00,19.99,,,1
08/21/2006 19:13:00,19.99,,,1
08/21/2006 20:13:00,19.69,,,1
08/21/2006 21:13:00,19.39,,,1
08/21/2006 22:13:00,19.39,,,1
08/21/2006 23:13:00,19.39,,,1
08/22/2006 00:13:00,19.09,,,1
08/22/2006 01:13:00,19.09,,,1
08/22/2006 02:13:00,18.79,,,1
08/22/2006 03:13:00,18.79,,,1
08/22/2006 04:13:00,18.79,,,1
08/22/2006 05:13:00,18.79,,,1
08/22/2006 06:13:00,18.79,,,1
08/22/2006 07:13:00,18.79,,,1
08/22/2006 08:13:00,19.09,,,1
08/22/2006 09:13:00,19.39,,,1
08/22/2006 10:13:00,18.79,,,1
08/22/2006 11:13:00,19.39,,,1
