"","variable","snowyr","mean","median","min","q25th","q75th","max"
"1","Ca(mg/L)","mid",5.29,4.9,0.02,1.83,7.72,17.8
"2","Ca(mg/L)","lo",6.26,5.66,0.28,2.17,8.78,23.7
"3","Ca(mg/L)","hi",4.94,4.19,0.23,1.68,6.5,14
"4","Ca(mg/L)","overall",5.35,4.9,0.02,1.82,7.73,23.7
"5","Chl(µg/L)","mid",0.368,0.257,-0.02,0.14,0.43,3.98
"6","Chl(µg/L)","lo",0.974,0.396,0.06,0.27,0.629,9.32
"7","Chl(µg/L)","hi",0.329,0.23,-0.02,0.18,0.341,1.45
"8","Chl(µg/L)","overall",0.428,0.275,-0.02,0.14,0.449,9.32
"9","Cl(mg/L)","mid",0.31,0.246,1e-05,0.13,0.4,2.06
"10","Cl(mg/L)","lo",0.299,0.258,0.04,0.13,0.415,0.676
"11","Cl(mg/L)","hi",0.224,0.17,0.04,0.13,0.3,0.8
"12","Cl(mg/L)","overall",0.301,0.24,1e-05,0.13,0.385,2.06
"13","clad(ind/m3)","mid",2040,166,0,5.52,1450,65200
"14","clad(ind/m3)","lo",7060,2860,0,149,4470,88800
"15","clad(ind/m3)","hi",276,14.8,0,0,149,3380
"16","clad(ind/m3)","overall",2370,158,0,7.88,1550,88800
"17","Cond(µS/cm)","mid",42.3,30,2.9,13.3,45.1,764
"18","Cond(µS/cm)","lo",39.2,36.3,4,17,51,139
"19","Cond(µS/cm)","hi",34.2,32.4,3.6,18.7,44,95.7
"20","Cond(µS/cm)","overall",41.1,31,2.9,14,45.6,764
"21","cope(ind/m3)","mid",4000,1310,0,381,4930,32200
"22","cope(ind/m3)","lo",3790,210,9.09,56.4,3110,41800
"23","cope(ind/m3)","hi",2930,1590,6.01,635,2500,23100
"24","cope(ind/m3)","overall",3870,1290,0,319,4610,41800
"25","DO(mg/L)","mid",9.2,9,1,8.22,10,18.2
"26","DO(mg/L)","lo",8.48,8.47,7.29,7.79,9.01,10
"27","DO(mg/L)","hi",9.82,9.82,6.81,9.46,10.1,11.9
"28","DO(mg/L)","overall",9.19,9.03,1,8.24,9.98,18.2
"29","ice_out_doy","mid",162,1.68,71.1,119,194,291
"30","ice_out_doy","lo",33.5,3.65,0,2.79,62.7,130
"31","ice_out_doy","hi",224,1.38,140,216,241,314
"32","ice_out_doy","overall",155,1.76,0,119,200,314
"33","K(mg/L)","mid",0.128,0.12,0.03,0.08,0.166,0.325
"34","K(mg/L)","lo",0.162,0.16,0.0437,0.111,0.2,0.29
"35","K(mg/L)","hi",0.117,0.107,0.04,0.0602,0.177,0.221
"36","K(mg/L)","overall",0.13,0.121,0.03,0.08,0.17,0.325
"37","Mg(mg/L)","mid",0.389,0.28,1e-05,0.17,0.57,1.4
"38","Mg(mg/L)","lo",0.452,0.34,0.03,0.225,0.564,1.47
"39","Mg(mg/L)","hi",0.344,0.248,0.02,0.15,0.49,0.988
"40","Mg(mg/L)","overall",0.391,0.28,1e-05,0.17,0.56,1.47
"41","Na(mg/L)","mid",0.76,0.73,0.07,0.48,1,2.17
"42","Na(mg/L)","lo",0.916,0.91,0.18,0.53,1.2,1.82
"43","Na(mg/L)","hi",0.662,0.587,0.18,0.43,0.878,1.25
"44","Na(mg/L)","overall",0.765,0.727,0.07,0.48,1.02,2.17
"45","pH","mid",7.15,7.17,5.21,6.78,7.57,9.77
"46","pH","lo",7.61,7.51,6.08,7.22,8.14,9.77
"47","pH","hi",7,7.06,5.8,6.77,7.41,8.3
"48","pH","overall",7.19,7.2,5.21,6.78,7.58,9.77
"49","rot(ind/m3)","mid",45500,2180,0,36.6,32900,712000
"50","rot(ind/m3)","lo",22400,8760,15.9,324,32100,99300
"51","rot(ind/m3)","hi",2890,306,0,69.2,3450,18700
"52","rot(ind/m3)","overall",38900,1280,0,56.1,28900,712000
"53","Secchi(m)","mid",7.79,7.7,1.34,5.59,9.58,16.5
"54","Secchi(m)","lo",6.41,6.04,0.1,3.92,8.2,14.4
"55","Secchi(m)","hi",8.01,7.75,3,4.56,10.4,15.4
"56","Secchi(m)","overall",7.67,7.6,0.1,4.51,9.6,16.5
"57","SO4(mg/L)","mid",1.31,0.697,1e-05,0.34,1.61,12.3
"58","SO4(mg/L)","lo",1.48,0.66,0.01,0.26,1.76,8.07
"59","SO4(mg/L)","hi",1.51,0.59,0.16,0.42,1.47,11.7
"60","SO4(mg/L)","overall",1.35,0.66,1e-05,0.34,1.62,12.3
"61","SWE_May","mid",162,1.68,71.1,119,194,291
"62","SWE_May","lo",33.5,3.65,0,2.79,62.7,130
"63","SWE_May","hi",224,1.38,140,216,241,314
"64","SWE_May","overall",155,1.76,0,119,200,314
"65","TDN(mg/L)","mid",0.0447,0.04,0.005,0.02,0.06,0.18
"66","TDN(mg/L)","lo",0.0737,0.06,0.005,0.04,0.09,0.18
