"","varname","term","AICcdiff2","modname[which(AICcdiff2 == AICcdiff)]"
"1","Ca","iceout_doy",0,"Ca_ice_out_doy*Volume_m3"
"2","Ca","iceout_doy",0,"Ca_Volume_m3*ice_out_doy"
"3","Ca","SWE",8.69999999999993,"Ca_SWE_May_snotel*Volume_m3"
"4","Chl","SWE",0.700000000000045,"Chl_SWE_May_snotel+TDN+Watertemp"
"5","Chl","iceout_doy",1.60000000000002,"Chl_ice_out_doy+TDN+Watertemp"
"6","Cl","SWE",0,"Cl_SWE_May_snotel*Cl_dep_2000_2009"
"7","Cl","iceout_doy",1.03,"Cl_ice_out_doy+Cl_dep_2000_2009"
"8","Clad","iceout_doy",16,"Clad_ice_out_doy+Watertemp+Chl"
"9","Clad","SWE",16,"Clad_SWE_May_snotel+Watertemp+Chl"
"10","Cond","iceout_doy",0,"Cond_ice_out_doy"
"11","Cond","SWE",1,"Cond_SWE_May_snotel"
"12","Cope","iceout_doy",13,"Cope_ice_out_doy+Watertemp+Chl"
"13","Cope","SWE",16,"Cope_SWE_May_snotel+Watertemp+Chl"
"14","DO","SWE",0.899999999999977,"DO_SWE_May_snotel+Watertemp+Chl"
"15","DO","iceout_doy",2.39999999999998,"DO_ice_out_doy+Watertemp+Chl"
"16","K","SWE",0,"K_SWE_May_snotel*graywacke"
"17","K","iceout_doy",9.70000000000005,"K_ice_out_doy+graywacke"
"18","log10Chl","iceout_doy",2.90000000000001,"log10Chl_ice_out_doy+TDN+Watertemp"
"19","log10Chl","SWE",4,"log10Chl_SWE_May_snotel+TDN+Watertemp"
"20","log10Clad","iceout_doy",1.19999999999999,"log10Clad_ice_out_doy+Watertemp+Chl"
"21","log10Clad","SWE",9.39999999999998,"log10Clad_SWE_May_snotel+Watertemp+Chl"
"22","log10Cope","iceout_doy",6,"log10Cope_ice_out_doy+Watertemp+Chl"
"23","log10Cope","SWE",14.1,"log10Cope_SWE_May_snotel+Watertemp+Chl"
"24","log10Rot","iceout_doy",0.399999999999977,"log10Rot_ice_out_doy+Watertemp+Chl"
"25","log10Rot","SWE",2,"log10Rot_SWE_May_snotel+Watertemp+Chl"
"26","Mg","iceout_doy",0,"Mg_ice_out_doy*Volume_m3"
"27","Mg","iceout_doy",0,"Mg_Volume_m3*ice_out_doy"
"28","Mg","SWE",7.80000000000001,"Mg_SWE_May_snotel*Volume_m3"
"29","Na","iceout_doy",0,"Na_ice_out_doy*Volume_m3"
"30","Na","iceout_doy",0,"Na_Volume_m3*ice_out_doy"
"31","Na","SWE",3.38,"Na_SWE_May_snotel+andesite"
"32","pH","SWE",0,"pH_SWE_May_snotel"
"33","pH","iceout_doy",4.79999999999995,"pH_ice_out_doy*hydro"
"34","pH","iceout_doy",4.79999999999995,"pH_hydro*ice_out_doy"
"35","Rot","SWE",23,"Rot_SWE_May_snotel+Watertemp+Chl"
"36","Rot","iceout_doy",24,"Rot_ice_out_doy+Watertemp+Chl"
"37","Secchi","SWE",0,"Secchi_SWE_May_snotel*Chl"
"38","Secchi","iceout_doy",5.30000000000001,"Secchi_ice_out_doy+Chl"
"39","SO4","SWE",0.300000000000068,"SO4_SWE_May_snotel"
"40","SO4","iceout_doy",0.800000000000068,"SO4_ice_out_doy"
"41","SWE","iceout_doy",0,"SWE_ice_out_doy*solar_jas"
"42","TDN","iceout_doy",0,"TDN_ice_out_doy*forest"
"43","TDN","SWE",5.80000000000007,"TDN_SWE_May_snotel*forest"
"44","TDP","SWE",0,"TDP_SWE_May_snotel"
"45","TDP","iceout_doy",2,"TDP_ice_out_doy"
"46","Watertemp","iceout_doy",0,"Watertemp_ice_out_doy+solar_jas+hydro"
"47","Watertemp","SWE",56,"Watertemp_SWE_May_snotel*solar_jas"
