varname,term,coef,int,p.value_slope,p.value_int,R2,AICc
Chl,days_since_iceout,0.0055 ± 0.0024*,0.17 ± 0.14,0.021,0.21,0.03364,391.7
Chl,iceout_doy,-0.0063 ± 0.0021**,1.6 ± 0.39***,0.0028,5.4e-05,0.05597,388
Chl,solar_dec,-0.0012 ± 5e-04*,0.85 ± 0.18***,0.017,3.5e-06,0.03629,391.3
Chl,SWE,-0.0029 ± 0.00093**,0.89 ± 0.16***,0.0023,5.5e-08,0.05816,387.7
Chl,TDN,7.6 ± 2***,0.11 ± 0.11,0.00019,0.32,0.08547,383
Chl,Watertemp,0.038 ± 0.018*,-0.047 ± 0.25,0.032,0.85,0.0335,356.8
Clad,days_since_iceout,63 ± 23**,-770 ± 1400,0.008,0.57,0.0399,3647
Clad,iceout_doy,-53 ± 21*,12000 ± 4000**,0.013,0.0024,0.03502,3668
Clad,SWE,-20 ± 9.5*,5500 ± 1600***,0.034,7e-04,0.02546,3670
Cope,Chl,3800 ± 550***,2200 ± 550***,1.1e-10,0.00014,0.2632,2782
Cope,Watertemp,320 ± 120*,-490 ± 1800,0.011,0.78,0.04457,2954
DO,days_since_iceout,-0.018 ± 0.0055**,10 ± 0.32***,0.0017,5.9e-71,0.05846,691.8
DO,iceout_doy,0.016 ± 0.0049**,6.1 ± 0.92***,0.0013,4.3e-10,0.06093,691.4
DO,Watertemp,-0.16 ± 0.033***,11 ± 0.46***,4.4e-06,3e-56,0.1211,680.4
ice_out_doy,solar_dec,0.044 ± 0.017*,170 ± 5.9***,0.011,8.7e-70,0.03656,1709
ice_out_doy,SWE,0.28 ± 0.026***,140 ± 4.4***,1.7e-20,1.2e-76,0.388,1628
log10Chl,days_since_iceout,0.004 ± 0.0011***,-0.73 ± 0.062***,0.00021,4.4e-23,0.08446,142.2
log10Chl,iceout_doy,-0.0045 ± 0.00092***,0.32 ± 0.17. ,2.2e-06,0.066,0.1341,133.4
log10Chl,solar_dec,-0.00061 ± 0.00023**,-0.32 ± 0.081***,0.0086,0.00012,0.04339,149.2
log10Chl,solar_jas,-0.00027 ± 0.00013*,0.78 ± 0.59,0.03,0.19,0.02971,151.4
log10Chl,SWE,-0.0011 ± 0.00044*,-0.35 ± 0.073***,0.011,3.7e-06,0.04083,149.6
log10Chl,TDN,5.2 ± 0.88***,-0.75 ± 0.048***,2.2e-08,2.4e-33,0.1827,124.3
log10Chl,Watertemp,0.034 ± 0.0072***,-0.97 ± 0.1***,7.3e-06,9.8e-17,0.1389,114.8
log10Clad,Ca,-0.074 ± 0.028**,2.5 ± 0.18***,0.0089,6.4e-28,0.04388,521.9
log10Clad,days_since_iceout,0.018 ± 0.0034***,1.1 ± 0.2***,4.9e-07,4.5e-08,0.1364,571.9
log10Clad,iceout_doy,-0.023 ± 0.0028***,6.3 ± 0.54***,9.6e-14,7.7e-24,0.2737,545.7
log10Clad,SWE,-0.0038 ± 0.0015**,2.6 ± 0.24***,0.0095,9.4e-21,0.03802,595.1
log10Clad,Watertemp,0.22 ± 0.018***,-0.9 ± 0.25***,1.2e-24,0.00056,0.5197,388.2
log10Cope,Chl,0.18 ± 0.078*,2.9 ± 0.079***,0.021,3.9e-73,0.03801,339.4
log10Cope,days_since_iceout,-0.0072 ± 0.0022**,3.4 ± 0.13***,0.0016,3.2e-62,0.05635,425
log10Cope,Watertemp,0.051 ± 0.015**,2.3 ± 0.22***,0.0012,4.1e-20,0.07045,344.2
log10Rot,Chl,0.41 ± 0.15**,2.9 ± 0.16***,0.0088,6.4e-39,0.04904,526.2
log10Rot,days_since_iceout,0.013 ± 0.0044**,2.3 ± 0.26***,0.0044,1.9e-16,0.04602,662.9
log10Rot,iceout_doy,-0.023 ± 0.0037***,7.2 ± 0.71***,6e-09,1.6e-19,0.1773,642.6
log10Rot,Watertemp,0.23 ± 0.026***,-0.1 ± 0.37,1.8e-15,0.79,0.3571,497.2
pH,days_since_iceout,0.0059 ± 0.002**,6.9 ± 0.12***,0.0037,7.3e-112,0.05035,358.4
pH,iceout_doy,-0.0068 ± 0.0018***,8.5 ± 0.33***,0.00015,5.8e-59,0.08423,352.4
pH,SWE,-0.0056 ± 0.00069***,8 ± 0.12***,1.4e-13,4e-123,0.2844,311.5
Rot,Chl,20000 ± 9600*,31000 ± 9700**,0.042,0.002,0.02973,3574
Rot,iceout_doy,-590 ± 240*,150000 ± 46000**,0.017,0.0018,0.03208,4524
Rot,Watertemp,6700 ± 1900***,-53000 ± 27000*,0.00043,0.05,0.08266,3741
Secchi,Chl,-1.1 ± 0.32***,8.1 ± 0.33***,0.001,1.3e-50,0.07967,689
Secchi,days_since_iceout,-0.026 ± 0.0095**,8.9 ± 0.54***,0.0067,1.9e-35,0.04591,826.8
Secchi,SWE,0.01 ± 0.0038**,6 ± 0.63***,0.0085,1.6e-17,0.04327,827.3
SO4,SO4_dep_2000_2009,-0.13 ± 0.058*,2 ± 0.34***,0.031,2.2e-08,0.02625,742.3
SWE,iceout_doy,1.4 ± 0.13***,-110 ± 25***,1.7e-20,2.4e-05,0.388,1913
SWE,solar_dec,0.076 ± 0.038*,130 ± 13***,0.047,5.4e-18,0.02228,1997
