"varname","term","estimate","std.error","df","t.value","p.value","sigma","logLik","BIC","deviance","R2m","R2c","nfix","nparam","modname","modname2","modelformula","randompart","valuecol","var0","var1","var2","var3","varint1","varint2","varint3","nobs","AICc","modname3","AICcdiff"
"Ca","(Intercept)",8,1,153,7.942,4e-13,1.031,-303.7,628,607.3,0.01144,0.9342,2,2,"Ca_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","0","","","","","","",175,611.4,"vari1",19.1999999999999
"Ca","iceout_doy",-0.014,0.0028,153,-4.942,2e-06,1.031,-303.7,628,607.3,0.01144,0.9342,2,2,"Ca_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","","1","","","","","",175,611.4,"vari1",19.1999999999999
"Ca","(Intercept)",6.4,0.87,153,7.407,8.1e-12,1.035,-303.9,628.5,607.8,0.01471,0.9322,2,2,"Ca_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","0","","","","","","",175,611.9,"vari1",19.6999999999999
"Ca","SWE",-0.007,0.0014,153,-4.877,2.7e-06,1.035,-303.9,628.5,607.8,0.01471,0.9322,2,2,"Ca_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","","1","","","","","",175,611.9,"vari1",19.6999999999999
"Ca","(Intercept)",4.8,0.88,153,5.404,2.4e-07,1.06,-308.3,637.2,616.6,0.006037,0.9323,2,2,"Ca_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","0","","","","","","",175,620.6,"vari1",28.4
"Ca","days_since_iceout",0.012,0.0031,153,3.774,0.00023,1.06,-308.3,637.2,616.6,0.006037,0.9323,2,2,"Ca_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","","1","","","","","",175,620.6,"vari1",28.4
"Ca","(Intercept)",4.4,0.95,154,4.654,7e-06,1.109,-313.5,647.7,627.1,0.1342,0.9257,2,2,"Ca_graywacke","vari1","value_formodel ~ graywacke","~1 | park_site","value","0","","","","","","",175,631.1,"vari1",38.9
"Ca","graywacke",0.033,0.018,19,1.873,0.077,1.109,-313.5,647.7,627.1,0.1342,0.9257,2,2,"Ca_graywacke","vari1","value_formodel ~ graywacke","~1 | park_site","value","","1","","","","","",175,631.1,"vari1",38.9
"Ca","(Intercept)",9,2.9,154,3.147,0.002,1.109,-314.3,649.3,628.6,0.07425,0.9258,2,2,"Ca_hydro","vari1","value_formodel ~ hydro","~1 | park_site","value","0","","","","","","",175,632.7,"vari1",40.5
"Ca","hydro",-1.7,1.2,19,-1.336,0.2,1.109,-314.3,649.3,628.6,0.07425,0.9258,2,2,"Ca_hydro","vari1","value_formodel ~ hydro","~1 | park_site","value","","1","","","","","",175,632.7,"vari1",40.5
