"","varname","term","AICcdiff2","modname[which(AICcdiff2 == AICcdiff)]"
"1","Ca","iceout_doy",0,"Ca_ice_out_doy+graywacke"
"2","Ca","SWE",0.699999999999932,"Ca_SWE_May_snotel+graywacke"
"3","Chl","SWE",0.700000000000045,"Chl_SWE_May_snotel+TDN+Watertemp"
"4","Chl","iceout_doy",1.60000000000002,"Chl_ice_out_doy+TDN+Watertemp"
"5","Cl","SWE",0,"Cl_SWE_May_snotel+Cl_dep_2000_2009"
"6","Cl","iceout_doy",0.920000000000002,"Cl_ice_out_doy+Cl_dep_2000_2009"
"7","Clad","iceout_doy",16,"Clad_ice_out_doy+Watertemp+Chl"
"8","Clad","SWE",16,"Clad_SWE_May_snotel+Watertemp+Chl"
"9","Cond","iceout_doy",0,"Cond_ice_out_doy"
"10","Cond","SWE",1,"Cond_SWE_May_snotel"
"11","Cope","iceout_doy",13,"Cope_ice_out_doy+Watertemp+Chl"
"12","Cope","SWE",16,"Cope_SWE_May_snotel+Watertemp+Chl"
"13","DO","SWE",0.899999999999977,"DO_SWE_May_snotel+Watertemp+Chl"
"14","DO","iceout_doy",2.39999999999998,"DO_ice_out_doy+Watertemp+Chl"
"15","K","SWE",0,"K_SWE_May_snotel+graywacke"
"16","K","iceout_doy",9.30000000000007,"K_ice_out_doy+graywacke"
"17","log10Chl","iceout_doy",2.90000000000001,"log10Chl_ice_out_doy+TDN+Watertemp"
"18","log10Chl","SWE",4,"log10Chl_SWE_May_snotel+TDN+Watertemp"
"19","log10Clad","iceout_doy",1.19999999999999,"log10Clad_ice_out_doy+Watertemp+Chl"
"20","log10Clad","SWE",9.39999999999998,"log10Clad_SWE_May_snotel+Watertemp+Chl"
"21","log10Cope","iceout_doy",6,"log10Cope_ice_out_doy+Watertemp+Chl"
"22","log10Cope","SWE",14.1,"log10Cope_SWE_May_snotel+Watertemp+Chl"
"23","log10Rot","iceout_doy",0.399999999999977,"log10Rot_ice_out_doy+Watertemp+Chl"
"24","log10Rot","SWE",2,"log10Rot_SWE_May_snotel+Watertemp+Chl"
"25","Mg","iceout_doy",0,"Mg_ice_out_doy"
"26","Mg","SWE",2.30000000000001,"Mg_SWE_May_snotel"
"27","Na","SWE",0,"Na_SWE_May_snotel+andesite"
"28","Na","iceout_doy",0.180000000000007,"Na_ice_out_doy+andesite"
"29","pH","SWE",0,"pH_SWE_May_snotel"
"30","pH","iceout_doy",6.19999999999999,"pH_ice_out_doy"
"31","Rot","SWE",23,"Rot_SWE_May_snotel+Watertemp+Chl"
"32","Rot","iceout_doy",24,"Rot_ice_out_doy+Watertemp+Chl"
"33","Secchi","SWE",0,"Secchi_SWE_May_snotel+Chl"
"34","Secchi","iceout_doy",2,"Secchi_ice_out_doy+Chl"
"35","SO4","SWE",0.300000000000068,"SO4_SWE_May_snotel"
"36","SO4","iceout_doy",0.800000000000068,"SO4_ice_out_doy"
"37","SWE","iceout_doy",0,"SWE_ice_out_doy"
"38","TDN","iceout_doy",0,"TDN_ice_out_doy+forest+N_dep_2000_2009"
"39","TDN","SWE",6.39999999999998,"TDN_SWE_May_snotel+forest"
"40","TDP","SWE",0,"TDP_SWE_May_snotel"
"41","TDP","iceout_doy",2,"TDP_ice_out_doy"
"42","Watertemp","iceout_doy",0,"Watertemp_ice_out_doy+solar_jas+hydro"
"43","Watertemp","SWE",59.4,"Watertemp_SWE_May_snotel"
