"","varname","countmodelstop10","countmodelstop2","countmodels2to4","countmodels2to6","countmodels2to10"
"1","Ca",21,7,9,13,14
"2","Chl",25,6,2,5,19
"3","Cl",10,4,4,4,6
"4","Clad",1,1,NA,NA,NA
"5","Cond",15,3,9,12,12
"6","Cope",1,1,NA,NA,NA
"7","DO",5,3,1,1,2
"8","ice_out_doy",14,3,5,9,11
"9","K",11,1,4,8,10
"10","log10Chl",11,3,3,4,8
"11","log10Clad",3,2,NA,NA,1
"12","log10Cope",2,1,NA,NA,1
"13","log10Rot",5,4,1,1,1
"14","Mg",28,4,8,14,24
"15","Na",20,8,7,12,12
"16","pH",20,4,5,6,16
"17","Rot",1,1,NA,NA,NA
"18","Secchi",6,1,2,5,5
"19","SO4",15,6,7,9,9
"20","SWE",4,1,2,3,3
"21","TDN",12,4,NA,2,8
"22","TDP",24,2,9,13,21
"23","Watertemp",11,1,5,9,10
