var,model,k,AICc,R2m,R2c,coef0,term1,coef1,term2,coef2,term3,coef3,interactions
Temp,3,4,839.4,0.41,0.61,7.8 ± 9,iceoutd,-0.075 ± 0.007,solarjas,0.0048 ± 0.002,hydro,-1.5 ± 0.7, 
DO,2,3,537.4,0.14,0.14,11 ± 0.5,Temp,-0.17 ± 0.04,Chl,0.18 ± 0.2,,, 
DO,3,4,536,0.17,0.17,11 ± 0.5,Temp,-0.15 ± 0.04,days_since_iceout,-0.011 ± 0.006,Chl,0.22 ± 0.2, 
DO,3,4,536.9,0.16,0.16,10 ± 0.7,Temp,-0.16 ± 0.04,SWE,0.0037 ± 0.002,Chl,0.24 ± 0.2, 
pH,1,2,269.1,0.14,0.52,7.7 ± 0.1,SWE,-0.0037 ± 6e-04,,,,, 
pH,2,3,270.3,0.16,0.52,7.7 ± 0.2,SWE,-0.0037 ± 6e-04,grw,0.002 ± 0.002,,, 
pH,2,3,270.9,0.15,0.52,7.9 ± 0.4,SWE,-0.0037 ± 6e-04,hydro,-0.076 ± 0.2,,, 
pH,2,3,271,0.14,0.52,7.8 ± 0.2,SWE,-0.0037 ± 6e-04,vol,-3.4e-07 ± 1e-06,,, 
Secchi,2,3,477,0.04,0.9,6.4 ± 0.8,SWE,0.0081 ± 0.002,Chl,-0.22 ± 0.1,,, 
Chl,2,3,337.4,0.11,0.33,0.03 ± 0.3,TDN,8.7 ± 3,Temp,0.0044 ± 0.02,,, 
Chl,3,4,338.1,0.11,0.32,0.37 ± 0.4,TDN,7.1 ± 3,SWE,-0.0014 ± 0.001,Temp,0.00061 ± 0.02, 
Chl,3,4,338.2,0.15,0.34,0.38 ± 0.4,TDN,8 ± 3,solardec,-0.001 ± 9e-04,Temp,0.0052 ± 0.02, 
Chl,3,4,339,0.11,0.32,0.61 ± 0.8,TDN,7.7 ± 3,iceoutd,-0.0022 ± 0.003,Temp,-0.0046 ± 0.02, 
Chl,3,4,339.1,0.11,0.32,0.013 ± 0.3,TDN,8.3 ± 3,TDP,31 ± 40,Temp,0.0026 ± 0.02, 
Chl,3,4,339.1,0.11,0.32,0.018 ± 0.3,TDN,8 ± 3,days_since_iceout,0.0018 ± 0.003,Temp,8e-04 ± 0.02, 
log10Chl,3,4,82.86,0.25,0.41,0.97 ± 0.8,TDN,4.5 ± 1,solarjas,-0.00038 ± 2e-04,Temp,0.0094 ± 0.008, 
log10Chl,3,4,84.47,0.17,0.43,-0.8 ± 0.1,TDN,3.7 ± 1,days_since_iceout,0.0017 ± 0.001,Temp,0.0022 ± 0.008, 
TDN,2,3,-860.1,0.51,0.66,0.1 ± 0.01,forest,0.00062 ± 1e-04,iceoutd,-0.00044 ± 5e-05,,, 
TDN,3,4,-859.5,0.52,0.66,0.11 ± 0.01,forest,0.00071 ± 1e-04,iceoutd,-0.00044 ± 5e-05,NH4dep,-0.018 ± 0.02, 
TDN,3,4,-860.1,0.53,0.67,0.12 ± 0.01,forest,0.00068 ± 1e-04,iceoutd,-0.00043 ± 5e-05,NO3dep,-0.0032 ± 0.002, 
TDN,3,4,-860.3,0.53,0.66,0.12 ± 0.02,forest,0.00069 ± 1e-04,iceoutd,-0.00044 ± 5e-05,Ndep,-0.011 ± 0.007, 
TDP,1,2,-1768,0.057,0.077,0.0028 ± 3e-04,SWE,-5.7e-06 ± 2e-06,,,,, 
TDP,2,3,-1767,0.063,0.078,0.0026 ± 4e-04,SWE,-5.7e-06 ± 2e-06,forest,4.5e-06 ± 5e-06,,, 
log10Clad,3,4,282.5,0.26,0.78,0.1 ± 0.3,Temp,0.096 ± 0.02,days_since_iceout,0.011 ± 0.002,Chl,0.061 ± 0.07, 
log10Clad,3,4,283.7,0.28,0.77,3.1 ± 0.7,iceoutd,-0.011 ± 0.002,Temp,0.077 ± 0.02,Chl,0.061 ± 0.07, 
log10Rot,2,3,368.6,0.15,0.66,1.3 ± 0.4,Temp,0.12 ± 0.02,Chl,0.17 ± 0.1,,, 
log10Rot,3,4,368.3,0.15,0.68,1.1 ± 0.5,Temp,0.11 ± 0.02,Ca,0.053 ± 0.06,Chl,0.16 ± 0.1, 
log10Rot,3,4,368.7,0.14,0.67,2.6 ± 1,Temp,0.087 ± 0.03,Chl,0.14 ± 0.1,iceoutd,-0.0049 ± 0.003, 
log10Rot,3,4,369.4,0.13,0.67,1.4 ± 0.4,Temp,0.1 ± 0.03,Chl,0.15 ± 0.1,days_since_iceout,0.0038 ± 0.003, 
log10Cope,3,4,199.8,0.081,0.71,3.2 ± 0.2,days_since_iceout,-0.0083 ± 0.002,Chl,0.062 ± 0.05,Temp,0.013 ± 0.01, 
SWE,1,2,1780,0.47,0.83,-160 ± 20,iceoutd,1.7 ± 0.08,,,,, 
iceoutd,1,2,1708,0.039,0.077,170 ± 7,solardec,0.044 ± 0.02,,,,, 
iceoutd,2,3,1709,0.043,0.077,160 ± 20,solardec,0.038 ± 0.02,elev,0.0098 ± 0.01,,, 
iceoutd,2,3,1709,0.044,0.078,170 ± 7,solardec,0.047 ± 0.02,vol,-2.9e-05 ± 3e-05,,, 
