"varname","term","estimate","std.error","df","t.value","p.value","sigma","logLik","BIC","deviance","R2m","R2c","nfix","nparam","modname","modname2","modelformula","randompart","valuecol","var0","var1","var2","var3","varint1","varint2","varint3","nobs","AICc","modname3","AICcdiff"
"Ca","(Intercept)",7,1.1,153,6.55,8.3e-10,1.031,-302,629.8,603.9,0.1496,0.9341,3,3,"Ca_ice_out_doy+graywacke","vari1+vari2","value_formodel ~ ice_out_doy + graywacke","~1 | park_site","value","0","","","","","","",175,610.1,"vari1vari2",0
"Ca","graywacke",0.034,0.018,19,1.908,0.072,1.031,-302,629.8,603.9,0.1496,0.9341,3,3,"Ca_ice_out_doy+graywacke","vari1+vari2","value_formodel ~ ice_out_doy + graywacke","~1 | park_site","value","","1","","","","","",175,610.1,"vari1vari2",0
"Ca","iceout_doy",-0.014,0.0028,153,-4.942,2e-06,1.031,-302,629.8,603.9,0.1496,0.9341,3,3,"Ca_ice_out_doy+graywacke","vari1+vari2","value_formodel ~ ice_out_doy + graywacke","~1 | park_site","value","","","2","","","","",175,610.1,"vari1vari2",0
"Ca","(Intercept)",5.5,0.95,153,5.8,3.7e-08,1.035,-302.3,630.5,604.7,0.1521,0.9328,3,3,"Ca_SWE_May_snotel+graywacke","vari1+vari2","value_formodel ~ SWE_May_snotel + graywacke","~1 | park_site","value","0","","","","","","",175,610.8,"vari1vari2",0.699999999999932
"Ca","graywacke",0.032,0.017,19,1.831,0.083,1.035,-302.3,630.5,604.7,0.1521,0.9328,3,3,"Ca_SWE_May_snotel+graywacke","vari1+vari2","value_formodel ~ SWE_May_snotel + graywacke","~1 | park_site","value","","1","","","","","",175,610.8,"vari1vari2",0.699999999999932
"Ca","SWE",-0.007,0.0014,153,-4.85,3e-06,1.035,-302.3,630.5,604.7,0.1521,0.9328,3,3,"Ca_SWE_May_snotel+graywacke","vari1+vari2","value_formodel ~ SWE_May_snotel + graywacke","~1 | park_site","value","","","2","","","","",175,610.8,"vari1vari2",0.699999999999932
"Ca","(Intercept)",9.9,2.9,153,3.434,0.00077,1.031,-301.4,633.8,602.8,0.195,0.9345,4,4,"Ca_ice_out_doy+hydro+graywacke","vari1+vari2+vari3","value_formodel ~ ice_out_doy + hydro + graywacke","~1 | park_site","value","0","","","","","","",175,611,"vari1vari2vari3",0.899999999999977
"Ca","graywacke",0.03,0.017,18,1.728,0.1,1.031,-301.4,633.8,602.8,0.195,0.9345,4,4,"Ca_ice_out_doy+hydro+graywacke","vari1+vari2+vari3","value_formodel ~ ice_out_doy + hydro + graywacke","~1 | park_site","value","","1","","","","","",175,611,"vari1vari2vari3",0.899999999999977
"Ca","hydro",-1.2,1.2,18,-1.06,0.3,1.031,-301.4,633.8,602.8,0.195,0.9345,4,4,"Ca_ice_out_doy+hydro+graywacke","vari1+vari2+vari3","value_formodel ~ ice_out_doy + hydro + graywacke","~1 | park_site","value","","","2","","","","",175,611,"vari1vari2vari3",0.899999999999977
"Ca","iceout_doy",-0.014,0.0029,153,-4.922,2.2e-06,1.031,-301.4,633.8,602.8,0.195,0.9345,4,4,"Ca_ice_out_doy+hydro+graywacke","vari1+vari2+vari3","value_formodel ~ ice_out_doy + hydro + graywacke","~1 | park_site","value","","","","3","","","",175,611,"vari1vari2vari3",0.899999999999977
"Ca","(Intercept)",8,1,153,7.942,4e-13,1.031,-303.7,628,607.3,0.01144,0.9342,2,2,"Ca_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","0","","","","","","",175,611.4,"vari1",1.29999999999995
"Ca","iceout_doy",-0.014,0.0028,153,-4.942,2e-06,1.031,-303.7,628,607.3,0.01144,0.9342,2,2,"Ca_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","","1","","","","","",175,611.4,"vari1",1.29999999999995
"Ca","(Intercept)",8.4,2.8,153,2.995,0.0032,1.035,-301.8,634.5,603.5,0.1984,0.9331,4,4,"Ca_SWE_May_snotel+hydro+graywacke","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + hydro + graywacke","~1 | park_site","value","0","","","","","","",175,611.7,"vari1vari2vari3",1.60000000000002
"Ca","graywacke",0.029,0.017,18,1.649,0.12,1.035,-301.8,634.5,603.5,0.1984,0.9331,4,4,"Ca_SWE_May_snotel+hydro+graywacke","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + hydro + graywacke","~1 | park_site","value","","1","","","","","",175,611.7,"vari1vari2vari3",1.60000000000002
"Ca","hydro",-1.3,1.2,18,-1.086,0.29,1.035,-301.8,634.5,603.5,0.1984,0.9331,4,4,"Ca_SWE_May_snotel+hydro+graywacke","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + hydro + graywacke","~1 | park_site","value","","","2","","","","",175,611.7,"vari1vari2vari3",1.60000000000002
"Ca","SWE",-0.007,0.0014,153,-4.836,3.2e-06,1.035,-301.8,634.5,603.5,0.1984,0.9331,4,4,"Ca_SWE_May_snotel+hydro+graywacke","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + hydro + graywacke","~1 | park_site","value","","","","3","","","",175,611.7,"vari1vari2vari3",1.60000000000002
"Ca","(Intercept)",12,2.9,153,4,9.8e-05,1.031,-302.8,631.5,605.7,0.08663,0.9345,3,3,"Ca_ice_out_doy+hydro","vari1+vari2","value_formodel ~ ice_out_doy + hydro","~1 | park_site","value","0","","","","","","",175,611.8,"vari1vari2",1.69999999999993
"Ca","hydro",-1.6,1.2,19,-1.31,0.21,1.031,-302.8,631.5,605.7,0.08663,0.9345,3,3,"Ca_ice_out_doy+hydro","vari1+vari2","value_formodel ~ ice_out_doy + hydro","~1 | park_site","value","","1","","","","","",175,611.8,"vari1vari2",1.69999999999993
"Ca","iceout_doy",-0.014,0.0028,153,-4.922,2.2e-06,1.031,-302.8,631.5,605.7,0.08663,0.9345,3,3,"Ca_ice_out_doy+hydro","vari1+vari2","value_formodel ~ ice_out_doy + hydro","~1 | park_site","value","","","2","","","","",175,611.8,"vari1vari2",1.69999999999993
"Ca","(Intercept)",12,2.9,153,4,9.8e-05,1.031,-302.8,631.5,605.7,0.08663,0.9345,3,3,"Ca_hydro+ice_out_doy","vari1+vari2","value_formodel ~ hydro + ice_out_doy","~1 | park_site","value","0","","","","","","",175,611.8,"vari1vari2",1.69999999999993
"Ca","hydro",-1.6,1.2,19,-1.31,0.21,1.031,-302.8,631.5,605.7,0.08663,0.9345,3,3,"Ca_hydro+ice_out_doy","vari1+vari2","value_formodel ~ hydro + ice_out_doy","~1 | park_site","value","","1","","","","","",175,611.8,"vari1vari2",1.69999999999993
"Ca","iceout_doy",-0.014,0.0028,153,-4.922,2.2e-06,1.031,-302.8,631.5,605.7,0.08663,0.9345,3,3,"Ca_hydro+ice_out_doy","vari1+vari2","value_formodel ~ hydro + ice_out_doy","~1 | park_site","value","","","2","","","","",175,611.8,"vari1vari2",1.69999999999993
"Ca","(Intercept)",6.4,0.87,153,7.407,8.1e-12,1.035,-303.9,628.5,607.8,0.01471,0.9322,2,2,"Ca_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","0","","","","","","",175,611.9,"vari1",1.79999999999995
"Ca","SWE",-0.007,0.0014,153,-4.877,2.7e-06,1.035,-303.9,628.5,607.8,0.01471,0.9322,2,2,"Ca_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","","1","","","","","",175,611.9,"vari1",1.79999999999995
"Chl","(Intercept)",0.03,0.27,113,0.1117,0.91,0.7505,-165.6,355.8,331.2,0.1127,0.3285,3,3,"Chl_TDN+Watertemp","vari1+vari2","value_formodel ~ TDN + Watertemp","~1 | park_site","value","0","","","","","","",136,337.4,"vari1vari2",0
"Chl","TDN",8.7,2.7,113,3.181,0.0019,0.7505,-165.6,355.8,331.2,0.1127,0.3285,3,3,"Chl_TDN+Watertemp","vari1+vari2","value_formodel ~ TDN + Watertemp","~1 | park_site","value","","1","","","","","",136,337.4,"vari1vari2",0
"Chl","Watertemp",0.0044,0.021,113,0.2128,0.83,0.7505,-165.6,355.8,331.2,0.1127,0.3285,3,3,"Chl_TDN+Watertemp","vari1+vari2","value_formodel ~ TDN + Watertemp","~1 | park_site","value","","","2","","","","",136,337.4,"vari1vari2",0
"Chl","(Intercept)",0.37,0.39,112,0.935,0.35,0.7493,-164.9,359.3,329.8,0.1115,0.3165,4,4,"Chl_SWE_May_snotel+TDN+Watertemp","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + TDN + Watertemp","~1 | park_site","value","0","","","","","","",136,338.1,"vari1vari2vari3",0.700000000000045
"Chl","TDN",7.1,3,112,2.369,0.02,0.7493,-164.9,359.3,329.8,0.1115,0.3165,4,4,"Chl_SWE_May_snotel+TDN+Watertemp","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + TDN + Watertemp","~1 | park_site","value","","1","","","","","",136,338.1,"vari1vari2vari3",0.700000000000045
"Chl","SWE",-0.0014,0.0012,112,-1.178,0.24,0.7493,-164.9,359.3,329.8,0.1115,0.3165,4,4,"Chl_SWE_May_snotel+TDN+Watertemp","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + TDN + Watertemp","~1 | park_site","value","","","2","","","","",136,338.1,"vari1vari2vari3",0.700000000000045
"Chl","Watertemp",0.00061,0.021,112,0.02929,0.98,0.7493,-164.9,359.3,329.8,0.1115,0.3165,4,4,"Chl_SWE_May_snotel+TDN+Watertemp","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + TDN + Watertemp","~1 | park_site","value","","","","3","","","",136,338.1,"vari1vari2vari3",0.700000000000045
"Chl","(Intercept)",0.38,0.4,113,0.9416,0.35,0.7505,-164.9,359.4,329.9,0.1451,0.3379,4,4,"Chl_TDN+solar_dec+Watertemp","vari1+vari2+vari3","value_formodel ~ TDN + solar_dec + Watertemp","~1 | park_site","value","0","","","","","","",136,338.2,"vari1vari2vari3",0.800000000000011
"Chl","TDN",8,2.8,113,2.885,0.0047,0.7505,-164.9,359.4,329.9,0.1451,0.3379,4,4,"Chl_TDN+solar_dec+Watertemp","vari1+vari2+vari3","value_formodel ~ TDN + solar_dec + Watertemp","~1 | park_site","value","","1","","","","","",136,338.2,"vari1vari2vari3",0.800000000000011
"Chl","solar_dec",-0.001,0.00086,19,-1.167,0.26,0.7505,-164.9,359.4,329.9,0.1451,0.3379,4,4,"Chl_TDN+solar_dec+Watertemp","vari1+vari2+vari3","value_formodel ~ TDN + solar_dec + Watertemp","~1 | park_site","value","","","2","","","","",136,338.2,"vari1vari2vari3",0.800000000000011
"Chl","Watertemp",0.0052,0.021,113,0.2505,0.8,0.7505,-164.9,359.4,329.9,0.1451,0.3379,4,4,"Chl_TDN+solar_dec+Watertemp","vari1+vari2+vari3","value_formodel ~ TDN + solar_dec + Watertemp","~1 | park_site","value","","","","3","","","",136,338.2,"vari1vari2vari3",0.800000000000011
"Chl","(Intercept)",0.61,0.83,112,0.7366,0.46,0.7499,-165.3,360.2,330.7,0.1076,0.3207,4,4,"Chl_ice_out_doy+TDN+Watertemp","vari1+vari2+vari3","value_formodel ~ ice_out_doy + TDN + Watertemp","~1 | park_site","value","0","","","","","","",136,339,"vari1vari2vari3",1.60000000000002
"Chl","TDN",7.7,3,112,2.564,0.012,0.7499,-165.3,360.2,330.7,0.1076,0.3207,4,4,"Chl_ice_out_doy+TDN+Watertemp","vari1+vari2+vari3","value_formodel ~ ice_out_doy + TDN + Watertemp","~1 | park_site","value","","1","","","","","",136,339,"vari1vari2vari3",1.60000000000002
"Chl","iceout_doy",-0.0022,0.003,112,-0.741,0.46,0.7499,-165.3,360.2,330.7,0.1076,0.3207,4,4,"Chl_ice_out_doy+TDN+Watertemp","vari1+vari2+vari3","value_formodel ~ ice_out_doy + TDN + Watertemp","~1 | park_site","value","","","2","","","","",136,339,"vari1vari2vari3",1.60000000000002
"Chl","Watertemp",-0.0046,0.024,112,-0.191,0.85,0.7499,-165.3,360.2,330.7,0.1076,0.3207,4,4,"Chl_ice_out_doy+TDN+Watertemp","vari1+vari2+vari3","value_formodel ~ ice_out_doy + TDN + Watertemp","~1 | park_site","value","","","","3","","","",136,339,"vari1vari2vari3",1.60000000000002
"Chl","(Intercept)",0.013,0.27,112,0.04779,0.96,0.7502,-165.4,360.2,330.8,0.1128,0.3244,4,4,"Chl_TDN+TDP+Watertemp","vari1+vari2+vari3","value_formodel ~ TDN + TDP + Watertemp","~1 | park_site","value","0","","","","","","",136,339.1,"vari1vari2vari3",1.70000000000005
"Chl","TDN",8.3,2.8,112,2.996,0.0034,0.7502,-165.4,360.2,330.8,0.1128,0.3244,4,4,"Chl_TDN+TDP+Watertemp","vari1+vari2+vari3","value_formodel ~ TDN + TDP + Watertemp","~1 | park_site","value","","1","","","","","",136,339.1,"vari1vari2vari3",1.70000000000005
"Chl","TDP",31,44,112,0.6948,0.49,0.7502,-165.4,360.2,330.8,0.1128,0.3244,4,4,"Chl_TDN+TDP+Watertemp","vari1+vari2+vari3","value_formodel ~ TDN + TDP + Watertemp","~1 | park_site","value","","","2","","","","",136,339.1,"vari1vari2vari3",1.70000000000005
"Chl","Watertemp",0.0026,0.021,112,0.1233,0.9,0.7502,-165.4,360.2,330.8,0.1128,0.3244,4,4,"Chl_TDN+TDP+Watertemp","vari1+vari2+vari3","value_formodel ~ TDN + TDP + Watertemp","~1 | park_site","value","","","","3","","","",136,339.1,"vari1vari2vari3",1.70000000000005
"Chl","(Intercept)",0.018,0.27,112,0.06582,0.95,0.7494,-165.4,360.3,330.8,0.1074,0.3243,4,4,"Chl_days_since_iceout+TDN+Watertemp","vari1+vari2+vari3","value_formodel ~ days_since_iceout + TDN + Watertemp","~1 | park_site","value","0","","","","","","",136,339.1,"vari1vari2vari3",1.70000000000005
