"","Lake","short_code","Park","park_code","lat","lon","Snowsite"
"1","Blue Lake","BL","Mount Rainier National Park","MORA",46.738,-121.678,"Paradise"
"2","Lake Allen","AL","Mount Rainier National Park","MORA",46.765,-121.8928,"Paradise"
"3","Lake LH15","15","Mount Rainier National Park","MORA",46.9534,-121.6191,"Cayuse"
"4","Lake LP19","19","Mount Rainier National Park","MORA",46.8228,-121.895,"Paradise"
"5","Upper Deadwood Lake","DW","Mount Rainier National Park","MORA",46.8865,-121.5221,"Cayuse"
"6","Upper Palisades Lake","PA","Mount Rainier National Park","MORA",46.9508,-121.5931,"Cayuse"
"7","Bowan Lake","BO","North Cascades National Park Service Complex","NOCA",48.4082,-120.7121,"ParkCreek"
"8","Easy Ridge Lake","ER","North Cascades National Park Service Complex","NOCA",48.8571,-121.4321,"Easy"
"9","Lower Blum Lake","LB","North Cascades National Park Service Complex","NOCA",48.748,-121.5011,"Easy"
"10","Lower East Lake","LE","North Cascades National Park Service Complex","NOCA",48.8902,-121.3309,"Browntop"
"11","Lower Silent Lake","SI","North Cascades National Park Service Complex","NOCA",48.5464,-120.8341,"Harts"
"12","Upper Triplet Lake","TR","North Cascades National Park Service Complex","NOCA",48.2911,-120.5523,"ParkCreek"
"13","Crazy Lake","CR","Olympic National Park","OLYM",47.6196,-123.2803,"Buckinghorse"
"14","Ferry Lake","FE","Olympic National Park","OLYM",47.8539,-123.5973,"Buckinghorse"
"15","Gladys Lake","GL","Olympic National Park","OLYM",47.8768,-123.3579,"Waterhole"
"16","Heather Lake","HE","Olympic National Park","OLYM",47.7851,-123.1779,"Waterhole"
"17","Hoh Lake","HO","Olympic National Park","OLYM",47.8987,-123.7862,"Buckinghorse"
"18","Lake Connie","CO","Olympic National Park","OLYM",47.5236,-123.593,"Buckinghorse"
"19","Lake La Crosse","LC","Olympic National Park","OLYM",47.6648,-123.3604,"Buckinghorse"
"20","Lake Sunup","SU","Olympic National Park","OLYM",47.5314,-123.4864,"Buckinghorse"
"21","Milk Lake","MI","Olympic National Park","OLYM",47.6249,-123.2063,"Buckinghorse"
"22",NA,NA,NA,NA,NA,NA,NA
