"","variable","snowyr","term","val","std.error","pval","AICc","minAICc","AICcdiff"
"1","Ca","hi","Watershed_area_ha",-0.00828,0.00263,0.00309,560,560,0
"2","Ca","lo","Watershed_area_ha",0.0157,0.00263,5e-07,560,560,0
"3","Ca","mid","Watershed_area_ha",-0.000871,0.000899,0.339,560,560,0
"4","Ca","hi","outlet",-0.733,0.205,0.000916,560,560,0.316
"5","Ca","lo","outlet",1.17,0.205,1.12e-06,560,560,0.316
"6","Ca","mid","outlet",-0.0525,0.0707,0.462,560,560,0.316
"7","Chlorophyll","hi","Cl_dep_1990_1999",0.00157,0.0108,0.884,485,485,0
"8","Chlorophyll","lo","Cl_dep_1990_1999",0.0493,0.0108,4.36e-05,485,485,0
"9","Chlorophyll","mid","Cl_dep_1990_1999",-0.00779,0.00421,0.0713,485,485,0
"10","Chlorophyll","hi","forest",-0.00253,0.00439,0.568,486,485,0.0883
"11","Chlorophyll","lo","forest",0.0204,0.00439,3.6e-05,486,485,0.0883
"12","Chlorophyll","mid","forest",-0.00266,0.00169,0.125,486,485,0.0883
"13","Chlorophyll","hi","Cl_dep_1985_1989",0.00212,0.0127,0.868,486,485,0.248
"14","Chlorophyll","lo","Cl_dep_1985_1989",0.058,0.0127,4.75e-05,486,485,0.248
"15","Chlorophyll","mid","Cl_dep_1985_1989",-0.00914,0.00496,0.0726,486,485,0.248
"16","Chlorophyll","hi","SO4_dep_1990_1999",0.000415,0.0222,0.985,486,485,0.49
"17","Chlorophyll","lo","SO4_dep_1990_1999",0.101,0.0222,4.72e-05,486,485,0.49
"18","Chlorophyll","mid","SO4_dep_1990_1999",-0.0152,0.0086,0.0839,486,485,0.49
"19","Chlorophyll","hi","NH4_dep_1985_1989",0.00126,0.28,0.996,486,485,0.731
"20","Chlorophyll","lo","NH4_dep_1985_1989",1.27,0.28,5.06e-05,486,485,0.731
"21","Chlorophyll","mid","NH4_dep_1985_1989",-0.189,0.108,0.087,486,485,0.731
"22","Chlorophyll","hi","SO4_dep_2000_2009",0.00689,0.0329,0.835,486,485,0.874
"23","Chlorophyll","lo","SO4_dep_2000_2009",0.148,0.0329,5.93e-05,486,485,0.874
"24","Chlorophyll","mid","SO4_dep_2000_2009",-0.0233,0.0128,0.0755,486,485,0.874
"25","Chlorophyll","hi","SO4_dep_1985_1989",0.00297,0.0222,0.894,486,485,0.995
"26","Chlorophyll","lo","SO4_dep_1985_1989",0.0999,0.0222,5.88e-05,486,485,0.995
"27","Chlorophyll","mid","SO4_dep_1985_1989",-0.0154,0.0086,0.0813,486,485,0.995
"28","Chlorophyll","hi","NH4_dep_1990_1999",-0.00684,0.186,0.971,487,485,1.11
"29","Chlorophyll","lo","NH4_dep_1990_1999",0.838,0.186,5.64e-05,487,485,1.11
"30","Chlorophyll","mid","NH4_dep_1990_1999",-0.124,0.0717,0.0926,487,485,1.11
"31","Chlorophyll","hi","SO4_dep_1985_2015",0.00447,0.0273,0.871,487,485,1.14
"32","Chlorophyll","lo","SO4_dep_1985_2015",0.122,0.0273,6.29e-05,487,485,1.14
"33","Chlorophyll","mid","SO4_dep_1985_2015",-0.019,0.0106,0.0802,487,485,1.14
"34","Chlorophyll","hi","Cl_dep_1985_2015",0.00285,0.0123,0.818,487,485,1.29
"35","Chlorophyll","lo","Cl_dep_1985_2015",0.0547,0.0123,6.98e-05,487,485,1.29
"36","Chlorophyll","mid","Cl_dep_1985_2015",-0.0088,0.00482,0.0755,487,485,1.29
"37","Chlorophyll","hi","NH4_dep_2000_2009",-0.0153,0.251,0.952,487,485,1.52
"38","Chlorophyll","lo","NH4_dep_2000_2009",1.12,0.251,6.4e-05,487,485,1.52
"39","Chlorophyll","mid","NH4_dep_2000_2009",-0.164,0.0965,0.0979,487,485,1.52
"40","Chlorophyll","hi","Cl_dep_2000_2009",0.00379,0.0134,0.779,487,485,1.82
"41","Chlorophyll","lo","Cl_dep_2000_2009",0.0586,0.0134,8.62e-05,487,485,1.82
"42","Chlorophyll","mid","Cl_dep_2000_2009",-0.00956,0.00525,0.0762,487,485,1.82
"43","Cl","hi","SWE_May_snotel",-0.00241,0.000881,0.0093,568,568,0
"44","Cl","lo","SWE_May_snotel",0.00221,0.00356,0.538,568,568,0
"45","Cl","mid","SWE_May_snotel",0.000198,0.000418,0.637,568,568,0
"46","DO_top2m","hi","SWE_May_snotel",0.00156,0.00092,0.0976,559,559,0
"47","DO_top2m","lo","SWE_May_snotel",-0.00345,0.00372,0.36,559,559,0
"48","DO_top2m","mid","SWE_May_snotel",-3.22e-05,0.000446,0.943,559,559,0
"49","K","hi","Watershed_area_ha",-0.00554,0.00261,0.0403,560,560,0
"50","K","lo","Watershed_area_ha",0.0172,0.00261,7.39e-08,560,560,0
"51","K","mid","Watershed_area_ha",-0.00136,0.000893,0.136,560,560,0
"52","Mg","hi","outlet",-0.713,0.208,0.00143,570,570,0
"53","Mg","lo","outlet",1.06,0.208,9.2e-06,570,570,0
"54","Mg","mid","outlet",-0.041,0.0719,0.572,570,570,0
"55","pH_top2m","hi","SWE_May_snotel",-0.00171,0.000892,0.0623,538,538,0
"56","pH_top2m","lo","SWE_May_snotel",0.00523,0.0036,0.155,538,538,0
"57","pH_top2m","mid","SWE_May_snotel",-0.000534,0.000439,0.225,538,538,0
"58","ProfTemp_top2m","hi","SWE_May_snotel",-0.00566,0.000832,3.08e-08,523,523,0
"59","ProfTemp_top2m","lo","SWE_May_snotel",0.00107,0.00336,0.752,523,523,0
"60","ProfTemp_top2m","mid","SWE_May_snotel",0.00032,0.000402,0.428,523,523,0
"61","secchi_value_m","hi","NH4_dep_1985_1989",0.713,0.277,0.0142,499,499,0
"62","secchi_value_m","lo","NH4_dep_1985_1989",-1.58,0.273,1.19e-06,499,499,0
"63","secchi_value_m","mid","NH4_dep_1985_1989",0.113,0.0978,0.254,499,499,0
"64","secchi_value_m","hi","NH4_dep_2000_2009",0.617,0.249,0.0178,500,499,0.521
"65","secchi_value_m","lo","NH4_dep_2000_2009",-1.41,0.245,1.26e-06,500,499,0.521
"66","secchi_value_m","mid","NH4_dep_2000_2009",0.103,0.0874,0.244,500,499,0.521
