"variable","snowyr","model","term","val","std.error","pval","AICc","AICcdiff"
"Ca","hi","2_567","outlet",-0.882,0.207,0.000136,556,0
"Ca","hi","2_567","tholeiite",1.59,0.522,0.00419,556,0
"Ca","lo","2_567","outlet",1.19,0.207,1.4e-06,556,0
"Ca","lo","2_567","tholeiite",-0.174,0.522,0.741,556,0
"Ca","mid","2_567","outlet",-0.0371,0.0719,0.609,556,0
"Ca","mid","2_567","tholeiite",-0.138,0.166,0.41,556,0
"Ca","hi","2_48","Volume_m3",3.45e-06,1.93e-06,0.0826,557,1
"Ca","hi","2_48","Watershed_area_ha",-0.012,0.00331,0.000896,557,1
"Ca","lo","2_48","Volume_m3",-4.79e-06,1.93e-06,0.0179,557,1
"Ca","lo","2_48","Watershed_area_ha",0.0208,0.00331,2.51e-07,557,1
"Ca","mid","2_48","Volume_m3",1.67e-07,6.98e-07,0.813,557,1
"Ca","mid","2_48","Watershed_area_ha",-0.00105,0.00115,0.369,557,1
"Chlorophyll","hi","2_626","Cl_dep_1985_1989",0.00356,0.0124,0.776,479,0
"Chlorophyll","hi","2_626","biotitegneiss",-0.00897,0.00615,0.154,479,0
"Chlorophyll","hi","2_657","Cl_dep_1990_1999",0.00294,0.0105,0.781,479,0
"Chlorophyll","hi","2_657","biotitegneiss",-0.00898,0.00616,0.153,479,0
"Chlorophyll","lo","2_657","Cl_dep_1990_1999",0.0463,0.0105,8.7e-05,479,0
"Chlorophyll","lo","2_657","biotitegneiss",0.0196,0.00616,0.00296,479,0
"Chlorophyll","lo","2_626","biotitegneiss",0.0199,0.00615,0.00262,479,0
"Chlorophyll","lo","2_626","Cl_dep_1985_1989",0.0548,0.0124,8.51e-05,479,0
"Chlorophyll","mid","2_626","biotitegneiss",-0.00141,0.00225,0.534,479,0
"Chlorophyll","mid","2_657","Cl_dep_1990_1999",-0.00756,0.00412,0.0746,479,0
"Chlorophyll","mid","2_657","biotitegneiss",-0.00137,0.00225,0.547,479,0
"Chlorophyll","mid","2_626","Cl_dep_1985_1989",-0.00889,0.00485,0.0747,479,0
"Chlorophyll","hi","2_73","NH4_dep_2000_2009",-0.489,0.337,0.156,480,1
"Chlorophyll","hi","2_924","NO3_dep_2010_2014",0.36,0.124,0.00605,480,1
"Chlorophyll","hi","2_861","NH4_dep_1985_2015",-2.35,0.862,0.00967,480,1
"Chlorophyll","hi","2_687","Cl_dep_2000_2009",0.00505,0.0131,0.702,480,1
"Chlorophyll","hi","2_687","biotitegneiss",-0.00898,0.00617,0.154,480,1
"Chlorophyll","hi","2_594","Cl_dep_1985_2015",0.00423,0.0121,0.728,480,1
"Chlorophyll","hi","2_73","Volume_m3",4.33e-06,2.13e-06,0.0497,480,1
"Chlorophyll","hi","2_924","NH4_dep_2000_2009",-2.38,0.847,0.00794,480,1
"Chlorophyll","hi","2_861","NO3_dep_2010_2014",0.433,0.153,0.00739,480,1
"Chlorophyll","hi","2_594","biotitegneiss",-0.009,0.00617,0.153,480,1
"Chlorophyll","hi","2_83","Volume_m3",3.72e-06,2.12e-06,0.0881,480,1
"Chlorophyll","hi","2_83","SO4_dep_2000_2009",-0.0463,0.0442,0.301,480,1
"Chlorophyll","lo","2_687","biotitegneiss",0.0203,0.00617,0.00221,480,1
"Chlorophyll","lo","2_83","SO4_dep_2000_2009",0.24,0.0442,3.82e-06,480,1
"Chlorophyll","lo","2_594","biotitegneiss",0.0199,0.00617,0.00259,480,1
"Chlorophyll","lo","2_73","Volume_m3",-6.51e-06,2.13e-06,0.00419,480,1
"Chlorophyll","lo","2_83","Volume_m3",-6.41e-06,2.12e-06,0.00457,480,1
"Chlorophyll","lo","2_687","Cl_dep_2000_2009",0.0558,0.0131,0.000133,480,1
"Chlorophyll","lo","2_861","NO3_dep_2010_2014",-0.375,0.153,0.0188,480,1
"Chlorophyll","lo","2_924","NH4_dep_2000_2009",2.86,0.847,0.00176,480,1
"Chlorophyll","lo","2_924","NO3_dep_2010_2014",-0.265,0.124,0.0389,480,1
"Chlorophyll","lo","2_861","NH4_dep_1985_2015",2.96,0.862,0.00148,480,1
"Chlorophyll","lo","2_73","NH4_dep_2000_2009",1.83,0.337,3.73e-06,480,1
"Chlorophyll","lo","2_594","Cl_dep_1985_2015",0.0517,0.0121,0.000123,480,1
"Chlorophyll","mid","2_687","Cl_dep_2000_2009",-0.00932,0.00512,0.0767,480,1
"Chlorophyll","mid","2_924","NH4_dep_2000_2009",-0.0766,0.322,0.813,480,1
"Chlorophyll","mid","2_73","Volume_m3",3.54e-07,8.13e-07,0.666,480,1
"Chlorophyll","mid","2_594","Cl_dep_1985_2015",-0.00855,0.00471,0.0776,480,1
"Chlorophyll","mid","2_594","biotitegneiss",-0.00142,0.00225,0.533,480,1
"Chlorophyll","mid","2_687","biotitegneiss",-0.00147,0.00225,0.518,480,1
"Chlorophyll","mid","2_924","NO3_dep_2010_2014",-0.0132,0.0468,0.779,480,1
"Chlorophyll","mid","2_73","NH4_dep_2000_2009",-0.203,0.131,0.129,480,1
"Chlorophyll","mid","2_861","NH4_dep_1985_2015",-0.0973,0.329,0.769,480,1
"Chlorophyll","mid","2_861","NO3_dep_2010_2014",-0.00718,0.0581,0.902,480,1
"Chlorophyll","mid","2_83","SO4_dep_2000_2009",-0.03,0.0174,0.092,480,1
"Chlorophyll","mid","2_83","Volume_m3",4.5e-07,8.12e-07,0.583,480,1
"Chlorophyll","hi","2_82","Volume_m3",3.87e-06,2.06e-06,0.0684,481,2
"Chlorophyll","hi","2_82","SO4_dep_1990_1999",-0.0356,0.029,0.227,481,2
"Chlorophyll","hi","2_80","Volume_m3",3.77e-06,2.11e-06,0.0825,481,2
"Chlorophyll","hi","2_904","NO3_dep_2010_2014",0.33,0.12,0.00926,481,2
"Chlorophyll","hi","2_80","SO4_dep_1985_2015",-0.0401,0.0365,0.28,481,2
"Chlorophyll","hi","2_1067","biotitegneiss",-0.00901,0.00622,0.156,481,2
"Chlorophyll","hi","2_569","Cl_dep_1990_1999",-0.392,0.217,0.0797,481,2
"Chlorophyll","hi","2_904","NH4_dep_1990_1999",-1.61,0.612,0.0123,481,2
"Chlorophyll","hi","2_569","Cl_dep_1985_2015",0.45,0.249,0.0782,481,2
"Chlorophyll","hi","2_1067","SO4_dep_1990_1999",0.0047,0.0219,0.831,481,2
"Chlorophyll","lo","2_904","NH4_dep_1990_1999",2.1,0.612,0.0015,481,2
"Chlorophyll","lo","2_82","Volume_m3",-5.84e-06,2.06e-06,0.0074,481,2
"Chlorophyll","lo","2_80","SO4_dep_1985_2015",0.196,0.0365,4.51e-06,481,2
"Chlorophyll","lo","2_82","SO4_dep_1990_1999",0.156,0.029,4.39e-06,481,2
"Chlorophyll","lo","2_904","NO3_dep_2010_2014",-0.26,0.12,0.0374,481,2
"Chlorophyll","lo","2_1067","SO4_dep_1990_1999",0.0926,0.0219,0.000152,481,2
"Chlorophyll","lo","2_1067","biotitegneiss",0.0185,0.00622,0.00524,481,2
"Chlorophyll","lo","2_80","Volume_m3",-6.26e-06,2.11e-06,0.00535,481,2
"Chlorophyll","lo","2_569","Cl_dep_1990_1999",0.647,0.217,0.00513,481,2
"Chlorophyll","lo","2_569","Cl_dep_1985_2015",-0.684,0.249,0.00913,481,2
"Chlorophyll","mid","2_904","NH4_dep_1990_1999",-0.0785,0.236,0.741,481,2
"Chlorophyll","mid","2_904","NO3_dep_2010_2014",-0.00922,0.0461,0.842,481,2
"Chlorophyll","mid","2_82","SO4_dep_1990_1999",-0.0185,0.0113,0.112,481,2
"Chlorophyll","mid","2_80","Volume_m3",4.14e-07,8.09e-07,0.611,481,2
"Chlorophyll","mid","2_82","Volume_m3",3.33e-07,7.87e-07,0.674,481,2
"Chlorophyll","mid","2_80","SO4_dep_1985_2015",-0.0241,0.0143,0.101,481,2
"Chlorophyll","mid","2_569","Cl_dep_1985_2015",0.039,0.0968,0.689,481,2
"Chlorophyll","mid","2_569","Cl_dep_1990_1999",-0.0419,0.0847,0.624,481,2
"Chlorophyll","mid","2_1067","SO4_dep_1990_1999",-0.0146,0.0085,0.094,481,2
"Chlorophyll","mid","2_1067","biotitegneiss",-0.0012,0.00227,0.6,481,2
"Cl","hi","2_933","NH4_dep_2000_2009",-1.13,0.274,0.000213,589,0
"Cl","hi","2_933","granodiorite",0.0175,0.00578,0.00455,589,0
"Cl","hi","2_920","NO3_dep_1985_2015",0.674,0.229,0.00566,589,0
"Cl","hi","2_920","NH4_dep_2000_2009",-5.26,1.53,0.00145,589,0
"Cl","hi","2_901","NH4_dep_1990_1999",-5.54,1.59,0.00127,589,0
"Cl","hi","2_901","NO3_dep_1985_1989",1.08,0.346,0.00344,589,0
"Cl","lo","2_920","NO3_dep_1985_2015",0.199,0.229,0.392,589,0
"Cl","lo","2_933","granodiorite",0.00358,0.00578,0.539,589,0
"Cl","lo","2_920","NH4_dep_2000_2009",-1.13,1.53,0.466,589,0
"Cl","lo","2_933","NH4_dep_2000_2009",0.119,0.274,0.667,589,0
"Cl","lo","2_901","NH4_dep_1990_1999",-0.228,1.59,0.886,589,0
"Cl","lo","2_901","NO3_dep_1985_1989",0.084,0.346,0.809,589,0
"Cl","mid","2_920","NH4_dep_2000_2009",0.748,0.525,0.163,589,0
"Cl","mid","2_901","NH4_dep_1990_1999",0.702,0.555,0.214,589,0
"Cl","mid","2_933","NH4_dep_2000_2009",0.12,0.0948,0.212,589,0
"Cl","mid","2_933","granodiorite",-0.00259,0.00204,0.211,589,0
"Cl","mid","2_920","NO3_dep_1985_2015",-0.102,0.079,0.204,589,0
"Cl","mid","2_901","NO3_dep_1985_1989",-0.142,0.121,0.248,589,0
"Cl","hi","2_1018","NO3_dep_2000_2009",-0.198,0.0493,0.000269,590,1
"Cl","hi","2_1018","granodiorite",0.0209,0.00615,0.00167,590,1
"Cl","hi","2_798","granodiorite",0.0187,0.00593,0.00319,590,1
"Cl","hi","2_892","NH4_dep_1985_1989",-1.21,0.303,0.000284,590,1
"Cl","hi","2_892","granodiorite",0.0163,0.00571,0.00703,590,1
"Cl","hi","2_1068","SO4_dep_1990_1999",-0.0976,0.0239,0.000234,590,1
