"variable","model","term","val","se","pval","sigma","logLik","AIC","BIC","nparam","nobs","AICc"
"Ca",20,"(Intercept)",5.28,0.866,5.63e-09,0.963,-355,720,737,3,21,718
"Ca",20,"snowyrhi:Watershed_area_ha",-0.00695,0.00311,0.0264,0.963,-355,720,737,3,21,718
"Ca",20,"snowyrlo:Watershed_area_ha",0.0193,0.00311,3.32e-09,0.963,-355,720,737,3,21,718
"Ca",21,"(Intercept)",5.29,0.871,6.26e-09,1.02,-367,745,761,3,21,742
"Ca",21,"snowyrhi:Elevation_m",-0.000233,0.000151,0.125,1.02,-367,745,761,3,21,742
"Ca",21,"snowyrlo:Elevation_m",0.000591,0.000151,0.000128,1.02,-367,745,761,3,21,742
"Ca",18,"(Intercept)",5.3,0.87,5.93e-09,1.06,-374,758,775,3,21,755
"Ca",18,"snowyrhi:Depth_mean_m",-0.00839,0.0634,0.895,1.06,-374,758,775,3,21,755
"Ca",18,"snowyrlo:Depth_mean_m",0.146,0.0634,0.0224,1.06,-374,758,775,3,21,755
"Ca",22,"(Intercept)",5.36,0.872,4.28e-09,1.06,-374,758,775,3,21,756
"Ca",22,"snowyrhi:SWE_May",-0.00206,0.00129,0.112,1.06,-374,758,775,3,21,756
"Ca",22,"snowyrlo:SWE_May",0.00506,0.00373,0.177,1.06,-374,758,775,3,21,756
"Ca",19,"(Intercept)",5.33,0.869,4.89e-09,1.07,-376,762,779,3,21,760
"Ca",19,"snowyrhi:Volume_m3",1.57e-06,2.03e-06,0.439,1.07,-376,762,779,3,21,760
"Ca",19,"snowyrlo:Volume_m3",1.04e-06,2.03e-06,0.609,1.07,-376,762,779,3,21,760
"Chlorophyll",21,"(Intercept)",0.339,0.0884,0.000181,0.693,-205,420,436,3,21,417
"Chlorophyll",21,"snowyrhi:Elevation_m",-1.78e-05,0.000104,0.864,0.693,-205,420,436,3,21,417
"Chlorophyll",21,"snowyrlo:Elevation_m",0.000455,0.000104,2.02e-05,0.693,-205,420,436,3,21,417
"Chlorophyll",22,"(Intercept)",0.379,0.0879,2.85e-05,0.7,-207,424,440,3,21,421
"Chlorophyll",22,"snowyrhi:SWE_May",-0.000205,0.000861,0.812,0.7,-207,424,440,3,21,421
"Chlorophyll",22,"snowyrlo:SWE_May",0.00949,0.00245,0.000158,0.7,-207,424,440,3,21,421
"Chlorophyll",18,"(Intercept)",0.379,0.0893,3.63e-05,0.724,-213,435,451,3,21,433
"Chlorophyll",18,"snowyrhi:Depth_mean_m",0.00826,0.0438,0.851,0.724,-213,435,451,3,21,433
"Chlorophyll",18,"snowyrlo:Depth_mean_m",0.0838,0.0438,0.0573,0.724,-213,435,451,3,21,433
"Chlorophyll",20,"(Intercept)",0.403,0.0873,7.99e-06,0.728,-213,436,452,3,21,434
"Chlorophyll",20,"snowyrhi:Watershed_area_ha",-0.00113,0.00235,0.631,0.728,-213,436,452,3,21,434
"Chlorophyll",20,"snowyrlo:Watershed_area_ha",0.00339,0.00235,0.151,0.728,-213,436,452,3,21,434
"Chlorophyll",19,"(Intercept)",0.403,0.0869,7.41e-06,0.732,-214,438,454,3,21,436
"Chlorophyll",19,"snowyrhi:Volume_m3",8.04e-07,1.38e-06,0.56,0.732,-214,438,454,3,21,436
"Chlorophyll",19,"snowyrlo:Volume_m3",6.32e-07,1.38e-06,0.646,0.732,-214,438,454,3,21,436
"Cl",20,"(Intercept)",0.309,0.0457,1.49e-10,0.157,63.7,-117,-100,3,21,-120
"Cl",20,"snowyrhi:Watershed_area_ha",-0.00131,0.000507,0.0106,0.157,63.7,-117,-100,3,21,-120
"Cl",20,"snowyrlo:Watershed_area_ha",-0.00033,0.000507,0.516,0.157,63.7,-117,-100,3,21,-120
"Cl",21,"(Intercept)",0.311,0.0455,1.04e-10,0.158,63.3,-117,-99.6,3,21,-119
"Cl",21,"snowyrhi:Elevation_m",-5.69e-05,2.33e-05,0.0156,0.158,63.3,-117,-99.6,3,21,-119
"Cl",21,"snowyrlo:Elevation_m",-8.71e-06,2.33e-05,0.709,0.158,63.3,-117,-99.6,3,21,-119
"Cl",18,"(Intercept)",0.31,0.046,1.75e-10,0.158,62.7,-115,-98.5,3,21,-118
"Cl",18,"snowyrhi:Depth_mean_m",-0.0206,0.00947,0.0308,0.158,62.7,-115,-98.5,3,21,-118
"Cl",18,"snowyrlo:Depth_mean_m",-0.00505,0.00947,0.594,0.158,62.7,-115,-98.5,3,21,-118
"Cl",22,"(Intercept)",0.309,0.0454,1.11e-10,0.158,62.9,-116,-98.9,3,21,-118
