"variable","model","val.int","se.int","pval.int","sig.int","term","val.coef","se.coef","pval.coef","sig.coef"
"Ca",2.1,5.3,1,3.9e-05,"***","yr:Depth_mean_m",0.14,0.17,0.41,""
"Ca",3.1,5.6,1,1.7e-05,"***","yr:Volume_m3",-1.8e-07,5.4e-06,0.97,""
"Ca",4.1,4.8,0.95,5.6e-05,"***","yr:Watershed_area_ha",0.027,0.0073,0.0013,"***"
"Ca",5.1,5,1,9.3e-05,"***","yr:Elevation_m",8e-04,0.00039,0.055,""
"Ca",6.1,4.9,0.82,8.1e-06,"***","yr:Watershed_area_to_lake_area_ratio",0.033,0.0033,3.1e-09,"***"
"Ca",7.1,4.9,0.96,5.4e-05,"***","yr:Aspect3EWSouthy",0.022,0.82,0.98,""
"Ca",7.1,4.9,0.96,5.4e-05,"***","yr:Aspect3Northy",2.6,0.79,0.004,"***"
"Chlorophyll",2.1,0.61,0.3,0.052,"","yr:Depth_mean_m",0.022,0.11,0.84,""
"Chlorophyll",3.1,0.7,0.26,0.013,"*","yr:Volume_m3",-1.2e-06,3e-06,0.69,""
"Chlorophyll",4.1,0.63,0.27,0.028,"*","yr:Watershed_area_ha",0.00085,0.0052,0.87,""
"Chlorophyll",5.1,0.25,0.3,0.41,"","yr:Elevation_m",0.00051,0.00027,0.073,""
"Chlorophyll",6.1,0.62,0.24,0.018,"*","yr:Watershed_area_to_lake_area_ratio",0.0015,0.0039,0.7,""
"Chlorophyll",7.1,0.33,0.3,0.28,"","yr:Aspect3EWSouthy",0.039,0.53,0.94,""
"Chlorophyll",7.1,0.33,0.3,0.28,"","yr:Aspect3Northy",1.2,0.51,0.031,"*"
"Cl",2.1,0.23,0.038,7.1e-06,"***","yr:Depth_mean_m",0.017,0.0069,0.022,"*"
"Cl",3.1,0.24,0.037,1.9e-06,"***","yr:Volume_m3",3.5e-07,2.3e-07,0.15,""
"Cl",4.1,0.23,0.039,6.6e-06,"***","yr:Watershed_area_ha",0.00091,0.00035,0.017,"*"
