"variable","model","val.int","se.int","pval.int","sig.int","term","val.coef","se.coef","pval.coef","sig.coef"
"Ca",1.1,4.9,1,9.9e-05,"***","yr",1.4,0.61,0.038,"*"
"Chlorophyll",1.1,0.33,0.31,0.3,"","yr",0.64,0.44,0.16,""
"Cl",1.1,0.22,0.039,1.8e-05,"***","yr",0.083,0.024,0.0025,"***"
"DO_top2m",1.1,10,0.18,2.2e-23,"***","yr",-1.7,0.26,1.5e-06,"***"
"K",1.1,0.12,0.014,5.3e-08,"***","yr",0.045,0.015,0.0075,"**"
"Mg",1.1,0.34,0.07,9.5e-05,"***","yr",0.11,0.045,0.022,"*"
"pH_top2m",1.1,7.1,0.17,4.6e-21,"***","yr",0.55,0.14,0.00065,"***"
"secchi_value_m",1.1,7.9,0.79,3.3e-09,"***","yr",-1.6,0.41,0.0012,"***"
"SO4",1.1,1.5,0.51,0.0094,"**","yr",0.0018,0.6,1,""
"SpCond_top2m",1.1,34,5.7,8.3e-06,"***","yr",5.3,2.8,0.069,""
"Total N",1.1,0.026,0.0081,0.0041,"***","yr",0.047,0.011,0.00044,"***"
"Total P",1.1,0.00081,0.00037,0.041,"*","yr",0.0013,0.00053,0.025,"*"
